Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,187.114102,[11 49] ; [326  27],[48.95883777 11.04116223] ; [288.04116223  64.95883777],1
p11,1,0.0,34.531994,[31 30] ; [298  57],[48.24278846 12.75721154] ; [280.75721154  74.24278846],1
n5,1,4e-06,21.424138,[33 27] ; [288  64],[46.74757282 13.25242718] ; [274.25242718  77.74757282],1
p2,1,6e-06,20.460238,[40 21] ; [311  42],[51.7173913  9.2826087] ; [299.2826087  53.7173913],1
s8,1,1.8e-05,18.413854,[12 47] ; [178 175],[27.20873786 31.79126214] ; [162.79126214 190.20873786],1
p8,1,5.9e-05,16.150302,[18 43] ; [199 148],[32.44362745 28.55637255] ; [184.55637255 162.44362745],1
n6,1,0.000153,14.341055,[40 20] ; [303  48],[50.0729927  9.9270073] ; [292.9270073  58.0729927],1
r4,1,0.000309,13.013142,[47 14] ; [327  28],[54.84134615  6.15865385] ; [319.15865385  35.84134615],1
s1,1,0.000381,12.624227,[ 6 53] ; [  6 343],[ 1.73529412 57.26470588] ; [ 10.26470588 338.73529412],1
p4,1,0.000568,11.877736,[25 36] ; [227 126],[37.13043478 23.86956522] ; [214.86956522 138.13043478],1
v4,1,0.000798,11.245573,[51  8] ; [340  12],[56.12895377  2.87104623] ; [334.87104623  17.12895377],1
s6,1,0.001079,10.686866,[30 29] ; [251  97],[40.73464373 18.26535627] ; [240.26535627 107.73464373],0
b1,1,0.003747,8.402604,[33 28] ; [123 232],[22.875 38.125] ; [133.125 221.875],0
p6,1,0.004764,7.967068,[13 45] ; [146 202],[22.71428571 35.28571429] ; [136.28571429 211.71428571],0
r2,1,0.004928,7.905756,[53  7] ; [339  12],[57.22627737  2.77372263] ; [334.77372263  16.22627737],0
s5,1,0.009241,6.775733,[11 48] ; [124 221],[19.71534653 39.28465347] ; [115.28465347 229.71534653],0
p3,1,0.010484,6.550749,[22 38] ; [193 161],[31.15942029 28.84057971] ; [183.84057971 170.15942029],0
d5,1,0.011962,6.316434,[43 18] ; [297  57],[49.97590361 11.02409639] ; [290.02409639  63.97590361],0
p7,1,0.019756,5.433355,[31 28] ; [235 110],[38.84653465 20.15346535] ; [227.15346535 117.84653465],0
r3,1,0.030316,4.691305,[54  6] ; [341  13],[57.24637681  2.75362319] ; [337.75362319  16.24637681],0
s7,1,0.030392,4.686997,[20 36] ; [175 166],[27.50629723 28.49370277] ; [167.49370277 173.50629723],0
s2,1,0.034525,4.468491,[23 36] ; [189 162],[30.50731707 28.49268293] ; [181.49268293 169.50731707],0
d1,1,0.056403,3.640115,[29 32] ; [215 140],[35.77884615 25.22115385] ; [208.22115385 146.77884615],0
v2,1,0.082532,3.014322,[34 25] ; [237 106],[39.77363184 19.22636816] ; [231.22636816 111.77363184],0
a8,1,0.109478,2.561737,[ 4 48] ; [ 52 268],[ 7.82795699 44.17204301] ; [ 48.17204301 271.82795699],0
a3,1,0.111105,2.538435,[40 21] ; [265  87],[45.04842615 15.95157385] ; [259.95157385  92.04842615],0
d4,1,0.120017,2.417094,[46 15] ; [296  58],[50.26987952 10.73012048] ; [291.73012048  62.26987952],0
a6,1,0.186125,1.748027,[37 24] ; [245 109],[41.45060241 19.54939759] ; [240.54939759 113.45060241],0
a7,1,0.209937,1.571862,[39 21] ; [258  96],[43.04347826 16.95652174] ; [253.95652174 100.04347826],0
a4,1,0.257113,1.284234,[25 35] ; [175 178],[29.05569007 30.94430993] ; [170.94430993 182.05569007],0
a1,1,0.264081,1.247235,[ 1 60] ; [ 17 338],[ 2.63942308 58.36057692] ; [ 15.36057692 339.63942308],0
a5,1,0.286452,1.136223,[44 17] ; [278  77],[47.21634615 13.78365385] ; [274.78365385  80.21634615],0
