Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001822,9.720621,[133   9] ; [39 11],[127.20833333  14.79166667] ; [44.79166667  5.20833333],0
n4,1,0.002269,9.318019,[126  18] ; [35 16],[118.89230769  25.10769231] ; [42.10769231  8.89230769],0
v2,1,0.005325,7.765557,[95 46] ; [22 27],[86.82631579 54.17368421] ; [30.17368421 18.82631579],0
a8,1,0.005718,7.636939,[ 29 105] ; [ 2 46],[ 22.82417582 111.17582418] ; [ 8.17582418 39.82417582],0
n5,1,0.006042,7.537804,[125  18] ; [36 15],[118.67525773  24.32474227] ; [42.32474227  8.67525773],0
v3,1,0.00947,6.732002,[65 73] ; [13 37],[57.25531915 80.74468085] ; [20.74468085 29.25531915],0
a3,1,0.034345,4.477471,[116  27] ; [34 17],[110.56701031  32.43298969] ; [39.43298969 11.56701031],0
b3,1,0.036914,4.354381,[51 45] ; [ 9 20],[46.08 49.92] ; [13.92 15.08],0
b2,1,0.036914,4.354381,[51 45] ; [ 9 20],[46.08 49.92] ; [13.92 15.08],0
v1,1,0.041914,4.138676,[96 45] ; [26 24],[90.06282723 50.93717277] ; [31.93717277 18.06282723],0
d3,1,0.04755,3.92583,[103  40] ; [43  7],[108.1761658  34.8238342] ; [37.8238342 12.1761658],0
r4,1,0.0946,2.794304,[135   9] ; [44  7],[132.18461538  11.81538462] ; [46.81538462  4.18461538],0
r1,1,0.102444,2.667082,[122  22] ; [38 13],[118.15384615  25.84615385] ; [41.84615385  9.15384615],0
s5,1,0.105799,2.615882,[75 63] ; [30 14],[79.61538462 58.38461538] ; [25.38461538 18.61538462],0
p5,1,0.114236,2.494613,[ 35 109] ; [ 7 44],[ 31.01538462 112.98461538] ; [10.98461538 40.01538462],0
a1,1,0.157663,1.996502,[ 15 129] ; [ 2 49],[ 12.55384615 131.44615385] ; [ 4.44615385 46.55384615],0
p8,1,0.164652,1.930972,[95 49] ; [39 12],[98.95384615 45.04615385] ; [35.04615385 15.95384615],0
