Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4e-05,16.849898,[ 6 44] ; [22 21],[15.05376344 34.94623656] ; [12.94623656 30.05376344],1
p2,1,0.000165,14.191355,[27 24] ; [39  5],[35.43157895 15.56842105] ; [30.56842105 13.43157895],1
p3,1,0.007281,7.202195,[12 39] ; [22 22],[18.25263158 32.74736842] ; [15.74736842 28.25263158],0
s7,1,0.016873,5.709566,[17 31] ; [26 17],[22.68131868 25.31868132] ; [20.31868132 22.68131868],0
p9,1,0.018776,5.5223,[32 17] ; [38  6],[36.88172043 12.11827957] ; [33.11827957 10.88172043],0
s8,1,0.023881,5.103255,[14 37] ; [22 22],[19.32631579 31.67368421] ; [16.67368421 27.32631579],0
p10,1,0.027822,4.839056,[32 18] ; [37  7],[36.70212766 13.29787234] ; [32.29787234 11.70212766],0
p4,1,0.04017,4.210707,[15 36] ; [22 22],[19.86315789 31.13684211] ; [17.13684211 26.86315789],0
p11,1,0.064117,3.427551,[29 22] ; [33 11],[33.28421053 17.71578947] ; [28.71578947 15.28421053],0
n2,1,0.067519,3.342339,[11  8] ; [13  2],[13.41176471  5.58823529] ; [10.58823529  4.41176471],0
b4,1,0.091356,2.850312,[32 19] ; [20 24],[27.91578947 23.08421053] ; [24.08421053 19.91578947],0
b5,1,0.10309,2.657071,[35 16] ; [23 21],[31.13684211 19.86315789] ; [26.86315789 17.13684211],0
v3,1,0.107163,2.595567,[11 39] ; [16 27],[14.51612903 35.48387097] ; [12.48387097 30.51612903],0
r3,1,0.12763,2.321102,[44  7] ; [42  2],[46.16842105  4.83157895] ; [39.83157895  4.16842105],0
d5,1,0.140107,2.17678,[35 16] ; [36  8],[38.11578947 12.88421053] ; [32.88421053 11.11578947],0
n5,1,0.155833,2.014208,[30 21] ; [32 12],[33.28421053 17.71578947] ; [28.71578947 15.28421053],0
s1,1,0.216962,1.524355,[ 4 46] ; [ 1 43],[ 2.65957447 47.34042553] ; [ 2.34042553 41.65957447],0
b3,1,0.278919,1.172352,[ 4 19] ; [ 2 25],[ 2.76 20.24] ; [ 3.24 23.76],0
b2,1,0.278919,1.172352,[ 4 19] ; [ 2 25],[ 2.76 20.24] ; [ 3.24 23.76],0
v1,1,0.302598,1.062708,[19 32] ; [21 23],[21.47368421 29.52631579] ; [18.52631579 25.47368421],0
a6,1,0.309574,1.032494,[26 25] ; [27 17],[28.45263158 22.54736842] ; [24.54736842 19.45263158],0
d2,1,0.36725,0.812949,[22 29] ; [15 29],[19.86315789 31.13684211] ; [17.13684211 26.86315789],0
u3,1,0.368714,0.807994,[13  6] ; [8 7],[11.73529412  7.26470588] ; [9.26470588 5.73529412],0
n6,1,0.388954,0.742208,[42  9] ; [39  5],[43.48421053  7.51578947] ; [37.51578947  6.48421053],0
v2,1,0.392098,0.732427,[20 30] ; [21 22],[22.04301075 27.95698925] ; [18.95698925 24.04301075],0
v4,1,0.394228,0.725861,[44  6] ; [41  3],[45.21276596  4.78723404] ; [39.78723404  4.21276596],0
d1,1,0.408542,0.683041,[24 27] ; [17 27],[22.01052632 28.98947368] ; [18.98947368 25.01052632],0
a4,1,0.427908,0.628496,[19 32] ; [13 31],[17.17894737 33.82105263] ; [14.82105263 29.17894737],0
s3,1,0.440503,0.594972,[32 17] ; [32 12],[33.72043011 15.27956989] ; [30.27956989 13.72043011],0
a7,1,0.458417,0.549756,[35 16] ; [27 17],[33.28421053 17.71578947] ; [28.71578947 15.28421053],0
d3,1,0.471146,0.519288,[36 15] ; [28 16],[34.35789474 16.64210526] ; [29.64210526 14.35789474],0
p5,1,0.472554,0.515998,[ 1 50] ; [ 2 42],[ 1.61052632 49.38947368] ; [ 1.38947368 42.61052632],0
d4,1,0.483456,0.491056,[37 14] ; [29 15],[35.43157895 15.56842105] ; [30.56842105 13.43157895],0
r2,1,0.580239,0.305849,[46  4] ; [39  5],[45.21276596  4.78723404] ; [39.78723404  4.21276596],0
n4,1,0.605615,0.26661,[31 20] ; [29 15],[32.21052632 18.78947368] ; [27.78947368 16.21052632],0
s6,1,0.613378,0.255285,[37 11] ; [35  8],[37.97802198 10.02197802] ; [34.02197802  8.97802198],0
r1,1,0.624671,0.239356,[36 15] ; [29 15],[34.89473684 16.10526316] ; [30.10526316 13.89473684],0
p1,1,0.646777,0.209988,[ 2 49] ; [ 1 43],[ 1.61052632 49.38947368] ; [ 1.38947368 42.61052632],0
a1,1,0.646777,0.209988,[ 2 49] ; [ 1 43],[ 1.61052632 49.38947368] ; [ 1.38947368 42.61052632],0
u2,1,0.667451,0.184598,[ 9 10] ; [6 9],[ 8.38235294 10.61764706] ; [6.61764706 8.38235294],0
a3,1,0.748379,0.102898,[32 19] ; [29 15],[32.74736842 18.25263158] ; [28.25263158 15.74736842],0
s2,1,0.749274,0.102142,[31 17] ; [27 17],[30.26086957 17.73913043] ; [27.73913043 16.26086957],0
s5,1,0.763534,0.090507,[16 29] ; [17 27],[16.68539326 28.31460674] ; [16.31460674 27.68539326],0
u1,1,0.784221,0.074979,[ 6 45] ; [ 6 38],[ 6.44210526 44.55789474] ; [ 5.55789474 38.44210526],0
a2,1,0.784221,0.074979,[ 6 45] ; [ 6 38],[ 6.44210526 44.55789474] ; [ 5.55789474 38.44210526],0
r4,1,0.859622,0.031278,[41 10] ; [36  8],[41.33684211  9.66315789] ; [35.66315789  8.33684211],0
a8,1,0.886095,0.02052,[ 2 44] ; [ 2 38],[ 2.13953488 43.86046512] ; [ 1.86046512 38.13953488],0
a5,1,0.889925,0.019154,[32 19] ; [27 17],[31.67368421 19.32631579] ; [27.32631579 16.67368421],0
b1,1,0.937905,0.006069,[17 34] ; [15 29],[17.17894737 33.82105263] ; [14.82105263 29.17894737],0
n1,1,0.981629,0.00053,[ 5 14] ; [ 4 11],[ 5.02941176 13.97058824] ; [ 3.97058824 11.02941176],0
