Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.5e-05,18.792614,[11  3] ; [ 5 30],[4.57142857 9.42857143] ; [11.42857143 23.57142857],1
r4,1,1.8e-05,18.418968,[10  5] ; [ 3 32],[ 3.9 11.1] ; [ 9.1 25.9],1
p11,1,0.000121,14.773788,[11  4] ; [ 6 29],[5.1 9.9] ; [11.9 23.1],1
p10,1,0.001033,10.766607,[12  3] ; [10 24],[6.73469388 8.26530612] ; [15.26530612 18.73469388],0
p7,1,0.001324,10.308465,[8 5] ; [ 5 29],[3.59574468 9.40425532] ; [ 9.40425532 24.59574468],0
v4,1,0.001634,9.920635,[14  1] ; [16 19],[9. 6.] ; [21. 14.],0
n6,1,0.00405,8.261228,[13  1] ; [17 18],[8.57142857 5.42857143] ; [21.42857143 13.57142857],0
v2,1,0.004173,8.206966,[7 7] ; [ 4 30],[ 3.20833333 10.79166667] ; [ 7.79166667 26.20833333],0
p9,1,0.005069,7.854545,[12  3] ; [12 21],[7.5 7.5] ; [16.5 16.5],0
s6,1,0.011743,6.349206,[10  5] ; [10 25],[6. 9.] ; [14. 21.],0
v1,1,0.018422,5.555556,[8 7] ; [ 7 28],[ 4.5 10.5] ; [10.5 24.5],0
p6,1,0.02381,5.108416,[6 9] ; [ 4 30],[ 3.06122449 11.93877551] ; [ 6.93877551 27.06122449],0
b4,1,0.028818,4.778439,[13  2] ; [19 16],[9.6 5.4] ; [22.4 12.6],0
s2,1,0.034258,4.481793,[8 7] ; [ 8 27],[ 4.8 10.2] ; [11.2 23.8],0
a7,1,0.034532,4.468151,[10  5] ; [12 23],[6.6 8.4] ; [15.4 19.6],0
p3,1,0.040325,4.204159,[8 7] ; [ 8 26],[ 4.89795918 10.10204082] ; [11.10204082 22.89795918],0
p5,1,0.040801,4.184253,[ 4 11] ; [ 2 32],[ 1.83673469 13.16326531] ; [ 4.16326531 29.83673469],0
b2,1,0.048607,3.888889,[ 2 10] ; [14 14],[4.8 7.2] ; [11.2 16.8],0
b3,1,0.048607,3.888889,[ 2 10] ; [14 14],[4.8 7.2] ; [11.2 16.8],0
r2,1,0.059678,3.546315,[13  1] ; [22 11],[10.42553191  3.57446809] ; [24.57446809  8.42553191],0
p2,1,0.069562,3.293337,[9 6] ; [11 23],[6.12244898 8.87755102] ; [13.87755102 20.12244898],0
s8,1,0.082879,3.007519,[6 9] ; [ 6 29],[ 3.6 11.4] ; [ 8.4 26.6],0
r1,1,0.091368,2.850106,[9 6] ; [12 23],[6.3 8.7] ; [14.7 20.3],0
s1,1,0.122823,2.380952,[ 3 12] ; [ 2 33],[ 1.5 13.5] ; [ 3.5 31.5],0
b5,1,0.122823,2.380952,[10  5] ; [15 20],[7.5 7.5] ; [17.5 17.5],0
d1,1,0.135674,2.226345,[9 6] ; [13 22],[6.6 8.4] ; [15.4 19.6],0
p12,1,0.152885,2.043229,[ 2 13] ; [ 1 34],[ 0.9 14.1] ; [ 2.1 32.9],0
s5,1,0.156049,2.012104,[6 9] ; [ 7 27],[ 3.97959184 11.02040816] ; [ 9.02040816 24.97959184],0
a1,1,0.172077,1.864757,[ 1 14] ; [ 8 27],[ 2.7 12.3] ; [ 6.3 28.7],0
d4,1,0.17416,1.846764,[10  5] ; [16 19],[7.8 7.2] ; [18.2 16.8],0
s7,1,0.174567,1.843277,[6 9] ; [ 7 26],[ 4.0625 10.9375] ; [ 8.9375 24.0625],0
u2,1,0.17595,1.831502,[3 2] ; [ 4 11],[1.75 3.25] ; [5.25 9.75],0
d3,1,0.193493,1.690821,[9 6] ; [14 21],[6.9 8.1] ; [16.1 18.9],0
v3,1,0.247854,1.33536,[5 9] ; [ 7 28],[ 3.42857143 10.57142857] ; [ 8.57142857 26.42857143],0
a6,1,0.319868,0.989487,[10  5] ; [18 17],[8.4 6.6] ; [19.6 15.4],0
a5,1,0.368066,0.810185,[11  4] ; [21 14],[9.6 5.4] ; [22.4 12.6],0
s3,1,0.369507,0.805322,[6 6] ; [12 22],[4.69565217 7.30434783] ; [13.30434783 20.69565217],0
u3,1,0.389424,0.740741,[1 4] ; [ 1 14],[0.5 4.5] ; [ 1.5 13.5],0
a3,1,0.412262,0.672269,[10  4] ; [20 14],[8.75 5.25] ; [21.25 12.75],0
n5,1,0.447412,0.577201,[14  1] ; [30  5],[13.2  1.8] ; [30.8  4.2],0
a4,1,0.591431,0.288115,[5 9] ; [15 19],[5.83333333 8.16666667] ; [14.16666667 19.83333333],0
n2,1,0.63749,0.222039,[5 3] ; [10  9],[4.44444444 3.55555556] ; [10.55555556  8.44444444],0
n1,1,0.706197,0.142105,[4 4] ; [11  8],[4.44444444 3.55555556] ; [10.55555556  8.44444444],0
n3,1,0.793117,0.068783,[4 4] ; [ 8 10],[3.69230769 4.30769231] ; [8.30769231 9.69230769],0
b1,1,0.803606,0.061843,[8 7] ; [20 15],[8.4 6.6] ; [19.6 15.4],0
p1,1,0.80957,0.058072,[ 3 12] ; [ 6 29],[ 2.7 12.3] ; [ 6.3 28.7],0
a2,1,0.849361,0.036075,[ 2 13] ; [ 4 31],[ 1.8 13.2] ; [ 4.2 30.8],0
d2,1,0.868681,0.027335,[8 7] ; [19 15],[8.26530612 6.73469388] ; [18.73469388 15.26530612],0
u1,1,0.896608,0.016886,[ 1 14] ; [ 2 33],[ 0.9 14.1] ; [ 2.1 32.9],0
s4,1,1.0,0.0,[ 3 12] ; [ 7 28],[ 3. 12.] ; [ 7. 28.],0
d5,1,1.0,0.0,[9 6] ; [21 14],[9. 6.] ; [21. 14.],0
