Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.123538,[482  46] ; [36 16],[471.55862069  56.44137931] ; [46.44137931  5.55862069],1
r4,1,6.8e-05,15.85768,[492  37] ; [40 12],[484.38554217  44.61445783] ; [47.61445783  4.38554217],1
p10,1,9.3e-05,15.272502,[468  57] ; [35 15],[459.26086957  65.73913043] ; [43.73913043  6.26086957],1
a5,1,0.000184,13.989437,[409 120] ; [28 24],[397.88812392 131.11187608] ; [39.11187608 12.88812392],1
p3,1,0.000288,13.14992,[301 227] ; [16 36],[288.57931034 239.42068966] ; [28.42068966 23.57931034],1
b1,1,0.001817,9.725812,[189 340] ; [30 22],[199.39931153 329.60068847] ; [19.60068847 32.39931153],0
d1,1,0.001968,9.579359,[330 199] ; [21 31],[319.58519793 209.41480207] ; [31.41480207 20.58519793],0
p11,1,0.003217,8.680265,[450  79] ; [36 16],[442.50258176  86.49741824] ; [43.49741824  8.50258176],0
s7,1,0.003629,8.460577,[283 219] ; [17 32],[273.32123412 228.67876588] ; [26.67876588 22.32123412],0
r1,1,0.00451,8.066046,[437  88] ; [35 17],[429.4627383  95.5372617] ; [42.5372617  9.4627383],0
v3,1,0.004938,7.901945,[231 287] ; [11 36],[221.86902655 296.13097345] ; [20.13097345 26.86902655],0
p4,1,0.005927,7.572399,[372 156] ; [27 25],[363.22758621 164.77241379] ; [35.77241379 16.22758621],0
d4,1,0.008081,7.015357,[440  87] ; [35 16],[433.08823529  93.91176471] ; [41.91176471  9.08823529],0
p8,1,0.011717,6.353269,[323 196] ; [22 28],[314.68365554 204.31634446] ; [30.31634446 19.68365554],0
p9,1,0.015612,5.846051,[474  48] ; [40 10],[469.06993007  52.93006993] ; [44.93006993  5.06993007],0
d2,1,0.018036,5.592693,[273 254] ; [18 34],[264.86528497 262.13471503] ; [26.13471503 25.86528497],0
r2,1,0.018655,5.533602,[502  23] ; [44  6],[498.52173913  26.47826087] ; [47.47826087  2.52173913],0
d5,1,0.031301,4.636386,[447  81] ; [38 14],[441.51724138  86.48275862] ; [43.48275862  8.51724138],0
a2,1,0.032868,4.552653,[143 386] ; [ 7 45],[136.57487091 392.42512909] ; [13.42512909 38.57487091],0
a4,1,0.036941,4.353111,[252 275] ; [17 35],[244.84110535 282.15889465] ; [24.15889465 27.84110535],0
d3,1,0.043572,4.073087,[373 156] ; [29 22],[366.65172414 162.34827586] ; [35.34827586 15.65172414],0
r3,1,0.04534,4.005933,[504  20] ; [46  5],[501.2173913  22.7826087] ; [48.7826087  2.2173913],0
s5,1,0.050208,3.834483,[193 315] ; [12 38],[186.63082437 321.36917563] ; [18.36917563 31.63082437],0
u1,1,0.053549,3.726693,[110 419] ; [ 5 47],[104.70740103 424.29259897] ; [10.29259897 41.70740103],0
p1,1,0.058439,3.581146,[ 52 476] ; [ 1 51],[ 48.24827586 479.75172414] ; [ 4.75172414 47.24827586],0
u2,1,0.060619,3.520356,[68 66] ; [14  5],[71.81699346 62.18300654] ; [10.18300654  8.81699346],0
p5,1,0.071254,3.253897,[ 80 448] ; [ 3 48],[ 75.68911917 452.31088083] ; [ 7.31088083 43.68911917],0
a3,1,0.077227,3.122307,[394 133] ; [33 19],[388.65112263 138.34887737] ; [38.34887737 13.65112263],0
b5,1,0.09196,2.839717,[313 216] ; [37 15],[318.6746988 210.3253012] ; [31.3253012 20.6746988],0
s2,1,0.096746,2.758379,[288 233] ; [22 29],[282.36013986 238.63986014] ; [27.63986014 23.36013986],0
b3,1,0.102102,2.672401,[132 192] ; [ 7 21],[127.94318182 196.05681818] ; [11.05681818 16.94318182],0
b2,1,0.102102,2.672401,[132 192] ; [ 7 21],[127.94318182 196.05681818] ; [11.05681818 16.94318182],0
s8,1,0.167948,1.901162,[254 270] ; [20 32],[249.26388889 274.73611111] ; [24.73611111 27.26388889],0
p12,1,0.195083,1.678808,[ 49 477] ; [ 2 49],[ 46.49220104 479.50779896] ; [ 4.50779896 46.49220104],0
v1,1,0.289594,1.12151,[315 203] ; [26 23],[311.5308642 206.4691358] ; [29.4691358 19.5308642],0
s6,1,0.304889,1.052688,[370 143] ; [34 18],[366.81769912 146.18230088] ; [37.18230088 14.81769912],0
a7,1,0.305635,1.049445,[380 147] ; [34 18],[376.81865285 150.18134715] ; [37.18134715 14.81865285],0
p6,1,0.342714,0.900252,[225 299] ; [18 32],[221.83275261 302.16724739] ; [21.16724739 28.83275261],0
v4,1,0.351024,0.869752,[509  18] ; [47  3],[507.81975737  19.18024263] ; [48.18024263  1.81975737],0
n2,1,0.421473,0.646204,[76 22] ; [13  2],[77.18584071 20.81415929] ; [11.81415929  3.18584071],0
v2,1,0.588143,0.293253,[298 214] ; [26 22],[296.22857143 215.77142857] ; [27.77142857 20.22857143],0
s4,1,0.594084,0.284012,[ 85 435] ; [10 42],[ 86.36363636 433.63636364] ; [ 8.63636364 43.36363636],0
b4,1,0.633418,0.227454,[303 226] ; [28 24],[301.37521515 227.62478485] ; [29.62478485 22.37521515],0
n1,1,0.641691,0.216537,[41 56] ; [5 9],[40.1981982 56.8018018] ; [5.8018018 8.1981982],0
s3,1,0.641693,0.216535,[310 212] ; [28 22],[308.45454545 213.54545455] ; [29.54545455 20.45454545],0
p7,1,0.642328,0.215711,[366 153] ; [33 16],[364.57922535 154.42077465] ; [34.42077465 14.57922535],0
u3,1,0.708812,0.139466,[72 63] ; [11  8],[72.75974026 62.24025974] ; [10.24025974  8.75974026],0
a6,1,0.720719,0.127804,[363 165] ; [37 15],[364.13793103 163.86206897] ; [35.86206897 16.13793103],0
a8,1,0.855771,0.033037,[ 76 399] ; [ 8 39],[ 76.43678161 398.56321839] ; [ 7.56321839 39.43678161],0
n3,1,0.878806,0.023251,[70 28] ; [11  4],[70.24778761 27.75221239] ; [10.75221239  4.24778761],0
s1,1,0.973779,0.00108,[ 11 510] ; [ 1 48],[ 10.96842105 510.03157895] ; [ 1.03157895 47.96842105],0
