Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,24.0625,[ 21 322] ; [12 30],[ 29.4 313.6] ; [ 3.6 38.4],1
p12,1,5e-06,20.783418,[ 11 333] ; [ 8 33],[ 16.97662338 327.02337662] ; [ 2.02337662 38.97662338],1
p8,1,6.5e-05,15.961648,[155 189] ; [32  9],[167.08571429 176.91428571] ; [19.91428571 21.08571429],1
p3,1,8.1e-05,15.533658,[136 208] ; [30 12],[147.93782383 196.06217617] ; [18.06217617 23.93782383],1
s7,1,8.2e-05,15.511118,[131 198] ; [29 11],[142.65582656 186.34417344] ; [17.34417344 22.65582656],1
s6,1,0.000209,13.749317,[209 133] ; [34  3],[219.27704485 122.72295515] ; [23.72295515 13.27704485],1
p6,1,0.000262,13.327726,[107 236] ; [25 17],[117.6 225.4] ; [14.4 27.6],1
v3,1,0.000488,12.162341,[ 54 284] ; [16 26],[ 62.26315789 275.73684211] ; [ 7.73684211 34.26315789],1
s5,1,0.000862,11.103457,[ 97 240] ; [21 17],[106.04266667 230.95733333] ; [11.95733333 26.04266667],1
n4,1,0.001295,10.349647,[238 106] ; [39  3],[246.86010363  97.13989637] ; [30.13989637 11.86010363],0
a1,1,0.002317,9.279849,[  9 336] ; [ 5 37],[ 12.48062016 332.51937984] ; [ 1.51937984 40.48062016],0
n5,1,0.002794,8.937108,[234 109] ; [38  4],[242.32727273 100.67272727] ; [29.67272727 12.32727273],0
p4,1,0.006331,7.453453,[183 161] ; [31 10],[191.21038961 152.78961039] ; [22.78961039 18.21038961],0
s3,1,0.009317,6.761086,[177 165] ; [30 11],[184.84073107 157.15926893] ; [22.15926893 18.84073107],0
s8,1,0.009958,6.642402,[122 222] ; [23 18],[129.55844156 214.44155844] ; [15.44155844 25.55844156],0
n6,1,0.013359,6.120957,[274  71] ; [40  2],[279.92248062  65.07751938] ; [34.07751938  7.92248062],0
