Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,4e-05,16.858142,[ 8 24] ; [18  4],[15.40740741 16.59259259] ; [10.59259259 11.40740741],1
a4,1,0.0005,12.114828,[ 5 27] ; [14  9],[11.05454545 20.94545455] ; [ 7.94545455 15.05454545],1
a2,1,0.000638,11.66176,[ 1 31] ; [ 9 14],[ 5.81818182 26.18181818] ; [ 4.18181818 18.81818182],1
v2,1,0.009651,6.6982,[15 17] ; [18  4],[19.55555556 12.44444444] ; [13.44444444  8.55555556],0
p10,1,0.011657,6.36235,[ 5 26] ; [11 12],[ 9.18518519 21.81481481] ; [ 6.81481481 16.18518519],0
d3,1,0.013148,6.149068,[16 16] ; [19  4],[20.36363636 11.63636364] ; [14.63636364  8.36363636],0
a6,1,0.019098,5.492527,[15 17] ; [18  5],[19.2 12.8] ; [13.8  9.2],0
a7,1,0.030048,4.706545,[17 15] ; [18  4],[20.74074074 11.25925926] ; [14.25925926  7.74074074],0
a3,1,0.117523,2.450019,[17 15] ; [17  6],[19.78181818 12.21818182] ; [14.21818182  8.78181818],0
a5,1,0.146781,2.105388,[16 16] ; [16  7],[18.61818182 13.38181818] ; [13.38181818  9.61818182],0
s7,1,0.180512,1.793406,[10 20] ; [10  9],[12.24489796 17.75510204] ; [ 7.75510204 11.24489796],0
u3,1,0.200933,1.635577,[8 7] ; [5 1],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
b4,1,0.212168,1.556569,[20 12] ; [18  5],[22.10909091  9.89090909] ; [15.89090909  7.10909091],0
n6,1,0.244496,1.354482,[22 10] ; [19  4],[23.85454545  8.14545455] ; [17.14545455  5.85454545],0
r1,1,0.274192,1.195652,[24  8] ; [20  3],[25.6  6.4] ; [18.4  4.6],0
n1,1,0.280087,1.166667,[5 3] ; [2 4],[4. 4.] ; [3. 3.],0
p5,1,0.299575,1.076087,[ 4 28] ; [ 1 22],[ 2.90909091 29.09090909] ; [ 2.09090909 20.90909091],0
s1,1,0.32175,0.981818,[ 4 28] ; [ 1 21],[ 2.96296296 29.03703704] ; [ 2.03703704 19.96296296],0
b2,1,0.324127,0.972222,[ 6 15] ; [ 2 12],[ 4.8 16.2] ; [ 3.2 10.8],0
b3,1,0.324127,0.972222,[ 6 15] ; [ 2 12],[ 4.8 16.2] ; [ 3.2 10.8],0
r4,1,0.33868,0.915421,[27  5] ; [17  6],[25.6  6.4] ; [18.4  4.6],0
s4,1,0.343801,0.896208,[ 3 29] ; [ 4 18],[ 4.14814815 27.85185185] ; [ 2.85185185 19.14814815],0
p11,1,0.350013,0.873411,[14 18] ; [13 10],[15.70909091 16.29090909] ; [11.29090909 11.70909091],0
a1,1,0.36953,0.805245,[ 1 31] ; [ 2 21],[ 1.74545455 30.25454545] ; [ 1.25454545 21.74545455],0
b1,1,0.396183,0.719882,[19 13] ; [11 12],[17.45454545 14.54545455] ; [12.54545455 10.45454545],0
s5,1,0.403362,0.69828,[ 6 26] ; [ 6 15],[ 7.24528302 24.75471698] ; [ 4.75471698 16.24528302],0
p2,1,0.424552,0.637681,[16 16] ; [14  9],[17.45454545 14.54545455] ; [12.54545455 10.45454545],0
p7,1,0.463436,0.537584,[15 16] ; [ 8 13],[13.71153846 17.28846154] ; [ 9.28846154 11.71153846],0
s6,1,0.495731,0.464062,[19 13] ; [11 11],[17.77777778 14.22222222] ; [12.22222222  9.77777778],0
p3,1,0.50311,0.44837,[14 18] ; [ 8 15],[12.8 19.2] ; [ 9.2 13.8],0
s8,1,0.521853,0.410229,[ 9 23] ; [ 8 14],[10.07407407 21.92592593] ; [ 6.92592593 15.07407407],0
n3,1,0.589639,0.290909,[6 2] ; [5 3],[5.5 2.5] ; [5.5 2.5],0
a8,1,0.597525,0.278746,[ 5 25] ; [ 2 16],[ 4.375 25.625] ; [ 2.625 15.375],0
v1,1,0.632752,0.228347,[16 16] ; [13 10],[16.87272727 15.12727273] ; [12.12727273 10.87272727],0
n5,1,0.660004,0.193519,[19 13] ; [15  8],[19.78181818 12.21818182] ; [14.21818182  8.78181818],0
n4,1,0.681771,0.168139,[25  7] ; [19  4],[25.6  6.4] ; [18.4  4.6],0
r2,1,0.695299,0.153409,[30  2] ; [20  2],[29.62962963  2.37037037] ; [20.37037037  1.62962963],0
p4,1,0.728062,0.120899,[14 17] ; [11 11],[14.62264151 16.37735849] ; [10.37735849 11.62264151],0
s2,1,0.758261,0.094719,[14 17] ; [ 9 13],[13.45283019 17.54716981] ; [ 9.54716981 12.45283019],0
p1,1,0.75929,0.093889,[ 2 30] ; [ 1 22],[ 1.74545455 30.25454545] ; [ 1.25454545 21.74545455],0
p8,1,0.783002,0.07585,[10 22] ; [ 8 15],[10.47272727 21.52727273] ; [ 7.52727273 15.47272727],0
r3,1,0.839821,0.040854,[27  5] ; [19  3],[27.25925926  4.74074074] ; [18.74074074  3.25925926],0
p6,1,0.85103,0.035271,[ 4 28] ; [ 3 18],[ 4.22641509 27.77358491] ; [ 2.77358491 18.22641509],0
v4,1,0.952432,0.003558,[28  4] ; [20  3],[27.92727273  4.07272727] ; [20.07272727  2.92727273],0
s3,1,0.967456,0.001665,[15 16] ; [11 12],[14.92592593 16.07407407] ; [11.07407407 11.92592593],0
b5,1,0.974985,0.000983,[21 11] ; [15  8],[20.94545455 11.05454545] ; [15.05454545  7.94545455],0
u2,1,1.0,0.0,[7 7] ; [3 3],[7. 7.] ; [3. 3.],0
