Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000714,11.452723,[11  3] ; [ 5 18],[6.05405405 7.94594595] ; [ 9.94594595 13.05405405],1
p2,1,0.038208,4.295748,[12  2] ; [12 11],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
p6,1,0.048398,3.896104,[6 8] ; [ 3 19],[ 3.5 10.5] ; [ 5.5 16.5],0
p10,1,0.051596,3.788817,[11  2] ; [12 11],[8.30555556 4.69444444] ; [14.69444444  8.30555556],0
r4,1,0.074919,3.171812,[7 7] ; [ 5 18],[4.54054054 9.45945946] ; [ 7.45945946 15.54054054],0
p4,1,0.080732,3.0501,[9 5] ; [ 8 15],[6.43243243 7.56756757] ; [10.56756757 12.43243243],0
p9,1,0.085886,2.949833,[11  2] ; [13 10],[8.66666667 4.33333333] ; [15.33333333  7.66666667],0
p5,1,0.104645,2.633282,[ 3 11] ; [ 1 22],[ 1.51351351 12.48648649] ; [ 2.48648649 20.51351351],0
b4,1,0.108543,2.575306,[6 8] ; [16  7],[8.32432432 5.67567568] ; [13.67567568  9.32432432],0
b1,1,0.137618,2.204397,[9 5] ; [ 9 14],[6.81081081 7.18918919] ; [11.18918919 11.81081081],0
d3,1,0.173023,1.856556,[11  3] ; [13 10],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
p3,1,0.236289,1.402597,[5 9] ; [ 4 18],[ 3.5 10.5] ; [ 5.5 16.5],0
a5,1,0.2473,1.33849,[10  4] ; [12 11],[8.32432432 5.67567568] ; [13.67567568  9.32432432],0
s4,1,0.271879,1.20724,[ 3 11] ; [ 2 21],[ 1.89189189 12.10810811] ; [ 3.10810811 19.89189189],0
n5,1,0.329889,0.949333,[9 5] ; [11 12],[7.56756757 6.43243243] ; [12.43243243 10.56756757],0
s3,1,0.353736,0.86001,[4 9] ; [ 4 19],[ 2.88888889 10.11111111] ; [ 5.11111111 17.88888889],0
s7,1,0.356957,0.848571,[4 8] ; [ 4 17],[2.90909091 9.09090909] ; [ 5.09090909 15.90909091],0
n3,1,0.360387,0.836543,[4 1] ; [5 4],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
r1,1,0.360533,0.836034,[7 7] ; [ 8 15],[5.67567568 8.32432432] ; [ 9.32432432 13.67567568],0
r3,1,0.360865,0.834879,[12  2] ; [16  6],[10.88888889  3.11111111] ; [17.11111111  4.88888889],0
a6,1,0.36454,0.822191,[10  4] ; [13 10],[8.7027027 5.2972973] ; [14.2972973  8.7027027],0
n4,1,0.419946,0.650467,[6 8] ; [13 10],[7.18918919 6.81081081] ; [11.81081081 11.18918919],0
v3,1,0.423026,0.641893,[ 4 10] ; [ 4 19],[ 3.02702703 10.97297297] ; [ 4.97297297 18.02702703],0
s2,1,0.437813,0.602007,[ 3 10] ; [ 3 20],[ 2.16666667 10.83333333] ; [ 3.83333333 19.16666667],0
d1,1,0.514084,0.425745,[ 4 10] ; [ 9 14],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],0
v4,1,0.514084,0.425745,[10  4] ; [14  9],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
v2,1,0.549495,0.358222,[7 6] ; [10 13],[6.13888889 6.86111111] ; [10.86111111 12.13888889],0
a1,1,0.595365,0.282044,[ 2 12] ; [ 2 21],[ 1.51351351 12.48648649] ; [ 2.48648649 20.51351351],0
d4,1,0.638512,0.220694,[10  4] ; [18  5],[10.59459459  3.40540541] ; [17.40540541  5.59459459],0
n6,1,0.640854,0.217627,[9 5] ; [13 10],[8.32432432 5.67567568] ; [13.67567568  9.32432432],0
s6,1,0.699454,0.149041,[7 7] ; [10 13],[6.43243243 7.56756757] ; [10.56756757 12.43243243],0
a8,1,0.72647,0.122378,[ 3 10] ; [ 4 18],[ 2.6 10.4] ; [ 4.4 17.6],0
u2,1,0.73244,0.116883,[5 2] ; [7 4],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
a4,1,0.739356,0.110694,[5 9] ; [ 7 16],[4.54054054 9.45945946] ; [ 7.45945946 15.54054054],0
a3,1,0.789993,0.070926,[7 7] ; [12 10],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
s5,1,0.803708,0.061778,[ 2 12] ; [ 4 19],[ 2.27027027 11.72972973] ; [ 3.72972973 19.27027027],0
b5,1,0.835388,0.043179,[9 5] ; [14  9],[8.7027027 5.2972973] ; [14.2972973  8.7027027],0
