Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.00033,12.891977,[16  6] ; [29 64],[ 8.60869565 13.39130435] ; [36.39130435 56.60869565],1
r4,1,0.034171,4.486146,[19  3] ; [61 36],[14.78991597  7.21008403] ; [65.21008403 31.78991597],0
b1,1,0.036764,4.361294,[14  8] ; [38 59],[ 9.61344538 12.38655462] ; [42.38655462 54.61344538],0
v2,1,0.04344,4.078203,[12 10] ; [28 61],[ 7.92792793 14.07207207] ; [32.07207207 56.92792793],0
p8,1,0.060347,3.527819,[10 11] ; [26 71],[ 6.40677966 14.59322034] ; [29.59322034 67.40677966],0
v4,1,0.082725,3.01053,[21  1] ; [76 19],[18.23931624  3.76068376] ; [78.76068376 16.23931624],0
n4,1,0.099019,2.721277,[17  5] ; [56 40],[13.61016949  8.38983051] ; [59.38983051 36.61016949],0
d3,1,0.106319,2.608103,[ 4 18] ; [35 62],[ 7.21008403 14.78991597] ; [31.78991597 65.21008403],0
r1,1,0.117389,2.451813,[17  5] ; [57 39],[13.79661017  8.20338983] ; [60.20338983 35.79661017],0
s3,1,0.135074,2.233196,[13  9] ; [39 55],[ 9.86206897 12.13793103] ; [42.13793103 51.86206897],0
v3,1,0.150128,2.07095,[ 9 13] ; [24 70],[ 6.25862069 15.74137931] ; [26.74137931 67.25862069],0
s8,1,0.197624,1.659844,[ 6 15] ; [16 81],[ 3.91525424 17.08474576] ; [18.08474576 78.91525424],0
b4,1,0.24447,1.354632,[ 9 13] ; [53 44],[11.46218487 10.53781513] ; [50.53781513 46.46218487],0
v1,1,0.24538,1.34942,[11 11] ; [34 59],[ 8.60869565 13.39130435] ; [36.39130435 56.60869565],0
s7,1,0.257652,1.281331,[ 8 13] ; [24 69],[ 5.89473684 15.10526316] ; [26.10526316 66.89473684],0
a5,1,0.26428,1.2462,[11 11] ; [36 61],[ 8.68907563 13.31092437] ; [38.31092437 58.68907563],0
a8,1,0.302792,1.061856,[ 1 21] ; [11 80],[ 2.33628319 19.66371681] ; [ 9.66371681 81.33628319],0
s5,1,0.324487,0.970775,[ 6 15] ; [18 77],[ 4.34482759 16.65517241] ; [19.65517241 75.34482759],0
s6,1,0.349969,0.87357,[11 10] ; [40 57],[ 9.07627119 11.92372881] ; [41.92372881 55.07627119],0
r3,1,0.375384,0.785764,[19  3] ; [74 21],[17.48717949  4.51282051] ; [75.51282051 19.48717949],0
p6,1,0.378591,0.775272,[ 5 15] ; [16 80],[ 3.62068966 16.37931034] ; [17.37931034 78.62068966],0
d4,1,0.408125,0.684257,[12 10] ; [43 53],[10.25423729 11.74576271] ; [44.74576271 51.25423729],0
b2,1,0.449517,0.571869,[6 6] ; [21 34],[4.8358209 7.1641791] ; [22.1641791 32.8358209],0
b3,1,0.449517,0.571869,[6 6] ; [21 34],[4.8358209 7.1641791] ; [22.1641791 32.8358209],0
a1,1,0.478678,0.501874,[ 2 20] ; [ 5 92],[ 1.29411765 20.70588235] ; [ 5.70588235 91.29411765],0
n5,1,0.500886,0.453058,[13  9] ; [64 32],[14.3559322  7.6440678] ; [62.6440678 33.3559322],0
a4,1,0.576141,0.312514,[ 4 18] ; [13 83],[ 3.16949153 18.83050847] ; [13.83050847 82.16949153],0
n1,1,0.578405,0.30882,[2 2] ; [14 25],[1.48837209 2.51162791] ; [14.51162791 24.48837209],0
a3,1,0.587873,0.293678,[11 11] ; [41 53],[ 9.86206897 12.13793103] ; [42.13793103 51.86206897],0
a6,1,0.605881,0.266217,[12 10] ; [47 50],[10.90756303 11.09243697] ; [48.09243697 48.90756303],0
s2,1,0.626208,0.237238,[ 6 16] ; [31 64],[ 6.95726496 15.04273504] ; [30.04273504 64.95726496],0
a7,1,0.636397,0.223485,[10 12] ; [49 47],[11. 11.] ; [48. 48.],0
n6,1,0.665864,0.186479,[14  8] ; [65 30],[14.85470085  7.14529915] ; [64.14529915 30.85470085],0
b5,1,0.668181,0.183737,[10 12] ; [49 48],[10.90756303 11.09243697] ; [48.09243697 48.90756303],0
p5,1,0.732864,0.116498,[ 1 21] ; [ 3 94],[ 0.7394958 21.2605042] ; [ 3.2605042 93.7394958],0
d1,1,0.732864,0.116498,[ 1 21] ; [ 3 94],[ 0.7394958 21.2605042] ; [ 3.2605042 93.7394958],0
p10,1,0.814573,0.055005,[12 10] ; [55 41],[12.49152542  9.50847458] ; [54.50847458 41.49152542],0
p9,1,0.831269,0.045401,[14  7] ; [61 34],[13.57758621  7.42241379] ; [61.42241379 33.57758621],0
u2,1,0.866273,0.028357,[4 6] ; [24 32],[4.24242424 5.75757576] ; [23.75757576 32.24242424],0
u3,1,0.873704,0.025267,[5 6] ; [24 32],[4.76119403 6.23880597] ; [24.23880597 31.76119403],0
s4,1,0.880162,0.02273,[ 4 18] ; [19 78],[ 4.25210084 17.74789916] ; [18.74789916 78.25210084],0
p1,1,0.897558,0.016576,[ 2 20] ; [ 8 89],[ 1.8487395 20.1512605] ; [ 8.1512605 88.8487395],0
p2,1,0.907184,0.013593,[13  9] ; [56 41],[12.75630252  9.24369748] ; [56.24369748 40.75630252],0
p11,1,0.915827,0.011171,[15  7] ; [65 32],[14.78991597  7.21008403] ; [65.21008403 31.78991597],0
u1,1,0.929067,0.007924,[ 1 21] ; [ 4 93],[ 0.92436975 21.07563025] ; [ 4.07563025 92.92436975],0
d2,1,0.96738,0.001672,[ 4 18] ; [18 79],[ 4.06722689 17.93277311] ; [17.93277311 79.06722689],0
