Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-05,19.51608,[17 30] ; [111  44],[29.78217822 17.21782178] ; [98.21782178 56.78217822],1
p2,1,0.00012,14.79055,[24 23] ; [121  31],[34.24623116 12.75376884] ; [110.75376884  41.24623116],1
d3,1,0.000408,12.495642,[28 19] ; [130  25],[36.76237624 10.23762376] ; [121.23762376  33.76237624],1
n1,1,0.000701,11.485795,[11  7] ; [ 9 40],[ 5.37313433 12.62686567] ; [14.62686567 34.37313433],1
b1,1,0.003213,8.682434,[26 21] ; [ 49 106],[17.45049505 29.54950495] ; [57.54950495 97.45049505],0
u1,1,0.00787,7.06293,[ 1 46] ; [ 27 128],[ 6.51485149 40.48514851] ; [ 21.48514851 133.51485149],0
p9,1,0.008583,6.907652,[25 21] ; [112  38],[32.15306122 13.84693878] ; [104.84693878  45.15306122],0
a2,1,0.015752,5.830368,[ 3 44] ; [ 34 121],[ 8.60891089 38.39108911] ; [ 28.39108911 126.60891089],0
s4,1,0.031948,4.601298,[15 32] ; [ 27 128],[ 9.77227723 37.22772277] ; [ 32.22772277 122.77227723],0
v4,1,0.038971,4.262129,[38  8] ; [142  11],[41.6080402  4.3919598] ; [138.3919598  14.6080402],0
p10,1,0.039725,4.229598,[25 21] ; [106  44],[30.74489796 15.25510204] ; [100.25510204  49.74489796],0
a4,1,0.043665,4.069454,[26 21] ; [60 95],[20.00990099 26.99009901] ; [65.99009901 89.00990099],0
d2,1,0.114974,2.484491,[28 19] ; [72 83],[23.26732673 23.73267327] ; [76.73267327 78.26732673],0
b5,1,0.183683,1.767572,[24 23] ; [96 59],[27.92079208 19.07920792] ; [92.07920792 62.92079208],0
n3,1,0.190433,1.714262,[10  7] ; [37 12],[12.10606061  4.89393939] ; [34.89393939 14.10606061],0
s5,1,0.207878,1.586142,[16 26] ; [ 42 108],[12.6875 29.3125] ; [ 45.3125 104.6875],0
a1,1,0.211863,1.55865,[ 3 44] ; [  4 151],[ 1.62871287 45.37128713] ; [  5.37128713 149.62871287],0
n6,1,0.228788,1.448382,[25 22] ; [97 57],[28.52736318 18.47263682] ; [93.47263682 60.52736318],0
a8,1,0.263488,1.250335,[ 1 45] ; [  9 130],[ 2.48648649 43.51351351] ; [  7.51351351 131.48648649],0
r1,1,0.279692,1.168584,[32 15] ; [117  37],[34.84079602 12.15920398] ; [114.15920398  39.84079602],0
s1,1,0.290438,1.117588,[ 4 43] ; [  7 148],[ 2.55940594 44.44059406] ; [  8.44059406 146.55940594],0
v3,1,0.326511,0.962688,[ 9 32] ; [ 44 104],[11.4973545 29.5026455] ; [ 41.5026455 106.4973545],0
a3,1,0.347958,0.88089,[29 18] ; [107  48],[31.64356436 15.35643564] ; [104.35643564  50.64356436],0
n4,1,0.362925,0.827745,[22 25] ; [61 94],[19.31188119 27.68811881] ; [63.68811881 91.31188119],0
p6,1,0.375203,0.786359,[14 31] ; [ 37 114],[11.70918367 33.29081633] ; [ 39.29081633 111.70918367],0
