Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.068144,3.32716,[ 2 16] ; [2 2],[ 3.27272727 14.72727273] ; [0.72727273 3.27272727],0
r2,1,0.071292,3.253019,[33 10] ; [6 6],[30.49090909 12.50909091] ; [8.50909091 3.49090909],0
d1,1,0.102966,2.658995,[19 26] ; [ 2 10],[16.57894737 28.42105263] ; [4.42105263 7.57894737],0
s2,1,0.111358,2.534841,[14 31] ; [ 1 11],[11.84210526 33.15789474] ; [3.15789474 8.84210526],0
s5,1,0.132529,2.262626,[13 31] ; [ 1 11],[11. 33.] ; [3. 9.],0
a7,1,0.138397,2.195688,[22 23] ; [3 9],[19.73684211 25.26315789] ; [5.26315789 6.73684211],0
s8,1,0.168378,1.897327,[12 32] ; [ 1 11],[10.21428571 33.78571429] ; [2.78571429 9.21428571],0
n1,1,0.169327,1.888889,[15 10] ; [3 6],[13.23529412 11.76470588] ; [4.76470588 4.23529412],0
b1,1,0.176787,1.824432,[24 21] ; [9 3],[26.05263158 18.94736842] ; [6.94736842 5.05263158],0
d2,1,0.192685,1.69697,[24 20] ; [4 8],[22. 22.] ; [6. 6.],0
b4,1,0.200036,1.642109,[28 17] ; [5 7],[26.05263158 18.94736842] ; [6.94736842 5.05263158],0
p4,1,0.243958,1.357576,[14 30] ; [6 6],[15.71428571 28.28571429] ; [4.28571429 7.71428571],0
a6,1,0.255461,1.293187,[27 18] ; [5 7],[25.26315789 19.73684211] ; [6.73684211 5.26315789],0
p2,1,0.281815,1.158319,[18 26] ; [7 5],[19.64285714 24.35714286] ; [5.35714286 6.64285714],0
a5,1,0.287572,1.130952,[30 15] ; [6 6],[28.42105263 16.57894737] ; [7.57894737 4.42105263],0
a1,1,0.345103,0.891383,[ 9 36] ; [ 1 11],[ 7.89473684 37.10526316] ; [2.10526316 9.89473684],0
a4,1,0.354714,0.85652,[17 26] ; [3 9],[15.63636364 27.36363636] ; [4.36363636 7.63636364],0
p3,1,0.371861,0.797438,[13 31] ; [ 2 10],[11.78571429 32.21428571] ; [3.21428571 8.78571429],0
p7,1,0.389023,0.741994,[12 30] ; [5 7],[13.22222222 28.77777778] ; [3.77777778 8.22222222],0
r1,1,0.408213,0.684,[21 24] ; [4 8],[19.73684211 25.26315789] ; [5.26315789 6.73684211],0
p1,1,0.425333,0.635532,[ 8 37] ; [ 1 11],[ 7.10526316 37.89473684] ; [ 1.89473684 10.10526316],0
s3,1,0.431606,0.618498,[16 27] ; [3 9],[14.85454545 28.14545455] ; [4.14545455 7.85454545],0
s1,1,0.435354,0.608497,[ 4 41] ; [ 2 10],[ 4.73684211 40.26315789] ; [ 1.26315789 10.73684211],0
v3,1,0.544467,0.367323,[11 33] ; [ 2 10],[10.21428571 33.78571429] ; [2.78571429 9.21428571],0
d4,1,0.560919,0.338116,[22 23] ; [7 5],[22.89473684 22.10526316] ; [6.10526316 5.89473684],0
b5,1,0.560919,0.338116,[23 22] ; [5 7],[22.10526316 22.89473684] ; [5.89473684 6.10526316],0
s4,1,0.573239,0.317292,[ 8 37] ; [3 9],[ 8.68421053 36.31578947] ; [2.31578947 9.68421053],0
n6,1,0.627336,0.23569,[29 15] ; [7 5],[28.28571429 15.71428571] ; [7.71428571 4.28571429],0
d5,1,0.629492,0.23275,[26 19] ; [6 6],[25.26315789 19.73684211] ; [6.73684211 5.26315789],0
a2,1,0.639149,0.219857,[ 6 39] ; [ 1 11],[ 5.52631579 39.47368421] ; [ 1.47368421 10.52631579],0
p9,1,0.682488,0.167339,[22 20] ; [5 6],[21.39622642 20.60377358] ; [5.60377358 5.39622642],0
s7,1,0.696022,0.152643,[13 30] ; [4 7],[13.53703704 29.46296296] ; [3.46296296 7.53703704],0
v1,1,0.764926,0.089412,[13 32] ; [4 8],[13.42105263 31.57894737] ; [3.57894737 8.42105263],0
p8,1,0.773828,0.082583,[14 30] ; [4 7],[14.4 29.6] ; [3.6 7.4],0
p11,1,0.776725,0.080423,[17 28] ; [4 8],[16.57894737 28.42105263] ; [4.42105263 7.57894737],0
p10,1,0.779585,0.078322,[20 24] ; [6 6],[20.42857143 23.57142857] ; [5.57142857 6.42857143],0
a3,1,0.805066,0.060908,[27 16] ; [8 4],[27.36363636 15.63636364] ; [7.63636364 4.36363636],0
u1,1,0.840836,0.04033,[ 3 42] ; [ 1 11],[ 3.15789474 41.84210526] ; [ 0.84210526 11.15789474],0
p12,1,0.840836,0.04033,[ 3 42] ; [ 1 11],[ 3.15789474 41.84210526] ; [ 0.84210526 11.15789474],0
b2,1,0.844233,0.038605,[14 22] ; [3 4],[14.23255814 21.76744186] ; [2.76744186 4.23255814],0
b3,1,0.844233,0.038605,[14 22] ; [3 4],[14.23255814 21.76744186] ; [2.76744186 4.23255814],0
p5,1,0.855392,0.033213,[ 7 37] ; [2 9],[ 7.2 36.8] ; [1.8 9.2],0
p6,1,0.868714,0.027322,[10 34] ; [3 9],[10.21428571 33.78571429] ; [2.78571429 9.21428571],0
n2,1,0.885857,0.020606,[16  9] ; [6 3],[16.17647059  8.82352941] ; [5.82352941 3.17647059],0
v4,1,0.886038,0.020541,[29 16] ; [8 4],[29.21052632 15.78947368] ; [7.78947368 4.21052632],0
u2,1,0.910162,0.012731,[ 5 13] ; [1 3],[ 4.90909091 13.09090909] ; [1.09090909 2.90909091],0
n3,1,0.943109,0.005093,[11 13] ; [4 5],[10.90909091 13.09090909] ; [4.09090909 4.90909091],0
v2,1,0.967391,0.001671,[11 32] ; [3 9],[10.94545455 32.05454545] ; [3.05454545 8.94545455],0
d3,1,0.972372,0.001199,[19 26] ; [5 7],[18.94736842 26.05263158] ; [5.05263158 6.94736842],0
