Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,62.724103,[259  58] ; [53 69],[225.29384966  91.70615034] ; [86.70615034 35.29384966],1
a6,1,0.0,60.32268,[247  69] ; [48 74],[212.83105023 103.16894977] ; [82.16894977 39.83105023],1
a2,1,1e-06,23.594684,[104 215] ; [ 12 110],[ 83.90929705 235.09070295] ; [32.09070295 89.90929705],1
u1,1,6e-06,20.352202,[ 79 240] ; [  7 115],[ 62.20861678 256.79138322] ; [23.79138322 98.20861678],1
d1,1,0.000452,12.305833,[217 102] ; [61 61],[201.09297052 117.90702948] ; [76.90702948 45.09297052],1
b5,1,0.002306,9.288634,[205 114] ; [59 63],[190.96598639 128.03401361] ; [73.03401361 48.96598639],0
v2,1,0.008002,7.033031,[187 116] ; [55 61],[175.00238663 127.99761337] ; [66.99761337 49.00238663],0
b3,1,0.009513,6.723833,[ 64 124] ; [43 42],[ 73.68498168 114.31501832] ; [33.31501832 51.68498168],0
b2,1,0.009513,6.723833,[ 64 124] ; [43 42],[ 73.68498168 114.31501832] ; [33.31501832 51.68498168],0
b1,1,0.019213,5.482008,[108 211] ; [56 66],[118.63038549 200.36961451] ; [45.36961451 76.63038549],0
r2,1,0.034019,4.493759,[307   6] ; [114   7],[303.62442396   9.37557604] ; [117.37557604   3.62442396],0
r1,1,0.041136,4.170385,[265  51] ; [92 30],[257.56164384  58.43835616] ; [99.43835616 22.56164384],0
u3,1,0.045293,4.007711,[55 28] ; [11 14],[50.72222222 32.27777778] ; [15.27777778  9.72222222],0
u2,1,0.049719,3.850925,[51 31] ; [10 15],[46.74766355 35.25233645] ; [14.25233645 10.74766355],0
r4,1,0.067359,3.34624,[297  22] ; [107  15],[292.23582766  26.76417234] ; [111.76417234  10.23582766],0
d5,1,0.068304,3.323316,[265  52] ; [92 29],[258.37671233  58.62328767] ; [98.62328767 22.37671233],0
a5,1,0.07366,3.199508,[246  73] ; [84 38],[238.70748299  80.29251701] ; [91.29251701 30.70748299],0
s7,1,0.094074,2.803246,[199 109] ; [87 32],[206.29508197 101.70491803] ; [79.70491803 39.29508197],0
s2,1,0.100072,2.70439,[265  54] ; [93 29],[258.96145125  60.03854875] ; [99.03854875 22.96145125],0
s8,1,0.100307,2.700652,[186 131] ; [82 40],[193.52164009 123.47835991] ; [74.47835991 47.52164009],0
v4,1,0.103173,2.655796,[307  10] ; [113   8],[303.97260274  13.02739726] ; [116.02739726   4.97260274],0
a1,1,0.114806,2.486779,[ 14 305] ; [ 10 112],[ 17.36054422 301.63945578] ; [  6.63945578 115.36054422],0
s1,1,0.134467,2.240166,[ 15 301] ; [  2 119],[ 12.29290618 303.70709382] ; [  4.70709382 116.29290618],0
n1,1,0.139719,2.181051,[24 38] ; [17 14],[27.33333333 34.66666667] ; [13.66666667 17.33333333],0
a3,1,0.152596,2.046104,[234  84] ; [97 24],[239.76765376  78.23234624] ; [91.23234624 29.76765376],0
n6,1,0.176986,1.822754,[276  39] ; [100  21],[271.65137615  43.34862385] ; [104.34862385  16.65137615],0
p10,1,0.190195,1.716109,[290  26] ; [107  15],[286.42009132  29.57990868] ; [110.57990868  11.42009132],0
d4,1,0.22421,1.477217,[274  43] ; [99 22],[269.956621  47.043379] ; [103.043379  17.956621],0
p11,1,0.225572,1.468565,[256  63] ; [104  18],[260.40816327  58.59183673] ; [99.59183673 22.40816327],0
n4,1,0.228691,1.448984,[249  69] ; [101  20],[253.53075171  64.46924829] ; [96.46924829 24.53075171],0
p7,1,0.26905,1.221585,[204 103] ; [85 33],[208.76  98.24] ; [80.24 37.76],0
p12,1,0.286802,1.134573,[ 41 278] ; [ 11 109],[ 37.78587699 281.21412301] ; [ 14.21412301 105.78587699],0
v1,1,0.36319,0.826831,[166 139] ; [70 48],[170.16548463 134.83451537] ; [65.83451537 52.16548463],0
n3,1,0.388307,0.744238,[49 13] ; [22  9],[47.33333333 14.66666667] ; [23.66666667  7.33333333],0
b4,1,0.429892,0.623116,[191 128] ; [68 54],[187.34920635 131.65079365] ; [71.65079365 50.34920635],0
n2,1,0.437095,0.603896,[50 12] ; [27  4],[51.33333333 10.66666667] ; [25.66666667  5.33333333],0
d2,1,0.473393,0.514045,[168 149] ; [60 62],[164.63781321 152.36218679] ; [63.36218679 58.63781321],0
n5,1,0.481027,0.496535,[250  68] ; [98 22],[252.65753425  65.34246575] ; [95.34246575 24.65753425],0
