Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,36.5625,[21 31] ; [60  5],[36. 16.] ; [45. 20.],1
s6,1,0.000136,14.552159,[10 42] ; [34 29],[19.89565217 32.10434783] ; [24.10434783 38.89565217],1
r2,1,0.000202,13.815402,[35 17] ; [61  4],[42.66666667  9.33333333] ; [53.33333333 11.66666667],1
r3,1,0.000583,11.830494,[33 18] ; [59  6],[40.44827586 10.55172414] ; [51.55172414 13.44827586],1
v4,1,0.000781,11.286463,[36 15] ; [61  4],[42.64655172  8.35344828] ; [54.35344828 10.64655172],1
p11,1,0.001271,10.384627,[27 25] ; [52 13],[35.11111111 16.88888889] ; [43.88888889 21.11111111],0
n4,1,0.002421,9.199294,[26 26] ; [50 15],[33.77777778 18.22222222] ; [42.22222222 22.77777778],0
v2,1,0.003035,8.786396,[10 41] ; [27 31],[17.31192661 33.68807339] ; [19.68807339 38.31192661],0
a5,1,0.004574,8.040615,[13 39] ; [33 32],[20.44444444 31.55555556] ; [25.55555556 39.44444444],0
a7,1,0.006487,7.409914,[20 31] ; [42 23],[27.25862069 23.74137931] ; [34.74137931 30.25862069],0
p4,1,0.008938,6.835076,[14 38] ; [33 32],[20.88888889 31.11111111] ; [26.11111111 38.88888889],0
a6,1,0.008989,6.825,[21 31] ; [42 23],[28. 24.] ; [35. 30.],0
v1,1,0.012591,6.225718,[13 39] ; [30 33],[19.44347826 32.55652174] ; [23.55652174 39.44347826],0
v3,1,0.013573,6.092822,[ 7 44] ; [21 41],[12.63716814 38.36283186] ; [15.36283186 46.63716814],0
n2,1,0.014014,6.036441,[8 9] ; [17  3],[11.48648649  5.51351351] ; [13.51351351  6.48648649],0
a3,1,0.045311,4.007016,[16 36] ; [31 32],[21.25217391 30.74782609] ; [25.74782609 37.25217391],0
p3,1,0.0703,3.276,[14 38] ; [28 37],[18.66666667 33.33333333] ; [23.33333333 41.66666667],0
p12,1,0.093698,2.809658,[ 1 51] ; [ 6 58],[ 3.13793103 48.86206897] ; [ 3.86206897 60.13793103],0
u3,1,0.096973,2.75463,[11 25] ; [17 17],[14.4 21.6] ; [13.6 20.4],0
b1,1,0.118711,2.43424,[25 27] ; [22 43],[20.88888889 31.11111111] ; [26.11111111 38.88888889],0
s5,1,0.128918,2.305491,[ 2 50] ; [ 7 53],[ 4.17857143 47.82142857] ; [ 4.82142857 55.17857143],0
n3,1,0.177262,1.820433,[11  6] ; [16  3],[12.75  4.25] ; [14.25  4.75],0
p2,1,0.179102,1.805058,[30 21] ; [46 19],[33.4137931 17.5862069] ; [42.5862069 22.4137931],0
n6,1,0.226533,1.4625,[33 19] ; [48 17],[36. 16.] ; [45. 20.],0
a2,1,0.251508,1.314908,[ 2 50] ; [ 6 59],[ 3.55555556 48.44444444] ; [ 4.44444444 60.55555556],0
a1,1,0.260732,1.264865,[ 4 48] ; [ 2 63],[ 2.66666667 49.33333333] ; [ 3.33333333 61.66666667],0
s3,1,0.276903,1.182227,[14 37] ; [23 39],[16.69911504 34.30088496] ; [20.30088496 41.69911504],0
d2,1,0.282329,1.155847,[13 39] ; [11 54],[10.66666667 41.33333333] ; [13.33333333 51.66666667],0
d3,1,0.300078,1.073848,[ 9 41] ; [17 48],[11.30434783 38.69565217] ; [14.69565217 50.30434783],0
d5,1,0.310099,1.030254,[18 33] ; [29 36],[20.6637931 30.3362069] ; [26.3362069 38.6637931],0
n1,1,0.329889,0.949333,[ 5 12] ; [ 9 11],[ 6.43243243 10.56756757] ; [ 7.56756757 12.43243243],0
b4,1,0.340773,0.907522,[25 27] ; [37 28],[27.55555556 24.44444444] ; [34.44444444 30.55555556],0
b3,1,0.372552,0.795136,[ 8 21] ; [ 7 31],[ 6.49253731 22.50746269] ; [ 8.50746269 29.49253731],0
b2,1,0.372552,0.795136,[ 8 21] ; [ 7 31],[ 6.49253731 22.50746269] ; [ 8.50746269 29.49253731],0
a8,1,0.377185,0.779857,[ 4 44] ; [ 8 50],[ 5.43396226 42.56603774] ; [ 6.56603774 51.43396226],0
s8,1,0.411497,0.674471,[ 6 46] ; [11 54],[ 7.55555556 44.44444444] ; [ 9.44444444 55.55555556],0
p10,1,0.415524,0.662939,[25 24] ; [37 26],[27.125 21.875] ; [34.875 28.125],0
p7,1,0.415607,0.662704,[22 29] ; [32 31],[24.15789474 26.84210526] ; [29.84210526 33.15789474],0
p6,1,0.422274,0.643978,[ 9 42] ; [15 48],[10.73684211 40.26315789] ; [13.26315789 49.73684211],0
p1,1,0.507121,0.440003,[ 5 46] ; [ 9 56],[ 6.15517241 44.84482759] ; [ 7.84482759 57.15517241],0
n5,1,0.533688,0.387365,[34 18] ; [46 19],[35.55555556 16.44444444] ; [44.44444444 20.55555556],0
s2,1,0.578813,0.308157,[ 8 44] ; [12 50],[ 9.12280702 42.87719298] ; [10.87719298 51.12280702],0
p5,1,0.593443,0.285,[ 2 48] ; [ 4 60],[ 2.63157895 47.36842105] ; [ 3.36842105 60.63157895],0
b5,1,0.645752,0.211299,[31 21] ; [36 29],[29.77777778 22.22222222] ; [37.22222222 27.77777778],0
a4,1,0.651635,0.203846,[ 9 43] ; [13 50],[ 9.94782609 42.05217391] ; [12.05217391 50.94782609],0
u2,1,0.668802,0.183007,[12 24] ; [13 21],[12.85714286 23.14285714] ; [12.14285714 21.85714286],0
p8,1,0.739288,0.110754,[19 32] ; [25 37],[19.85840708 31.14159292] ; [24.14159292 37.85840708],0
s4,1,0.743166,0.107363,[ 7 45] ; [10 54],[ 7.62068966 44.37931034] ; [ 9.37931034 54.62068966],0
s1,1,0.824618,0.049111,[ 3 49] ; [ 3 59],[ 2.73684211 49.26315789] ; [ 3.26315789 58.73684211],0
d1,1,0.873288,0.025435,[ 1 51] ; [ 1 64],[ 0.88888889 51.11111111] ; [ 1.11111111 63.88888889],0
p9,1,0.971813,0.001249,[32 17] ; [42 22],[32.08849558 16.91150442] ; [41.91150442 22.08849558],0
