Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.002404,9.212112,[14 10] ; [11 38],[ 8.21917808 15.78082192] ; [16.78082192 32.21917808],0
b2,1,0.002404,9.212112,[14 10] ; [11 38],[ 8.21917808 15.78082192] ; [16.78082192 32.21917808],0
v2,1,0.012272,6.271191,[35 12] ; [41 38],[28.34920635 18.65079365] ; [47.65079365 31.34920635],0
v3,1,0.016527,5.745886,[20 25] ; [19 61],[14.04 30.96] ; [24.96 55.04],0
a8,1,0.031161,4.644052,[ 4 38] ; [ 1 77],[ 1.75 40.25] ; [ 3.25 74.75],0
p7,1,0.059406,3.553896,[20 27] ; [49 33],[25.13953488 21.86046512] ; [43.86046512 38.13953488],0
a4,1,0.074415,3.182842,[30 19] ; [37 45],[25.0610687 23.9389313] ; [41.9389313 40.0610687],0
p10,1,0.110485,2.547265,[28 19] ; [60 22],[32.0620155 14.9379845] ; [55.9379845 26.0620155],0
p1,1,0.121768,2.394428,[ 5 43] ; [ 3 79],[ 2.95384615 45.04615385] ; [ 5.04615385 76.95384615],0
a5,1,0.126646,2.333144,[41  8] ; [59 23],[37.40458015 11.59541985] ; [62.59541985 19.40458015],0
s1,1,0.129406,2.299618,[ 4 45] ; [ 2 80],[ 2.24427481 46.75572519] ; [ 3.75572519 78.24427481],0
s2,1,0.13902,2.188775,[25 24] ; [31 51],[20.94656489 28.05343511] ; [35.05343511 46.94656489],0
s4,1,0.212059,1.557311,[ 9 40] ; [23 59],[11.96946565 37.03053435] ; [20.03053435 61.96946565],0
n1,1,0.225845,1.466837,[6 8] ; [ 8 24],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
s8,1,0.228379,1.45093,[20 29] ; [25 57],[16.83206107 32.16793893] ; [28.16793893 53.83206107],0
u2,1,0.282864,1.153276,[9 3] ; [13 10],[7.54285714 4.45714286] ; [14.45714286  8.54285714],0
s7,1,0.304352,1.055029,[20 25] ; [27 50],[17.33606557 27.66393443] ; [29.66393443 47.33606557],0
p6,1,0.311299,1.025157,[16 30] ; [21 59],[13.50793651 32.49206349] ; [23.49206349 56.50793651],0
b5,1,0.331393,0.943447,[34 15] ; [50 32],[31.41984733 17.58015267] ; [52.58015267 29.41984733],0
a2,1,0.347164,0.883798,[15 34] ; [19 63],[12.71755725 36.28244275] ; [21.28244275 60.71755725],0
v4,1,0.351464,0.868165,[46  3] ; [73  9],[44.51145038  4.48854962] ; [74.48854962  7.51145038],0
p3,1,0.365451,0.819073,[21 26] ; [30 52],[18.58139535 28.41860465] ; [32.41860465 49.58139535],0
d3,1,0.391727,0.733574,[44  5] ; [77  5],[45.25954198  3.74045802] ; [75.74045802  6.25954198],0
r1,1,0.401271,0.704515,[40  9] ; [61 20],[38.06923077 10.93076923] ; [62.93076923 18.06923077],0
s5,1,0.424103,0.638917,[16 31] ; [21 56],[14.02419355 32.97580645] ; [22.97580645 54.02419355],0
p2,1,0.430737,0.620836,[37 11] ; [58 24],[35.07692308 12.92307692] ; [59.92307692 22.07692308],0
n2,1,0.552516,0.352828,[9 5] ; [17 14],[8.08888889 5.91111111] ; [17.91111111 13.08888889],0
u3,1,0.554015,0.350173,[9 3] ; [15  8],[8.22857143 3.77142857] ; [15.77142857  7.22857143],0
s6,1,0.561678,0.336808,[30 18] ; [47 35],[28.43076923 19.56923077] ; [48.56923077 33.43076923],0
p12,1,0.566826,0.328023,[ 2 45] ; [ 2 80],[ 1.45736434 45.54263566] ; [ 2.54263566 79.45736434],0
r4,1,0.573075,0.317564,[40  9] ; [70 12],[41.14503817  7.85496183] ; [68.85496183 13.14503817],0
a1,1,0.602555,0.271159,[ 1 48] ; [ 3 79],[ 1.49618321 47.50381679] ; [ 2.50381679 79.49618321],0
a6,1,0.602937,0.27059,[35 14] ; [55 27],[33.66412214 15.33587786] ; [56.33587786 25.66412214],0
a3,1,0.655996,0.198424,[37 12] ; [59 23],[35.90839695 13.09160305] ; [60.09160305 21.90839695],0
d5,1,0.710662,0.137616,[48  1] ; [81  1],[48.2519084  0.7480916] ; [80.7480916  1.2519084],0
a7,1,0.71249,0.135803,[39 10] ; [63 19],[38.15267176 10.84732824] ; [63.84732824 18.15267176],0
n6,1,0.757153,0.095618,[30 18] ; [49 33],[29.16923077 18.83076923] ; [49.83076923 32.16923077],0
r3,1,0.759272,0.093903,[46  3] ; [78  4],[46.38167939  2.61832061] ; [77.61832061  4.38167939],0
r2,1,0.765642,0.088852,[46  3] ; [74  6],[45.58139535  3.41860465] ; [74.41860465  5.58139535],0
d2,1,0.79594,0.066876,[33 16] ; [57 25],[33.66412214 15.33587786] ; [56.33587786 25.66412214],0
b4,1,0.802067,0.062837,[30 19] ; [52 30],[30.67175573 18.32824427] ; [51.32824427 30.67175573],0
b1,1,0.802067,0.062837,[19 30] ; [30 52],[18.32824427 30.67175573] ; [30.67175573 51.32824427],0
n3,1,0.846038,0.037704,[10  4] ; [23  8],[10.26666667  3.73333333] ; [22.73333333  8.26666667],0
p8,1,0.852546,0.034548,[19 29] ; [33 47],[19.5 28.5] ; [32.5 47.5],0
p5,1,0.865801,0.028559,[ 2 45] ; [ 3 79],[ 1.82170543 45.17829457] ; [ 3.17829457 78.82170543],0
n4,1,0.867989,0.027627,[19 30] ; [33 49],[19.45038168 29.54961832] ; [32.54961832 49.45038168],0
p11,1,0.867989,0.027627,[30 19] ; [49 33],[29.54961832 19.45038168] ; [49.45038168 32.54961832],0
s3,1,0.888953,0.019496,[23 26] ; [37 44],[22.61538462 26.38461538] ; [37.38461538 43.61538462],0
p4,1,0.905355,0.014137,[22 26] ; [38 43],[22.3255814 25.6744186] ; [37.6744186 43.3255814],0
p9,1,0.918702,0.010418,[34 13] ; [60 22],[34.24806202 12.75193798] ; [59.75193798 22.24806202],0
u1,1,0.991471,0.000114,[ 9 40] ; [15 67],[ 8.97709924 40.02290076] ; [15.02290076 66.97709924],0
