Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.01121,6.431664,[ 1 43] ; [2 6],[ 2.53846154 41.46153846] ; [0.46153846 7.53846154],0
r1,1,0.013654,6.082365,[ 9 35] ; [5 3],[11.84615385 32.15384615] ; [2.15384615 5.84615385],0
s4,1,0.016369,5.762771,[ 6 38] ; [4 4],[ 8.46153846 35.53846154] ; [1.53846154 6.46153846],0
p3,1,0.025294,5.003634,[10 33] ; [5 3],[12.64705882 30.35294118] ; [2.35294118 5.64705882],0
s1,1,0.045808,3.988636,[ 2 42] ; [2 6],[ 3.38461538 40.61538462] ; [0.61538462 7.38461538],0
u3,1,0.049535,3.857143,[ 4 20] ; [2 1],[ 5.33333333 18.66666667] ; [0.66666667 2.33333333],0
v1,1,0.050718,3.817571,[12 32] ; [5 3],[14.38461538 29.61538462] ; [2.61538462 5.38461538],0
p6,1,0.070318,3.275581,[ 5 37] ; [3 5],[ 6.72 35.28] ; [1.28 6.72],0
b4,1,0.09754,2.74532,[25 19] ; [2 6],[22.84615385 21.15384615] ; [4.15384615 3.84615385],0
d5,1,0.155549,2.01697,[21 23] ; [6 2],[22.84615385 21.15384615] ; [4.15384615 3.84615385],0
p4,1,0.165782,1.920681,[16 28] ; [5 3],[17.76923077 26.23076923] ; [3.23076923 4.76923077],0
u1,1,0.166459,1.914545,[ 1 43] ; [1 7],[ 1.69230769 42.30769231] ; [0.30769231 7.69230769],0
v3,1,0.195121,1.678524,[ 4 40] ; [2 6],[ 5.07692308 38.92307692] ; [0.92307692 7.07692308],0
p8,1,0.21624,1.529153,[12 31] ; [4 4],[13.49019608 29.50980392] ; [2.50980392 5.49019608],0
p2,1,0.281397,1.160331,[24 20] ; [6 2],[25.38461538 18.61538462] ; [4.61538462 3.38461538],0
s5,1,0.298581,1.080519,[ 5 39] ; [2 6],[ 5.92307692 38.07692308] ; [1.07692308 6.92307692],0
