Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.927947,[375  94] ; [ 81 107],[325.51598174 143.48401826] ; [130.48401826  57.51598174],1
d3,1,0.0,75.395417,[366 103] ; [ 81 107],[319.0913242 149.9086758] ; [127.9086758  60.0913242],1
a2,1,0.0,35.789571,[155 317] ; [ 19 169],[124.43636364 347.56363636] ; [ 49.56363636 138.43636364],1
u1,1,1e-06,24.940895,[116 356] ; [ 14 174],[ 92.96969697 379.03030303] ; [ 37.03030303 150.96969697],1
b5,1,1e-06,24.112959,[309 163] ; [ 84 104],[281.05454545 190.94545455] ; [111.94545455  76.05454545],1
r4,1,2e-06,23.134609,[451  21] ; [159  29],[436.24242424  35.75757576] ; [173.75757576  14.24242424],1
r1,1,0.000142,14.476878,[403  66] ; [138  50],[386.19330289  82.80669711] ; [154.80669711  33.19330289],1
r3,1,0.000325,12.92167,[451  18] ; [167  21],[441.15981735  27.84018265] ; [176.84018265  11.15981735],1
d1,1,0.00033,12.891894,[305 167] ; [93 95],[284.63030303 187.36969697] ; [113.36969697  74.63030303],1
v2,1,0.002049,9.505273,[270 183] ; [83 97],[252.62085308 200.37914692] ; [100.37914692  79.62085308],0
d4,1,0.003511,8.520861,[393  77] ; [137  49],[379.72560976  90.27439024] ; [150.27439024  35.72560976],0
p4,1,0.007115,7.243655,[308 160] ; [102  85],[292.94656489 175.05343511] ; [117.05343511  69.94656489],0
b1,1,0.007878,7.061023,[173 299] ; [90 98],[188.08484848 283.91515152] ; [ 74.91515152 113.08484848],0
v4,1,0.012795,6.197212,[458  13] ; [174  13],[452.38905775  18.61094225] ; [179.61094225   7.38905775],0
u3,1,0.015322,5.879078,[76 48] ; [22 31],[68.65536723 55.34463277] ; [29.34463277 23.65536723],0
d5,1,0.018501,5.548101,[394  76] ; [142  45],[383.43987823  86.56012177] ; [152.56012177  34.43987823],0
a5,1,0.035922,4.400793,[368 104] ; [132  56],[357.57575758 114.42424242] ; [142.42424242  45.57575758],0
p8,1,0.04558,3.997056,[263 198] ; [89 95],[251.58449612 209.41550388] ; [100.41550388  83.58449612],0
b2,1,0.083737,2.99084,[107 178] ; [57 65],[114.84029484 170.15970516] ; [49.15970516 72.84029484],0
b3,1,0.083737,2.99084,[107 178] ; [57 65],[114.84029484 170.15970516] ; [49.15970516 72.84029484],0
u2,1,0.095181,2.784493,[69 54] ; [22 30],[63.96 59.04] ; [27.04 24.96],0
p1,1,0.110157,2.551967,[ 49 421] ; [ 12 175],[ 43.63774734 426.36225266] ; [ 17.36225266 169.63774734],0
b4,1,0.136562,2.216272,[281 191] ; [100  88],[272.47272727 199.52727273] ; [108.52727273  79.47272727],0
p10,1,0.142381,2.152032,[398  69] ; [149  36],[391.79294479  75.20705521] ; [155.20705521  29.79294479],0
s2,1,0.14265,2.149132,[257 208] ; [91 95],[248.57142857 216.42857143] ; [99.42857143 86.57142857],0
p2,1,0.15605,2.012088,[398  73] ; [147  37],[391.90076336  79.09923664] ; [153.09923664  30.90076336],0
p3,1,0.159077,1.98298,[253 216] ; [89 97],[244.88244275 224.11755725] ; [97.11755725 88.88244275],0
s6,1,0.171179,1.872588,[330 132] ; [120  62],[322.82608696 139.17391304] ; [127.17391304  54.82608696],0
a8,1,0.204383,1.610777,[ 68 350] ; [ 22 158],[ 62.909699 355.090301] ; [ 27.090301 152.909699],0
n2,1,0.224004,1.478532,[74 17] ; [40 15],[71.05479452 19.94520548] ; [42.94520548 12.05479452],0
v1,1,0.225038,1.471954,[276 185] ; [100  83],[269.1552795 191.8447205] ; [106.8447205  76.1552795],0
s5,1,0.289384,1.122487,[155 298] ; [ 70 111],[160.76498423 292.23501577] ; [ 64.23501577 116.76498423],0
p9,1,0.321965,0.980949,[403  61] ; [156  30],[399.04  64.96] ; [159.96  26.04],0
s8,1,0.330972,0.945089,[213 252] ; [94 94],[218.61408882 246.38591118] ; [88.38591118 99.61408882],0
p12,1,0.345457,0.890076,[ 44 425] ; [ 13 171],[ 40.93874426 428.06125574] ; [ 16.06125574 167.93874426],0
s7,1,0.346463,0.886371,[231 214] ; [102  80],[236.33971292 208.66028708] ; [96.66028708 85.33971292],0
n6,1,0.419853,0.650728,[424  45] ; [166  22],[421.17199391  47.82800609] ; [168.82800609  19.17199391],0
a4,1,0.438804,0.599407,[228 242] ; [ 84 102],[223.53658537 246.46341463] ; [88.46341463 97.53658537],0
a1,1,0.507411,0.439402,[ 24 448] ; [ 12 176],[ 25.74545455 446.25454545] ; [ 10.25454545 177.74545455],0
p7,1,0.509774,0.434531,[300 156] ; [116  68],[296.4 159.6] ; [119.6  64.4],0
a3,1,0.530017,0.394359,[348 121] ; [135  53],[344.78995434 124.21004566] ; [138.21004566  49.78995434],0
s4,1,0.534215,0.386367,[ 70 392] ; [ 32 155],[ 72.61016949 389.38983051] ; [ 29.38983051 157.61016949],0
n4,1,0.550035,0.357255,[421  50] ; [165  23],[418.82549317  52.17450683] ; [167.17450683  20.82549317],0
n1,1,0.55104,0.355457,[42 46] ; [23 31],[40.28169014 47.71830986] ; [24.71830986 29.28169014],0
s3,1,0.62462,0.239428,[274 188] ; [107  80],[271.22033898 190.77966102] ; [109.77966102  77.22033898],0
n3,1,0.635941,0.22409,[65 25] ; [37 17],[63.75 26.25] ; [38.25 15.75],0
p6,1,0.75694,0.095791,[184 281] ; [ 70 113],[182.26851852 282.73148148] ; [ 71.73148148 111.26851852],0
p11,1,0.762767,0.091113,[379  93] ; [149  39],[377.6  94.4] ; [150.4  37.6],0
d2,1,0.768496,0.086638,[243 226] ; [94 92],[241.30229008 227.69770992] ; [95.69770992 90.30229008],0
v3,1,0.82061,0.05142,[195 257] ; [ 78 107],[193.71428571 258.28571429] ; [ 79.28571429 105.71428571],0
u4,1,0.831669,0.045183,[ 14 458] ; [  5 183],[ 13.58787879 458.41212121] ; [  5.41212121 182.58787879],0
p5,1,0.98666,0.00028,[ 63 404] ; [ 25 161],[ 62.93415008 404.06584992] ; [ 25.06584992 160.93415008],0
s1,1,0.994545,4.7e-05,[ 15 446] ; [  6 179],[ 14.98606811 446.01393189] ; [  6.01393189 178.98606811],0
