Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.8e-05,17.558999,[61 20] ; [ 6 16],[52.68932039 28.31067961] ; [14.31067961  7.68932039],1
n4,1,0.000552,11.931098,[59 21] ; [ 8 15],[52.03883495 27.96116505] ; [14.96116505  8.03883495],1
s7,1,0.001957,9.589809,[46 25] ; [ 6 16],[39.69892473 31.30107527] ; [12.30107527  9.69892473],0
s8,1,0.012109,6.294864,[41 39] ; [ 5 18],[35.72815534 44.27184466] ; [10.27184466 12.72815534],0
d3,1,0.029917,4.714048,[64 17] ; [13 10],[59.97115385 21.02884615] ; [17.02884615  5.97115385],0
p2,1,0.032004,4.598298,[69 12] ; [15  8],[65.42307692 15.57692308] ; [18.57692308  4.42307692],0
p9,1,0.048771,3.883221,[59 21] ; [12 11],[55.14563107 24.85436893] ; [15.85436893  7.14563107],0
a7,1,0.06021,3.531585,[59 22] ; [12 11],[55.29807692 25.70192308] ; [15.70192308  7.29807692],0
v1,1,0.061844,3.487238,[42 38] ; [ 7 16],[38.05825243 41.94174757] ; [10.94174757 12.05825243],0
v4,1,0.082729,3.010448,[74  7] ; [18  5],[71.65384615  9.34615385] ; [20.34615385  2.65384615],0
b5,1,0.099531,2.713043,[54 27] ; [11 12],[50.625 30.375] ; [14.375  8.625],0
p10,1,0.140834,2.168822,[48 31] ; [10 13],[44.92156863 34.07843137] ; [13.07843137  9.92156863],0
u1,1,0.146325,2.110145,[18 63] ; [ 2 21],[15.57692308 65.42307692] ; [ 4.42307692 18.57692308],0
r2,1,0.157945,1.993789,[74  6] ; [19  4],[72.23300971  7.76699029] ; [20.76699029  2.23300971],0
s2,1,0.169144,1.890511,[51 29] ; [11 12],[48.15533981 31.84466019] ; [13.84466019  9.15533981],0
u2,1,0.169849,1.884276,[11 17] ; [7 4],[12.92307692 15.07692308] ; [5.07692308 5.92307692],0
n2,1,0.209601,1.574183,[16  6] ; [5 5],[14.4375  7.5625] ; [6.5625 3.4375],0
p3,1,0.232148,1.42765,[50 31] ; [11 12],[47.50961538 33.49038462] ; [13.49038462  9.50961538],0
b1,1,0.255688,1.291952,[42 39] ; [15  8],[44.39423077 36.60576923] ; [12.60576923 10.39423077],0
r4,1,0.257787,1.280605,[71 10] ; [18  5],[69.31730769 11.68269231] ; [19.68269231  3.31730769],0
d1,1,0.258401,1.277305,[46 35] ; [10 13],[43.61538462 37.38461538] ; [12.38461538 10.61538462],0
a3,1,0.263724,1.249105,[52 28] ; [12 11],[49.70873786 30.29126214] ; [14.29126214  8.70873786],0
u3,1,0.269818,1.21767,[17 11] ; [8 2],[18.42105263  9.57894737] ; [6.57894737 3.42105263],0
n1,1,0.290466,1.11746,[11 11] ; [3 7],[ 9.625 12.375] ; [4.375 5.625],0
p6,1,0.297515,1.0853,[34 46] ; [ 7 16],[31.84466019 48.15533981] ; [ 9.15533981 13.84466019],0
a8,1,0.303016,1.060875,[ 8 60] ; [ 1 22],[ 6.72527473 61.27472527] ; [ 2.27472527 20.72527473],0
s5,1,0.307587,1.04101,[31 45] ; [ 6 15],[28.98969072 47.01030928] ; [ 8.01030928 12.98969072],0
s3,1,0.409851,0.679234,[50 31] ; [12 11],[48.28846154 32.71153846] ; [13.71153846  9.28846154],0
v3,1,0.4614,0.542495,[27 52] ; [ 9 12],[28.44 50.56] ; [ 7.56 13.44],0
a5,1,0.509923,0.434226,[54 27] ; [17  6],[55.29807692 25.70192308] ; [15.70192308  7.29807692],0
d5,1,0.511562,0.430872,[65 16] ; [17  6],[63.86538462 17.13461538] ; [18.13461538  4.86538462],0
r1,1,0.515432,0.423025,[61 19] ; [16  7],[59.80582524 20.19417476] ; [17.19417476  5.80582524],0
v2,1,0.558255,0.342734,[38 42] ; [12 10],[39.21568627 40.78431373] ; [10.78431373 11.21568627],0
p5,1,0.573917,0.316172,[11 70] ; [ 2 20],[10.22330097 70.77669903] ; [ 2.77669903 19.22330097],0
b4,1,0.581838,0.303272,[44 37] ; [11 12],[42.83653846 38.16346154] ; [12.16346154 10.83653846],0
p1,1,0.628711,0.233813,[10 71] ; [ 2 21],[ 9.34615385 71.65384615] ; [ 2.65384615 20.34615385],0
