Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,4.3e-05,16.719681,[3 3] ; [ 1 44],[0.47058824 5.52941176] ; [ 3.52941176 41.47058824],1
p5,1,0.002263,9.323347,[3 3] ; [ 3 41],[0.72 5.28] ; [ 5.28 38.72],0
b1,1,0.058075,3.591512,[1 5] ; [26 19],[3.17647059 2.82352941] ; [23.82352941 21.17647059],0
d2,1,0.065196,3.4,[4 2] ; [13 32],[2. 4.] ; [15. 30.],0
p3,1,0.111919,2.526914,[3 3] ; [ 9 35],[1.44 4.56] ; [10.56 33.44],0
s6,1,0.112664,2.516447,[4 2] ; [15 30],[2.23529412 3.76470588] ; [16.76470588 28.23529412],0
r4,1,0.142495,2.15081,[3 3] ; [10 35],[1.52941176 4.47058824] ; [11.47058824 33.52941176],0
b5,1,0.176823,1.824127,[2 4] ; [28 17],[3.52941176 2.47058824] ; [26.47058824 18.52941176],0
p4,1,0.176823,1.824127,[4 2] ; [17 28],[2.47058824 3.52941176] ; [18.52941176 26.47058824],0
b4,1,0.194062,1.686508,[5 1] ; [25 20],[3.52941176 2.47058824] ; [26.47058824 18.52941176],0
d4,1,0.194062,1.686508,[5 1] ; [25 20],[3.52941176 2.47058824] ; [26.47058824 18.52941176],0
n6,1,0.22845,1.450484,[5 1] ; [26 19],[3.64705882 2.35294118] ; [27.35294118 17.64705882],0
u2,1,0.249323,1.327095,[3 1] ; [11 14],[1.93103448 2.06896552] ; [12.06896552 12.93103448],0
v2,1,0.292928,1.106113,[1 5] ; [17 27],[2.16 3.84] ; [15.84 28.16],0
r3,1,0.313659,1.015207,[3 3] ; [31 13],[4.08 1.92] ; [29.92 14.08],0
a7,1,0.357293,0.847385,[2 4] ; [24 21],[3.05882353 2.94117647] ; [22.94117647 22.05882353],0
p10,1,0.384088,0.757576,[4 2] ; [21 23],[3. 3.] ; [22. 22.],0
p12,1,0.392091,0.732447,[1 5] ; [ 3 42],[0.47058824 5.52941176] ; [ 3.52941176 41.47058824],0
d5,1,0.473327,0.514198,[2 4] ; [22 23],[2.82352941 3.17647059] ; [21.17647059 23.82352941],0
v1,1,0.528589,0.397104,[1 5] ; [13 32],[1.64705882 4.35294118] ; [12.35294118 32.64705882],0
v4,1,0.537537,0.380124,[4 2] ; [24 21],[3.29411765 2.70588235] ; [24.70588235 20.29411765],0
n4,1,0.537537,0.380124,[4 2] ; [24 21],[3.29411765 2.70588235] ; [24.70588235 20.29411765],0
s2,1,0.546708,0.363248,[2 4] ; [10 35],[1.41176471 4.58823529] ; [10.58823529 34.41176471],0
a1,1,0.547301,0.362174,[1 5] ; [ 4 41],[0.58823529 5.41176471] ; [ 4.41176471 40.58823529],0
p9,1,0.574727,0.314837,[4 2] ; [24 20],[3.36 2.64] ; [24.64 19.36],0
a3,1,0.574727,0.314837,[2 4] ; [20 24],[2.64 3.36] ; [19.36 24.64],0
s3,1,0.578479,0.3087,[1 5] ; [12 32],[1.56 4.44] ; [11.44 32.56],0
p2,1,0.605718,0.266458,[4 2] ; [25 20],[3.41176471 2.58823529] ; [25.58823529 19.41176471],0
d1,1,0.638855,0.220243,[2 4] ; [11 34],[1.52941176 4.47058824] ; [11.47058824 33.52941176],0
u3,1,0.658173,0.19575,[1 3] ; [ 4 21],[0.68965517 3.31034483] ; [ 4.31034483 20.68965517],0
r1,1,0.673105,0.177991,[1 5] ; [11 34],[1.41176471 4.58823529] ; [10.58823529 34.41176471],0
v3,1,0.691555,0.157407,[1 5] ; [ 5 40],[0.70588235 5.29411765] ; [ 5.29411765 39.70588235],0
a5,1,0.717848,0.130564,[3 3] ; [19 26],[2.58823529 3.41176471] ; [19.41176471 25.58823529],0
a6,1,0.717848,0.130564,[3 3] ; [19 26],[2.58823529 3.41176471] ; [19.41176471 25.58823529],0
n5,1,0.753384,0.09871,[4 2] ; [27 18],[3.64705882 2.35294118] ; [27.35294118 17.64705882],0
d3,1,0.797262,0.065994,[3 3] ; [20 25],[2.70588235 3.29411765] ; [20.29411765 24.70588235],0
p7,1,0.797262,0.065994,[3 3] ; [20 25],[2.70588235 3.29411765] ; [20.29411765 24.70588235],0
a4,1,0.82242,0.05037,[2 4] ; [13 32],[1.76470588 4.23529412] ; [13.23529412 31.76470588],0
s4,1,0.823629,0.049675,[1 5] ; [ 6 39],[0.82352941 5.17647059] ; [ 6.17647059 38.82352941],0
s8,1,0.823629,0.049675,[1 5] ; [ 6 39],[0.82352941 5.17647059] ; [ 6.17647059 38.82352941],0
b2,1,0.871602,0.026122,[1 3] ; [ 6 22],[0.875 3.125] ; [ 6.125 21.875],0
b3,1,0.871602,0.026122,[1 3] ; [ 6 22],[0.875 3.125] ; [ 6.125 21.875],0
p8,1,0.940505,0.00557,[2 4] ; [14 30],[1.92 4.08] ; [14.08 29.92],0
p6,1,0.980802,0.000579,[1 5] ; [ 7 36],[0.97959184 5.02040816] ; [ 7.02040816 35.97959184],0
