Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2.9e-05,17.455234,[ 3 10] ; [68 18],[9.32323232 3.67676768] ; [61.67676768 24.32323232],1
s2,1,0.001562,10.003741,[4 9] ; [64 22],[8.92929293 4.07070707] ; [59.07070707 26.92929293],0
r3,1,0.001564,10.001884,[10  3] ; [83  2],[12.33673469  0.66326531] ; [80.66326531  4.33673469],0
s5,1,0.001592,9.968787,[ 2 11] ; [51 31],[7.25263158 5.74736842] ; [45.74736842 36.25263158],0
s8,1,0.001764,9.780456,[ 2 11] ; [53 33],[7.22222222 5.77777778] ; [47.77777778 38.22222222],0
d1,1,0.002966,8.828193,[ 3 10] ; [57 29],[7.87878788 5.12121212] ; [52.12121212 33.87878788],0
r1,1,0.005043,7.864016,[6 7] ; [70 16],[9.97979798 3.02020202] ; [66.02020202 19.97979798],0
s7,1,0.020337,5.382762,[5 8] ; [59 24],[8.66666667 4.33333333] ; [55.33333333 27.66666667],0
a5,1,0.036882,4.355836,[6 7] ; [64 22],[9.19191919 3.80808081] ; [60.80808081 25.19191919],0
b5,1,0.044084,4.05334,[4 9] ; [52 34],[7.35353535 5.64646465] ; [48.64646465 37.35353535],0
d2,1,0.049217,3.86792,[ 3 10] ; [45 41],[6.3030303 6.6969697] ; [41.6969697 44.3030303],0
d3,1,0.049327,3.864192,[6 6] ; [66 20],[8.81632653 3.18367347] ; [63.18367347 22.81632653],0
r2,1,0.059832,3.542039,[10  3] ; [80  6],[11.81818182  1.18181818] ; [78.18181818  7.81818182],0
a3,1,0.060166,3.532798,[6 7] ; [62 24],[8.92929293 4.07070707] ; [59.07070707 26.92929293],0
r4,1,0.064889,3.407799,[9 4] ; [76 10],[11.16161616  1.83838384] ; [73.83838384 12.16161616],0
v4,1,0.067914,3.33272,[11  2] ; [83  3],[12.34343434  0.65656566] ; [81.65656566  4.34343434],0
d4,1,0.078529,3.095081,[8 5] ; [71 15],[10.37373737  2.62626263] ; [68.62626263 17.37373737],0
d5,1,0.088846,2.89516,[8 4] ; [74 12],[10.04081633  1.95918367] ; [71.95918367 14.04081633],0
b4,1,0.091911,2.840588,[4 9] ; [48 38],[6.82828283 6.17171717] ; [45.17171717 40.82828283],0
a4,1,0.112105,2.524291,[ 3 10] ; [40 46],[5.64646465 7.35353535] ; [37.35353535 48.64646465],0
p6,1,0.157673,1.996405,[5 8] ; [51 35],[7.35353535 5.64646465] ; [48.64646465 37.35353535],0
a6,1,0.187788,1.734889,[6 7] ; [56 30],[8.14141414 4.85858586] ; [53.85858586 32.14141414],0
p9,1,0.194091,1.686286,[10  3] ; [77  9],[11.42424242  1.57575758] ; [75.57575758 10.42424242],0
p8,1,0.226707,1.461406,[7 6] ; [60 25],[8.8877551 4.1122449] ; [58.1122449 26.8877551],0
u2,1,0.23314,1.421602,[2 5] ; [13 11],[3.38709677 3.61290323] ; [11.61290323 12.38709677],0
n1,1,0.238149,1.391519,[2 1] ; [ 7 15],[1.08 1.92] ; [ 7.92 14.08],0
u3,1,0.255146,1.294904,[3 4] ; [16  8],[4.29032258 2.70967742] ; [14.70967742  9.29032258],0
u1,1,0.258632,1.276066,[ 1 12] ; [18 68],[ 2.49494949 10.50505051] ; [16.50505051 69.49494949],0
a7,1,0.270245,1.215504,[6 6] ; [57 29],[7.71428571 4.28571429] ; [55.28571429 30.71428571],0
a1,1,0.29276,1.106887,[ 1 12] ; [ 2 84],[ 0.39393939 12.60606061] ; [ 2.60606061 83.39393939],0
a8,1,0.325738,0.965769,[ 1 12] ; [ 2 78],[ 0.41935484 12.58064516] ; [ 2.58064516 77.41935484],0
p4,1,0.331112,0.944544,[8 5] ; [64 22],[9.45454545 3.54545455] ; [62.54545455 23.45454545],0
b2,1,0.376348,0.782596,[1 8] ; [12 37],[2.01724138 6.98275862] ; [10.98275862 38.01724138],0
b3,1,0.376348,0.782596,[1 8] ; [12 37],[2.01724138 6.98275862] ; [10.98275862 38.01724138],0
v3,1,0.398857,0.71177,[ 3 10] ; [29 54],[4.33333333 8.66666667] ; [27.66666667 55.33333333],0
b1,1,0.416451,0.660308,[7 6] ; [36 50],[5.64646465 7.35353535] ; [37.35353535 48.64646465],0
p11,1,0.426437,0.632507,[9 4] ; [68 18],[10.11111111  2.88888889] ; [66.88888889 19.11111111],0
s1,1,0.473085,0.514761,[ 1 12] ; [ 3 83],[ 0.52525253 12.47474747] ; [ 3.47474747 82.52525253],0
p2,1,0.599615,0.275577,[12  1] ; [75 11],[11.42424242  1.57575758] ; [75.57575758 10.42424242],0
n4,1,0.673876,0.177102,[8 5] ; [58 28],[8.66666667 4.33333333] ; [57.33333333 28.66666667],0
p10,1,0.698898,0.149621,[11  2] ; [76 10],[11.42424242  1.57575758] ; [75.57575758 10.42424242],0
n5,1,0.715519,0.132826,[10  3] ; [62 24],[9.45454545 3.54545455] ; [62.54545455 23.45454545],0
p3,1,0.737257,0.112552,[8 5] ; [57 29],[8.53535354 4.46464646] ; [56.46464646 29.53535354],0
v2,1,0.765489,0.088971,[6 7] ; [42 41],[6.5 6.5] ; [41.5 41.5],0
v1,1,0.765852,0.088688,[7 6] ; [42 43],[6.5 6.5] ; [42.5 42.5],0
n6,1,0.921407,0.009734,[11  2] ; [71 14],[10.87755102  2.12244898] ; [71.12244898 13.87755102],0
