Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.6e-05,17.07276,[18 18] ; [15 83],[ 8.86567164 27.13432836] ; [24.13432836 73.86567164],1
v3,1,0.000683,11.534167,[25 10] ; [39 63],[16.35036496 18.64963504] ; [47.64963504 54.35036496],1
p6,1,0.009477,6.730688,[18 19] ; [26 76],[11.71223022 25.28776978] ; [32.28776978 69.71223022],0
p9,1,0.009814,6.668394,[34  2] ; [78 27],[28.59574468  7.40425532] ; [83.40425532 21.59574468],0
d1,1,0.01022,6.59616,[27 10] ; [52 55],[20.29861111 16.70138889] ; [58.70138889 48.29861111],0
p8,1,0.013369,6.119649,[26 11] ; [48 55],[19.55714286 17.44285714] ; [54.44285714 48.55714286],0
p4,1,0.017665,5.629094,[27 10] ; [53 52],[20.84507042 16.15492958] ; [59.15492958 45.84507042],0
v2,1,0.021685,5.270917,[30  7] ; [62 41],[24.31428571 12.68571429] ; [67.68571429 35.31428571],0
p7,1,0.025104,5.016685,[29  8] ; [60 44],[23.35460993 13.64539007] ; [65.64539007 38.35460993],0
r4,1,0.032984,4.546603,[35  2] ; [85 22],[30.83333333  6.16666667] ; [89.16666667 17.83333333],0
d4,1,0.033432,4.523495,[33  4] ; [77 30],[28.26388889  8.73611111] ; [81.73611111 25.26388889],0
d3,1,0.041811,4.142844,[29  8] ; [64 43],[23.89583333 13.10416667] ; [69.10416667 37.89583333],0
s5,1,0.049735,3.850381,[10 25] ; [15 92],[ 6.16197183 28.83802817] ; [18.83802817 88.16197183],0
p3,1,0.050537,3.823556,[24 13] ; [48 56],[18.89361702 18.10638298] ; [53.10638298 50.89361702],0
p11,1,0.054359,3.701634,[34  3] ; [83 24],[30.0625  6.9375] ; [86.9375 20.0625],0
s2,1,0.055273,3.673834,[12 23] ; [20 87],[ 7.88732394 27.11267606] ; [24.11267606 82.88732394],0
p12,1,0.056612,3.633966,[ 4 33] ; [  3 101],[ 1.83687943 35.16312057] ; [ 5.16312057 98.83687943],0
d2,1,0.067329,3.346955,[22 15] ; [45 62],[17.21527778 19.78472222] ; [49.78472222 57.21527778],0
a8,1,0.069128,3.303606,[ 6 24] ; [ 8 90],[ 3.28125 26.71875] ; [10.71875 87.28125],0
b4,1,0.071008,3.259574,[24 13] ; [51 56],[19.27083333 17.72916667] ; [55.72916667 51.27083333],0
n4,1,0.088534,2.900833,[32  5] ; [77 29],[28.2027972  8.7972028] ; [80.7972028 25.2027972],0
p10,1,0.118152,2.441653,[31  5] ; [77 28],[27.57446809  8.42553191] ; [80.42553191 24.57446809],0
b3,1,0.118911,2.43161,[18 12] ; [26 35],[14.50549451 15.49450549] ; [29.49450549 31.50549451],0
b2,1,0.118911,2.43161,[18 12] ; [26 35],[14.50549451 15.49450549] ; [29.49450549 31.50549451],0
r1,1,0.139207,2.186705,[33  4] ; [82 23],[29.96478873  7.03521127] ; [85.03521127 19.96478873],0
s3,1,0.139464,2.18386,[13 22] ; [26 81],[ 9.61267606 25.38732394] ; [29.38732394 77.61267606],0
r3,1,0.143791,2.136912,[36  1] ; [94 11],[33.87323944  3.12676056] ; [96.12676056  8.87323944],0
p5,1,0.232175,1.427486,[ 5 30] ; [ 8 98],[ 3.22695035 31.77304965] ; [ 9.77304965 96.22695035],0
n6,1,0.239489,1.383597,[31  6] ; [78 27],[28.40140845  8.59859155] ; [80.59859155 24.40140845],0
a7,1,0.277084,1.181336,[28  9] ; [70 36],[25.35664336 11.64335664] ; [72.64335664 33.35664336],0
a1,1,0.286681,1.135143,[ 3 34] ; [  4 103],[ 1.79861111 35.20138889] ; [  5.20138889 101.79861111],0
n1,1,0.314879,1.010101,[2 1] ; [ 8 14],[1.2 1.8] ; [ 8.8 13.2],0
d5,1,0.321689,0.982066,[30  7] ; [78 29],[27.75  9.25] ; [80.25 26.75],0
p2,1,0.360014,0.837845,[33  4] ; [87 18],[31.26760563  5.73239437] ; [88.73239437 16.26760563],0
a3,1,0.370001,0.803661,[29  8] ; [75 31],[26.90909091 10.09090909] ; [77.09090909 28.90909091],0
p1,1,0.372422,0.795567,[ 2 35] ; [11 96],[ 3.34027778 33.65972222] ; [ 9.65972222 97.34027778],0
r2,1,0.438651,0.599809,[35  2] ; [95 10],[33.87323944  3.12676056] ; [96.12676056  8.87323944],0
v4,1,0.438651,0.599809,[35  2] ; [95 10],[33.87323944  3.12676056] ; [96.12676056  8.87323944],0
a5,1,0.445303,0.582579,[29  8] ; [77 30],[27.23611111  9.76388889] ; [78.76388889 28.23611111],0
n5,1,0.492694,0.470637,[29  8] ; [77 29],[27.42657343  9.57342657] ; [78.57342657 27.42657343],0
u3,1,0.631391,0.230179,[4 4] ; [19 13],[4.6 3.4] ; [18.4 13.6],0
u1,1,0.744067,0.106584,[ 6 31] ; [15 92],[ 5.39583333 31.60416667] ; [15.60416667 91.39583333],0
s1,1,0.840851,0.040323,[ 2 34] ; [  5 101],[ 1.77464789 34.22535211] ; [  5.22535211 100.77464789],0
b5,1,0.871948,0.025981,[22 15] ; [62 45],[21.58333333 15.41666667] ; [62.41666667 44.58333333],0
b1,1,0.871948,0.025981,[15 22] ; [45 62],[15.41666667 21.58333333] ; [44.58333333 62.41666667],0
u2,1,0.874211,0.025063,[4 4] ; [15 17],[3.8 4.2] ; [15.2 16.8],0
a2,1,0.925348,0.00878,[ 7 30] ; [21 86],[ 7.19444444 29.80555556] ; [20.80555556 86.19444444],0
s4,1,0.954144,0.003307,[ 3 34] ; [ 9 98],[ 3.08333333 33.91666667] ; [ 8.91666667 98.08333333],0
a6,1,0.975213,0.000965,[25 12] ; [72 35],[24.92361111 12.07638889] ; [72.07638889 34.92361111],0
a4,1,0.987275,0.000254,[17 20] ; [49 58],[16.95833333 20.04166667] ; [49.04166667 57.95833333],0
