Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3.9e-05,16.927724,[301  29] ; [50 18],[291.03015075  38.96984925] ; [59.96984925  8.03015075],1
d3,1,0.000126,14.69655,[244  88] ; [34 34],[230.74 101.26] ; [47.26 20.74],1
p6,1,0.000294,13.105266,[177 152] ; [19 46],[163.66497462 165.33502538] ; [32.33502538 32.66497462],1
p8,1,0.000489,12.157765,[233  97] ; [32 34],[220.83333333 109.16666667] ; [44.16666667 21.83333333],1
p5,1,0.005065,7.856243,[ 73 256] ; [ 5 63],[ 64.63979849 264.36020151] ; [13.36020151 54.63979849],0
p9,1,0.009219,6.779829,[305  26] ; [54 12],[299.31738035  31.68261965] ; [59.68261965  6.31738035],0
d1,1,0.011144,6.442164,[220 112] ; [34 34],[210.82 121.18] ; [43.18 24.82],0
a7,1,0.022868,5.178506,[249  82] ; [42 26],[241.40601504  89.59398496] ; [49.59398496 18.40601504],0
p10,1,0.024807,5.037317,[297  33] ; [53 13],[291.66666667  38.33333333] ; [58.33333333  7.66666667],0
d4,1,0.03929,4.248281,[282  49] ; [51 17],[276.2481203  54.7518797] ; [56.7518797 11.2481203],0
s2,1,0.043603,4.071858,[188 139] ; [30 38],[180.47088608 146.52911392] ; [37.52911392 30.47088608],0
p12,1,0.044583,4.034354,[ 44 287] ; [ 3 63],[ 39.18639798 291.81360202] ; [ 7.81360202 58.18639798],0
s7,1,0.054744,3.68987,[190 120] ; [32 34],[183.03191489 126.96808511] ; [38.96808511 27.03191489],0
s6,1,0.061886,3.486099,[241  81] ; [42 24],[234.86082474  87.13917526] ; [48.13917526 17.86082474],0
u2,1,0.108379,2.577699,[47 36] ; [ 6 11],[43.99 39.01] ; [9.01 7.99],0
n2,1,0.131222,2.277984,[36 15] ; [11  1],[38.04761905 12.95238095] ; [8.95238095 3.04761905],0
r1,1,0.134003,2.245505,[273  58] ; [50 17],[268.62562814  62.37437186] ; [54.37437186 12.62562814],0
n5,1,0.138968,2.189347,[286  45] ; [54 14],[282.05513784  48.94486216] ; [57.94486216 10.05513784],0
d2,1,0.158023,1.993047,[180 152] ; [30 37],[174.73684211 157.26315789] ; [35.26315789 31.73684211],0
d5,1,0.159741,1.976674,[285  46] ; [54 14],[281.22556391  49.77443609] ; [57.77443609 10.22556391],0
s4,1,0.187489,1.737236,[ 60 266] ; [ 8 60],[ 56.26395939 269.73604061] ; [11.73604061 56.26395939],0
b1,1,0.196594,1.667496,[133 199] ; [33 35],[137.78 194.22] ; [28.22 39.78],0
n3,1,0.19836,1.654412,[38 13] ; [11  1],[39.66666667 11.33333333] ; [9.33333333 2.66666667],0
a6,1,0.246906,1.340724,[232 100] ; [42 25],[227.98997494 104.01002506] ; [46.01002506 20.98997494],0
s3,1,0.295074,1.096327,[195 131] ; [36 32],[191.1319797 134.8680203] ; [39.8680203 28.1319797],0
a5,1,0.300336,1.072703,[263  69] ; [50 18],[259.79  72.21] ; [53.21 14.79],0
n4,1,0.3057,1.049163,[289  43] ; [56 12],[286.35  45.65] ; [58.65  9.35],0
s5,1,0.316817,1.002041,[133 183] ; [23 42],[129.38582677 186.61417323] ; [26.61417323 38.38582677],0
b5,1,0.359568,0.839402,[185 147] ; [42 26],[188.41 143.59] ; [38.59 29.41],0
u3,1,0.391256,0.735035,[50 32] ; [9 9],[48.38 33.62] ; [10.62  7.38],0
p11,1,0.40271,0.700218,[282  50] ; [55 13],[279.71  52.29] ; [57.29 10.71],0
v1,1,0.403247,0.698623,[199 121] ; [38 29],[195.96899225 124.03100775] ; [41.03100775 25.96899225],0
b4,1,0.481132,0.496297,[196 136] ; [37 31],[193.39 138.61] ; [39.61 28.39],0
u1,1,0.501265,0.452258,[ 81 251] ; [14 54],[ 78.85 253.15] ; [16.15 51.85],0
a8,1,0.567822,0.32634,[ 41 256] ; [ 7 56],[ 39.6 257.4] ; [ 8.4 54.6],0
p1,1,0.578178,0.309189,[ 42 288] ; [ 7 61],[ 40.6281407 289.3718593] ; [ 8.3718593 59.6281407],0
a4,1,0.582686,0.301912,[163 168] ; [31 37],[160.93734336 170.06265664] ; [33.06265664 34.93734336],0
