Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.749291,[110  60] ; [25 54],[92.1686747 77.8313253] ; [42.8313253 36.1686747],1
d1,1,0.004658,8.007523,[125  49] ; [43 37],[115.08661417  58.91338583] ; [52.91338583 27.08661417],0
b1,1,0.008541,6.916361,[ 61 113] ; [42 38],[ 70.55905512 103.44094488] ; [32.44094488 47.55905512],0
s8,1,0.027075,4.886014,[125  47] ; [47 33],[117.3968254  54.6031746] ; [54.6031746 25.3968254],0
s7,1,0.029499,4.738245,[130  38] ; [48 27],[123.0617284  44.9382716] ; [54.9382716 20.0617284],0
u1,1,0.035233,4.433844,[ 47 127] ; [12 68],[ 40.41732283 133.58267717] ; [18.58267717 61.41732283],0
r3,1,0.048918,3.878172,[169   4] ; [74  6],[166.16205534   6.83794466] ; [76.83794466  3.16205534],0
p7,1,0.049779,3.848902,[120  44] ; [48 31],[113.38271605  50.61728395] ; [54.61728395 24.38271605],0
d4,1,0.054005,3.712532,[157  16] ; [65 14],[152.4047619  20.5952381] ; [69.5952381  9.4047619],0
d5,1,0.073087,3.212287,[151  22] ; [62 17],[146.22619048  26.77380952] ; [66.77380952 12.22619048],0
a5,1,0.099316,2.716497,[142  32] ; [58 22],[137.00787402  36.99212598] ; [62.99212598 17.00787402],0
s4,1,0.104136,2.641032,[ 32 141] ; [22 58],[ 36.92490119 136.07509881] ; [17.07509881 62.92490119],0
p6,1,0.110498,2.547078,[87 80] ; [33 47],[81.13360324 85.86639676] ; [38.86639676 41.13360324],0
p2,1,0.117684,2.447871,[147  25] ; [62 18],[142.65079365  29.34920635] ; [66.34920635 13.65079365],0
d2,1,0.130168,2.290502,[95 77] ; [36 44],[89.41269841 82.58730159] ; [41.58730159 38.41269841],0
n4,1,0.132435,2.263722,[147  26] ; [61 18],[142.79365079  30.20634921] ; [65.20634921 13.79365079],0
n5,1,0.155399,2.018433,[146  24] ; [63 17],[142.12  27.88] ; [66.88 13.12],0
p5,1,0.159412,1.979798,[ 27 145] ; [18 60],[ 30.96 141.04] ; [14.04 63.96],0
b4,1,0.176338,1.828216,[107  67] ; [42 38],[102.07086614  71.92913386] ; [46.92913386 33.07086614],0
b5,1,0.213033,1.550693,[110  64] ; [44 36],[105.49606299  68.50393701] ; [48.50393701 31.49606299],0
p12,1,0.217263,1.522356,[ 27 144] ; [ 8 72],[ 23.84462151 147.15537849] ; [11.15537849 68.84462151],0
s1,1,0.236396,1.40196,[  7 164] ; [ 6 72],[  8.92771084 162.07228916] ; [ 4.07228916 73.92771084],0
n6,1,0.307113,1.043051,[151  18] ; [67 12],[148.55645161  20.44354839] ; [69.44354839  9.55645161],0
d3,1,0.332638,0.938599,[127  46] ; [54 26],[123.76679842  49.23320158] ; [57.23320158 22.76679842],0
p8,1,0.366003,0.817191,[99 70] ; [42 38],[95.69879518 73.30120482] ; [45.30120482 34.69879518],0
p11,1,0.37994,0.770897,[139  35] ; [60 20],[136.32283465  37.67716535] ; [62.67716535 17.32283465],0
n1,1,0.382078,0.764007,[14 17] ; [11  8],[15.5 15.5] ; [9.5 9.5],0
r2,1,0.39952,0.70977,[168   5] ; [76  4],[166.8458498   6.1541502] ; [77.1541502  2.8458498],0
u4,1,0.424569,0.637632,[  8 166] ; [ 2 78],[  6.8503937 167.1496063] ; [ 3.1496063 76.8503937],0
n3,1,0.432862,0.615132,[22 10] ; [11  8],[20.70588235 11.29411765] ; [12.29411765  6.70588235],0
a8,1,0.452635,0.564044,[ 31 127] ; [12 65],[ 28.9106383 129.0893617] ; [14.0893617 62.9106383],0
p3,1,0.48068,0.497321,[100  71] ; [43 37],[97.42231076 73.57768924] ; [45.57768924 34.42231076],0
a6,1,0.481859,0.494653,[109  63] ; [47 33],[106.47619048  65.52380952] ; [49.52380952 30.47619048],0
r4,1,0.483601,0.490731,[163  11] ; [73  7],[161.66929134  12.33070866] ; [74.33070866  5.66929134],0
a7,1,0.494018,0.467764,[122  51] ; [53 27],[119.66403162  53.33596838] ; [55.33596838 24.66403162],0
a3,1,0.597973,0.278064,[137  36] ; [61 19],[135.39130435  37.60869565] ; [62.60869565 17.39130435],0
s3,1,0.605867,0.266238,[146  26] ; [69 10],[147.33067729  24.66932271] ; [67.66932271 11.33067729],0
p10,1,0.630984,0.230728,[150  20] ; [68 11],[148.83534137  21.16465863] ; [69.16465863  9.83534137],0
p9,1,0.662073,0.191016,[153  16] ; [71  9],[152.03212851  16.96787149] ; [71.96787149  8.03212851],0
s6,1,0.667296,0.184781,[147  20] ; [68 11],[145.95528455  21.04471545] ; [69.04471545  9.95528455],0
u3,1,0.721087,0.127454,[27 10] ; [13  6],[26.42857143 10.57142857] ; [13.57142857  5.42857143],0
v4,1,0.722356,0.126246,[167   5] ; [77  3],[166.53968254   5.46031746] ; [77.46031746  2.53968254],0
p1,1,0.728814,0.120204,[ 17 156] ; [ 9 71],[ 17.77865613 155.22134387] ; [ 8.22134387 71.77865613],0
s5,1,0.733916,0.115546,[95 72] ; [45 31],[96.21399177 70.78600823] ; [43.78600823 32.21399177],0
n2,1,0.750092,0.101453,[25  6] ; [16  3],[25.42  5.58] ; [15.58  3.42],0
u2,1,0.756873,0.095846,[23 14] ; [11  8],[22.46428571 14.53571429] ; [11.53571429  7.46428571],0
r1,1,0.761408,0.092193,[145  28] ; [65 14],[144.16666667  28.83333333] ; [65.83333333 13.16666667],0
b3,1,0.774821,0.081839,[45 68] ; [24 33],[45.86470588 67.13529412] ; [23.13529412 33.86470588],0
b2,1,0.774821,0.081839,[45 68] ; [24 33],[45.86470588 67.13529412] ; [23.13529412 33.86470588],0
a4,1,0.787034,0.072989,[86 88] ; [41 39],[87. 87.] ; [40. 40.],0
a2,1,0.824016,0.049454,[ 48 126] ; [21 59],[ 47.26771654 126.73228346] ; [21.73228346 58.26771654],0
a1,1,0.861791,0.030309,[ 12 162] ; [ 6 74],[ 12.33070866 161.66929134] ; [ 5.66929134 74.33070866],0
p4,1,0.924854,0.008896,[118  52] ; [56 24],[118.32  51.68] ; [55.68 24.32],0
