Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.9e-05,15.152982,[24 71] ; [13  5],[31.10619469 63.89380531] ; [ 5.89380531 12.10619469],1
s7,1,0.000276,13.224096,[15 71] ; [10  7],[20.87378641 65.12621359] ; [ 4.12621359 12.87378641],1
s5,1,0.00118,10.521638,[10 85] ; [ 7 10],[14.41964286 80.58035714] ; [ 2.58035714 14.41964286],0
p10,1,0.001887,9.656634,[16 79] ; [9 9],[21.01769912 73.98230088] ; [ 3.98230088 14.01769912],0
s2,1,0.002624,9.051875,[20 74] ; [10  8],[25.17857143 68.82142857] ; [ 4.82142857 13.17857143],0
b1,1,0.005055,7.85969,[45 50] ; [15  3],[50.44247788 44.55752212] ; [9.55752212 8.44247788],0
r4,1,0.00665,7.365235,[52 43] ; [16  2],[57.16814159 37.83185841] ; [10.83185841  7.16814159],0
r1,1,0.010252,6.590501,[60 34] ; [17  1],[64.625 29.375] ; [12.375  5.625],0
n6,1,0.014248,6.007092,[49 45] ; [15  3],[53.71428571 40.28571429] ; [10.28571429  7.71428571],0
r3,1,0.029984,4.7102,[65 28] ; [17  1],[68.7027027 24.2972973] ; [13.2972973  4.7027027],0
v3,1,0.030305,4.691901,[20 71] ; [8 9],[23.59259259 67.40740741] ; [ 4.40740741 12.59259259],0
n5,1,0.044463,4.038876,[49 45] ; [14  4],[52.875 41.125] ; [10.125  7.875],0
d5,1,0.059053,3.563787,[57 38] ; [15  3],[60.53097345 34.46902655] ; [11.46902655  6.53097345],0
n4,1,0.091331,2.850761,[59 35] ; [15  3],[62.10714286 31.89285714] ; [11.89285714  6.10714286],0
a3,1,0.123606,2.371021,[55 39] ; [14  4],[57.91071429 36.08928571] ; [11.08928571  6.91071429],0
v4,1,0.126622,2.333443,[66 26] ; [16  2],[68.58181818 23.41818182] ; [13.41818182  4.58181818],0
r2,1,0.132849,2.258889,[74 19] ; [17  1],[76.24324324 16.75675676] ; [14.75675676  3.24324324],0
n2,1,0.155221,2.020174,[19 21] ; [6 2],[20.83333333 19.16666667] ; [4.16666667 3.83333333],0
s3,1,0.167366,1.906383,[31 63] ; [9 9],[33.57142857 60.42857143] ; [ 6.42857143 11.57142857],0
d1,1,0.189923,1.718214,[37 58] ; [10  8],[39.51327434 55.48672566] ; [ 7.48672566 10.51327434],0
u1,1,0.202819,1.621957,[ 7 88] ; [ 3 15],[ 8.40707965 86.59292035] ; [ 1.59292035 16.40707965],0
d4,1,0.213309,1.548827,[64 29] ; [15  3],[66.18918919 26.81081081] ; [12.81081081  5.18918919],0
d2,1,0.214953,1.537752,[42 51] ; [11  7],[44.40540541 48.59459459] ; [8.59459459 9.40540541],0
n1,1,0.266225,1.236097,[14 26] ; [4 3],[15.31914894 24.68085106] ; [2.68085106 4.31914894],0
p3,1,0.284102,1.14736,[16 78] ; [ 5 13],[17.625 76.375] ; [ 3.375 14.625],0
b4,1,0.327445,0.958977,[57 38] ; [13  5],[58.84955752 36.15044248] ; [11.15044248  6.84955752],0
d3,1,0.365079,0.820347,[48 47] ; [ 7 11],[46.23893805 48.76106195] ; [8.76106195 9.23893805],0
a5,1,0.409757,0.679507,[48 47] ; [11  7],[49.60176991 45.39823009] ; [9.39823009 8.60176991],0
a1,1,0.46704,0.52897,[ 6 89] ; [ 2 16],[ 6.72566372 88.27433628] ; [ 1.27433628 16.72566372],0
p7,1,0.475019,0.510276,[34 59] ; [ 5 13],[32.67567568 60.32432432] ; [ 6.32432432 11.67567568],0
s1,1,0.548368,0.360248,[ 7 87] ; [ 2 15],[ 7.62162162 86.37837838] ; [ 1.37837838 15.62162162],0
b5,1,0.592038,0.287173,[54 41] ; [9 9],[52.96460177 42.03539823] ; [10.03539823  7.96460177],0
p2,1,0.592038,0.287173,[41 54] ; [9 9],[42.03539823 52.96460177] ; [ 7.96460177 10.03539823],0
v2,1,0.613377,0.255286,[32 60] ; [ 7 10],[32.91743119 59.08256881] ; [ 6.08256881 10.91743119],0
a8,1,0.615576,0.252135,[ 8 79] ; [ 1 17],[ 7.45714286 79.54285714] ; [ 1.54285714 16.45714286],0
b3,1,0.66719,0.184907,[18 35] ; [3 8],[17.390625 35.609375] ; [3.609375 7.390625],0
b2,1,0.66719,0.184907,[18 35] ; [3 8],[17.390625 35.609375] ; [3.609375 7.390625],0
n3,1,0.728282,0.120695,[19 19] ; [4 3],[19.42222222 18.57777778] ; [3.57777778 3.42222222],0
a6,1,0.78893,0.071663,[56 39] ; [10  8],[55.48672566 39.51327434] ; [10.51327434  7.48672566],0
p6,1,0.822006,0.05061,[12 80] ; [ 2 16],[11.70909091 80.29090909] ; [ 2.29090909 15.70909091],0
v1,1,0.883546,0.021455,[30 65] ; [ 6 12],[30.26548673 64.73451327] ; [ 5.73451327 12.26548673],0
p8,1,0.900388,0.015668,[17 78] ; [ 3 15],[16.81415929 78.18584071] ; [ 3.18584071 14.81415929],0
a7,1,0.95538,0.003131,[51 42] ; [10  8],[51.10810811 41.89189189] ; [9.89189189 8.10810811],0
a4,1,0.962327,0.002231,[36 58] ; [ 7 11],[36.08928571 57.91071429] ; [ 6.91071429 11.08928571],0
p11,1,0.985383,0.000336,[42 53] ; [ 8 10],[42.03539823 52.96460177] ; [ 7.96460177 10.03539823],0
a2,1,0.985441,0.000333,[16 79] ; [ 3 15],[15.97345133 79.02654867] ; [ 3.02654867 14.97345133],0
