Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.7e-05,17.633971,[ 1 37] ; [7 7],[ 5.84615385 32.15384615] ; [ 2.15384615 11.84615385],1
u3,1,0.001726,9.82029,[ 3 20] ; [4 1],[ 5.75 17.25] ; [1.25 3.75],0
s8,1,0.001991,9.557708,[ 4 34] ; [7 7],[ 8.03846154 29.96153846] ; [ 2.96153846 11.03846154],0
s6,1,0.020161,5.397932,[11 27] ; [9 5],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
r1,1,0.022775,5.185596,[ 7 31] ; [7 7],[10.23076923 27.76923077] ; [ 3.76923077 10.23076923],0
n3,1,0.032189,4.588426,[12  5] ; [2 6],[9.52 7.48] ; [4.48 3.52],0
s2,1,0.040982,4.176766,[ 8 30] ; [7 7],[10.96153846 27.03846154] ; [4.03846154 9.96153846],0
d4,1,0.043106,4.091233,[21 17] ; [12  2],[24.11538462 13.88461538] ; [8.88461538 5.11538462],0
s3,1,0.047155,3.939865,[ 8 29] ; [7 7],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
p3,1,0.047155,3.939865,[ 8 29] ; [7 7],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
p10,1,0.048933,3.877636,[15 22] ; [10  4],[18.1372549 18.8627451] ; [6.8627451 7.1372549],0
p4,1,0.05152,3.791296,[13 25] ; [9 5],[16.07692308 21.92307692] ; [5.92307692 8.07692308],0
b2,1,0.06487,3.408284,[ 5 21] ; [5 5],[ 7.22222222 18.77777778] ; [2.77777778 7.22222222],0
b3,1,0.06487,3.408284,[ 5 21] ; [5 5],[ 7.22222222 18.77777778] ; [2.77777778 7.22222222],0
p2,1,0.090844,2.85936,[20 18] ; [11  3],[22.65384615 15.34615385] ; [8.34615385 5.65384615],0
p9,1,0.103722,2.647362,[17 20] ; [10  4],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
a2,1,0.109878,2.555982,[ 1 37] ; [ 2 12],[ 2.19230769 35.80769231] ; [ 0.80769231 13.19230769],0
p5,1,0.116675,2.46139,[ 1 36] ; [ 2 12],[ 2.17647059 34.82352941] ; [ 0.82352941 13.17647059],0
n6,1,0.124502,2.359746,[20 18] ; [10  3],[22.35294118 15.64705882] ; [7.64705882 5.35294118],0
a3,1,0.129485,2.298665,[15 22] ; [9 5],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
d5,1,0.155619,2.016285,[16 22] ; [9 5],[18.26923077 19.73076923] ; [6.73076923 7.26923077],0
v4,1,0.155619,2.016285,[16 22] ; [9 5],[18.26923077 19.73076923] ; [6.73076923 7.26923077],0
s5,1,0.175433,1.835894,[ 3 35] ; [ 3 11],[ 4.38461538 33.61538462] ; [ 1.61538462 12.38461538],0
p8,1,0.194883,1.680309,[ 9 28] ; [6 8],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
a4,1,0.2788,1.172932,[11 27] ; [ 2 12],[ 9.5 28.5] ; [ 3.5 10.5],0
p12,1,0.2788,1.172932,[ 2 36] ; [ 2 12],[ 2.92307692 35.07692308] ; [ 1.07692308 12.92307692],0
b1,1,0.291979,1.110472,[21 17] ; [10  4],[22.65384615 15.34615385] ; [8.34615385 5.65384615],0
b4,1,0.33463,0.930899,[22 16] ; [6 8],[20.46153846 17.53846154] ; [7.53846154 6.46153846],0
a5,1,0.33463,0.930899,[16 22] ; [8 6],[17.53846154 20.46153846] ; [6.46153846 7.53846154],0
p6,1,0.34515,0.891209,[ 4 32] ; [ 3 11],[ 5.04 30.96] ; [ 1.96 12.04],0
a7,1,0.359358,0.840136,[19 19] ; [5 9],[17.53846154 20.46153846] ; [6.46153846 7.53846154],0
p11,1,0.359358,0.840136,[19 19] ; [9 5],[20.46153846 17.53846154] ; [7.53846154 6.46153846],0
n5,1,0.373578,0.791729,[22 16] ; [10  4],[23.38461538 14.61538462] ; [8.61538462 5.38461538],0
a6,1,0.391039,0.73571,[14 24] ; [7 7],[15.34615385 22.65384615] ; [5.65384615 8.34615385],0
u2,1,0.392742,0.730435,[ 9 14] ; [3 2],[ 9.85714286 13.14285714] ; [2.14285714 2.85714286],0
s4,1,0.42663,0.631979,[ 7 31] ; [ 4 10],[ 8.03846154 29.96153846] ; [ 2.96153846 11.03846154],0
v1,1,0.448292,0.574967,[12 26] ; [6 8],[13.15384615 24.84615385] ; [4.84615385 9.15384615],0
p1,1,0.488052,0.480819,[ 3 35] ; [ 2 12],[ 3.65384615 34.34615385] ; [ 1.34615385 12.65384615],0
s1,1,0.488052,0.480819,[ 3 35] ; [ 2 12],[ 3.65384615 34.34615385] ; [ 1.34615385 12.65384615],0
b5,1,0.531786,0.390977,[20 18] ; [6 8],[19. 19.] ; [7. 7.],0
n4,1,0.559128,0.341217,[21 17] ; [9 5],[21.92307692 16.07692308] ; [8.07692308 5.92307692],0
r3,1,0.625872,0.2377,[21 16] ; [9 5],[21.76470588 15.23529412] ; [8.23529412 5.76470588],0
v2,1,0.657226,0.196911,[13 24] ; [ 4 10],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
p7,1,0.692501,0.156391,[14 24] ; [6 8],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
d3,1,0.692501,0.156391,[14 24] ; [6 8],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
a1,1,0.713544,0.134762,[ 4 34] ; [ 1 13],[ 3.65384615 34.34615385] ; [ 1.34615385 12.65384615],0
d2,1,0.718094,0.130326,[10 28] ; [ 3 11],[ 9.5 28.5] ; [ 3.5 10.5],0
u1,1,0.796513,0.066493,[ 2 36] ; [ 1 13],[ 2.19230769 35.80769231] ; [ 0.80769231 13.19230769],0
n1,1,0.914641,0.011489,[ 6 11] ; [3 5],[ 6.12 10.88] ; [2.88 5.12],0
n2,1,0.914641,0.011489,[11  6] ; [5 3],[10.88  6.12] ; [5.12 2.88],0
d1,1,0.976511,0.000867,[ 8 30] ; [ 3 11],[ 8.03846154 29.96153846] ; [ 2.96153846 11.03846154],0
