Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,27.697964,[136 105] ; [84 13],[156.86390533  84.13609467] ; [63.13609467 33.86390533],1
s2,1,2.5e-05,17.744257,[101 138] ; [65 31],[118.42985075 120.57014925] ; [47.57014925 48.42985075],1
s7,1,0.000205,13.783287,[ 89 139] ; [58 36],[104.08695652 123.91304348] ; [42.91304348 51.08695652],1
s4,1,0.000738,11.390496,[ 28 213] ; [25 69],[ 38.12835821 202.87164179] ; [14.87164179 79.12835821],1
s8,1,0.001556,10.011575,[ 80 162] ; [50 47],[ 92.80235988 149.19764012] ; [37.19764012 59.80235988],0
p12,1,0.00378,8.386605,[  8 233] ; [11 86],[ 13.54733728 227.45266272] ; [ 5.45266272 91.54733728],0
d2,1,0.004306,8.150166,[108 133] ; [59 36],[119.7827381 121.2172619] ; [47.2172619 47.7827381],0
d4,1,0.004935,7.90298,[189  51] ; [88  8],[197.85714286  42.14285714] ; [79.14285714 16.85714286],0
n6,1,0.006695,7.352931,[184  57] ; [85 10],[192.94345238  48.05654762] ; [76.05654762 18.94345238],0
s3,1,0.009073,6.808393,[123 117] ; [63 31],[133.65269461 106.34730539] ; [52.34730539 41.65269461],0
a3,1,0.010879,6.484976,[163  78] ; [79 18],[172.55029586  68.44970414] ; [69.44970414 27.55029586],0
a5,1,0.014005,6.037504,[165  77] ; [79 18],[174.18289086  67.81710914] ; [69.81710914 27.18289086],0
a2,1,0.014536,5.971872,[ 58 184] ; [36 61],[ 67.10324484 174.89675516] ; [26.89675516 70.10324484],0
p4,1,0.018122,5.584325,[ 94 147] ; [51 45],[103.69436202 137.30563798] ; [41.30563798 54.69436202],0
d5,1,0.019533,5.453117,[187  54] ; [86 11],[194.65384615  46.34615385] ; [78.34615385 18.65384615],0
p10,1,0.034534,4.468085,[165  75] ; [77 19],[172.85714286  67.14285714] ; [69.14285714 26.85714286],0
p1,1,0.040041,4.216144,[  9 232] ; [ 9 88],[ 12.83431953 228.16568047] ; [ 5.16568047 91.83431953],0
p5,1,0.043002,4.095318,[  9 229] ; [ 9 88],[ 12.7880597 225.2119403] ; [ 5.2119403 91.7880597],0
p9,1,0.044111,4.052309,[170  71] ; [78 18],[177.35311573  63.64688427] ; [70.64688427 25.35311573],0
p3,1,0.04471,4.02956,[ 72 169] ; [40 57],[ 79.85798817 161.14201183] ; [32.14201183 64.85798817],0
d1,1,0.075001,3.170042,[129 113] ; [62 35],[136.3480826 105.6519174] ; [54.6519174 42.3480826],0
a4,1,0.082233,3.020215,[109 132] ; [54 43],[116.22189349 124.77810651] ; [46.77810651 50.22189349],0
p6,1,0.110118,2.552525,[ 46 194] ; [26 70],[ 51.42857143 188.57142857] ; [20.57142857 75.42857143],0
n5,1,0.143805,2.136759,[159  80] ; [71 24],[164.58083832  74.41916168] ; [65.41916168 29.58083832],0
r2,1,0.190767,1.711684,[229  13] ; [93  2],[231.22848665  10.77151335] ; [90.77151335  4.22848665],0
p7,1,0.201334,1.63267,[ 99 138] ; [47 48],[104.22289157 132.77710843] ; [41.77710843 53.22289157],0
n1,1,0.225385,1.46975,[25 56] ; [11 14],[27.50943396 53.49056604] ; [ 8.49056604 16.50943396],0
a7,1,0.235424,1.407787,[177  65] ; [64 32],[172.55029586  69.44970414] ; [68.44970414 27.55029586],0
u1,1,0.265695,1.238839,[ 49 193] ; [25 72],[ 52.8259587 189.1740413] ; [21.1740413 75.8259587],0
v1,1,0.278735,1.173245,[107 128] ; [50 46],[111.4652568 123.5347432] ; [45.5347432 50.4652568],0
n4,1,0.30604,1.047689,[176  66] ; [75 21],[179.71005917  62.28994083] ; [71.28994083 24.71005917],0
p11,1,0.317611,0.99876,[173  69] ; [64 33],[169.18584071  72.81415929] ; [67.81415929 29.18584071],0
v2,1,0.366938,0.814007,[120 107] ; [56 40],[123.69040248 103.30959752] ; [52.30959752 43.69040248],0
n2,1,0.382982,0.761107,[51 29] ; [19  7],[52.83018868 27.16981132] ; [17.16981132  8.83018868],0
