Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.7e-05,17.604344,[25 14] ; [ 8 35],[15.69512195 23.30487805] ; [17.30487805 25.69512195],1
d3,1,0.001286,10.36287,[33  6] ; [22 21],[26.15853659 12.84146341] ; [28.84146341 14.15853659],0
p2,1,0.022722,5.189618,[31  8] ; [24 19],[26.15853659 12.84146341] ; [28.84146341 14.15853659],0
n6,1,0.031553,4.6226,[36  3] ; [32 11],[32.34146341  6.65853659] ; [35.65853659  7.34146341],0
s6,1,0.031553,4.6226,[36  3] ; [32 11],[32.34146341  6.65853659] ; [35.65853659  7.34146341],0
n4,1,0.044103,4.052617,[30  9] ; [24 19],[25.68292683 13.31707317] ; [28.31707317 14.68292683],0
d1,1,0.055781,3.658584,[28 11] ; [22 21],[23.7804878 15.2195122] ; [26.2195122 16.7804878],0
v3,1,0.056774,3.629201,[17 21] ; [10 31],[12.98734177 25.01265823] ; [14.01265823 26.98734177],0
s4,1,0.070349,3.274854,[ 6 32] ; [14 28],[ 9.5 28.5] ; [10.5 31.5],0
p5,1,0.072472,3.226127,[ 8 31] ; [ 3 40],[ 5.23170732 33.76829268] ; [ 5.76829268 37.23170732],0
p9,1,0.092386,2.832291,[33  5] ; [30 12],[29.925  8.075] ; [33.075  8.925],0
r2,1,0.133909,2.246588,[35  4] ; [42  1],[36.62195122  2.37804878] ; [40.37804878  2.62195122],0
s1,1,0.173902,1.848983,[ 5 33] ; [ 2 41],[ 3.28395062 34.71604938] ; [ 3.71604938 39.28395062],0
b2,1,0.177715,1.816626,[ 6 17] ; [12 15],[ 8.28 14.72] ; [ 9.72 17.28],0
b3,1,0.177715,1.816626,[ 6 17] ; [12 15],[ 8.28 14.72] ; [ 9.72 17.28],0
v2,1,0.18126,1.787265,[22 17] ; [17 24],[19.0125 19.9875] ; [19.9875 21.0125],0
n5,1,0.196484,1.668314,[28 11] ; [25 18],[25.20731707 13.79268293] ; [27.79268293 15.20731707],0
a7,1,0.213297,1.548908,[30  9] ; [27 15],[27.44444444 11.55555556] ; [29.55555556 12.44444444],0
d5,1,0.222214,1.490016,[34  5] ; [33 10],[31.86585366  7.13414634] ; [35.13414634  7.86585366],0
s2,1,0.260909,1.26393,[29 10] ; [27 16],[26.63414634 12.36585366] ; [29.36585366 13.63414634],0
p10,1,0.285811,1.139251,[32  7] ; [31 12],[29.96341463  9.03658537] ; [33.03658537  9.96341463],0
u1,1,0.285878,1.138931,[ 9 30] ; [ 6 37],[ 7.13414634 31.86585366] ; [ 7.86585366 35.13414634],0
p8,1,0.308809,1.035764,[ 9 30] ; [ 6 36],[ 7.22222222 31.77777778] ; [ 7.77777778 34.22222222],0
r3,1,0.400095,0.708042,[35  4] ; [35  7],[33.7037037  5.2962963] ; [36.2962963  5.7037037],0
b1,1,0.411616,0.674129,[18 21] ; [16 27],[16.17073171 22.82926829] ; [17.82926829 25.17073171],0
p12,1,0.418667,0.654053,[ 7 32] ; [ 5 38],[ 5.70731707 33.29268293] ; [ 6.29268293 36.70731707],0
n1,1,0.430727,0.620862,[5 6] ; [8 5],[5.95833333 5.04166667] ; [7.04166667 5.95833333],0
n2,1,0.474895,0.510563,[8 3] ; [11  2],[8.70833333 2.29166667] ; [10.29166667  2.70833333],0
a5,1,0.491762,0.472669,[29 10] ; [29 14],[27.58536585 11.41463415] ; [30.41463415 12.58536585],0
a4,1,0.507088,0.440072,[18 21] ; [23 20],[19.5 19.5] ; [21.5 21.5],0
u2,1,0.509903,0.434266,[7 4] ; [6 6],[6.2173913 4.7826087] ; [6.7826087 5.2173913],0
v4,1,0.548624,0.359788,[36  3] ; [38  5],[35.19512195  3.80487805] ; [38.80487805  4.19512195],0
p6,1,0.580988,0.30464,[ 8 30] ; [ 7 36],[ 7.03703704 30.96296296] ; [ 7.96296296 35.03703704],0
s7,1,0.598248,0.277646,[20 15] ; [22 21],[18.84615385 16.15384615] ; [23.15384615 19.84615385],0
a1,1,0.72682,0.122052,[ 2 37] ; [ 3 40],[ 2.37804878 36.62195122] ; [ 2.62195122 40.37804878],0
a6,1,0.734431,0.115082,[25 14] ; [26 17],[24.25609756 14.74390244] ; [26.74390244 16.25609756],0
p11,1,0.736935,0.112839,[24 15] ; [28 15],[24.73170732 14.26829268] ; [27.26829268 15.73170732],0
d2,1,0.758855,0.094239,[23 15] ; [24 18],[22.325 15.675] ; [24.675 17.325],0
n3,1,0.794625,0.067761,[7 4] ; [7 5],[6.69565217 4.30434783] ; [7.30434783 4.69565217],0
a2,1,0.814566,0.055009,[ 9 30] ; [ 9 34],[ 8.56097561 30.43902439] ; [ 9.43902439 33.56097561],0
v1,1,0.824994,0.048897,[19 20] ; [22 21],[19.5 19.5] ; [21.5 21.5],0
b4,1,0.840299,0.040607,[28 11] ; [30 13],[27.58536585 11.41463415] ; [30.41463415 12.58536585],0
s8,1,0.850358,0.035593,[16 22] ; [19 24],[16.41975309 21.58024691] ; [18.58024691 24.41975309],0
r1,1,0.872348,0.025817,[28 10] ; [31 12],[27.67901235 10.32098765] ; [31.32098765 11.67901235],0
u3,1,0.878854,0.023232,[7 4] ; [8 4],[7.17391304 3.82608696] ; [7.82608696 4.17391304],0
