Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.111092,2.538622,[1 1] ; [67  9],[1.74358974 0.25641026] ; [66.25641026  9.74358974],0
a8,1,0.181797,1.782869,[1 1] ; [10 57],[0.31884058 1.68115942] ; [10.68115942 56.31884058],0
p9,1,0.269497,1.219305,[1 1] ; [61 14],[1.61038961 0.38961039] ; [60.38961039 14.61038961],0
d4,1,0.289017,1.124195,[1 1] ; [62 15],[1.59493671 0.40506329] ; [61.40506329 15.59493671],0
p2,1,0.352662,0.863855,[1 1] ; [60 17],[1.5443038 0.4556962] ; [59.4556962 17.5443038],0
a3,1,0.416125,0.661232,[1 1] ; [58 19],[1.49367089 0.50632911] ; [57.50632911 19.49367089],0
p10,1,0.440796,0.594208,[1 1] ; [55 19],[1.47368421 0.52631579] ; [54.52631579 19.47368421],0
a2,1,0.510165,0.433729,[1 1] ; [22 55],[0.58227848 1.41772152] ; [22.41772152 54.58227848],0
a5,1,0.541119,0.37347,[1 1] ; [54 23],[1.39240506 0.60759494] ; [53.60759494 23.39240506],0
d3,1,0.571865,0.319572,[1 1] ; [53 24],[1.36708861 0.63291139] ; [52.63291139 24.36708861],0
s3,1,0.571865,0.319572,[1 1] ; [53 24],[1.36708861 0.63291139] ; [52.63291139 24.36708861],0
a6,1,0.632743,0.22836,[1 1] ; [51 26],[1.3164557 0.6835443] ; [50.6835443 26.3164557],0
d1,1,0.662887,0.190035,[1 1] ; [50 27],[1.29113924 0.70886076] ; [49.70886076 27.29113924],0
b5,1,0.692849,0.156019,[1 1] ; [49 28],[1.26582278 0.73417722] ; [48.73417722 28.26582278],0
p4,1,0.78176,0.076743,[1 1] ; [46 31],[1.18987342 0.81012658] ; [45.81012658 31.18987342],0
b4,1,0.78176,0.076743,[1 1] ; [46 31],[1.18987342 0.81012658] ; [45.81012658 31.18987342],0
p6,1,0.811121,0.057111,[1 1] ; [32 45],[0.83544304 1.16455696] ; [32.16455696 44.83544304],0
v2,1,0.836144,0.042778,[1 1] ; [43 32],[1.14285714 0.85714286] ; [42.85714286 32.14285714],0
v1,1,0.882562,0.021822,[1 1] ; [42 34],[1.1025641 0.8974359] ; [41.8974359 34.1025641],0
p3,1,0.927616,0.008253,[1 1] ; [36 41],[0.93670886 1.06329114] ; [36.06329114 40.93670886],0
p7,1,0.970686,0.00135,[1 1] ; [37 39],[0.97435897 1.02564103] ; [37.02564103 38.97435897],0
a4,1,0.985532,0.000329,[1 1] ; [38 39],[0.98734177 1.01265823] ; [38.01265823 38.98734177],0
