Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.347448,[49  3] ; [13 14],[40.81012658 11.18987342] ; [21.18987342  5.81012658],1
p8,1,1.2e-05,19.210051,[50  3] ; [15 13],[42.5308642 10.4691358] ; [22.4691358  5.5308642],1
r2,1,0.011312,6.415653,[51  2] ; [22  6],[47.7654321  5.2345679] ; [25.2345679  2.7654321],0
s2,1,0.012131,6.291688,[41 12] ; [14 14],[35.98765432 17.01234568] ; [19.01234568  8.98765432],0
a1,1,0.026165,4.945062,[12 41] ; [ 1 27],[ 8.50617284 44.49382716] ; [ 4.49382716 23.50617284],0
p12,1,0.027937,4.831962,[20 33] ; [ 4 24],[15.7037037 37.2962963] ; [ 8.2962963 19.7037037],0
p4,1,0.029029,4.765883,[49  3] ; [21  6],[46.07594937  5.92405063] ; [23.92405063  3.07594937],0
n6,1,0.029345,4.747253,[51  1] ; [24  4],[48.75  3.25] ; [26.25  1.75],0
p3,1,0.037807,4.313679,[44  8] ; [18 10],[40.3 11.7] ; [21.7  6.3],0
s3,1,0.040782,4.185045,[41 11] ; [16 12],[37.05 14.95] ; [19.95  8.05],0
p11,1,0.05084,3.813539,[47  6] ; [20  8],[43.83950617  9.16049383] ; [23.16049383  4.83950617],0
s7,1,0.051253,3.8,[42  7] ; [18  9],[38.68421053 10.31578947] ; [21.31578947  5.68421053],0
b5,1,0.073711,3.198384,[23 30] ; [18 10],[26.82716049 26.17283951] ; [14.17283951 13.82716049],0
r3,1,0.081177,3.041186,[52  1] ; [25  3],[50.38271605  2.61728395] ; [26.61728395  1.38271605],0
b1,1,0.087598,2.917977,[18 35] ; [15 13],[21.59259259 31.40740741] ; [11.40740741 16.59259259],0
s8,1,0.115807,2.473131,[37 15] ; [15 13],[33.8 18.2] ; [18.2  9.8],0
a7,1,0.166563,1.913609,[40 13] ; [17 11],[37.2962963 15.7037037] ; [19.7037037  8.2962963],0
r1,1,0.181896,1.782068,[46  7] ; [21  7],[43.83950617  9.16049383] ; [23.16049383  4.83950617],0
n5,1,0.188871,1.726399,[50  3] ; [24  4],[48.41975309  4.58024691] ; [25.58024691  2.41975309],0
p9,1,0.217038,1.523849,[51  2] ; [25  3],[49.72839506  3.27160494] ; [26.27160494  1.72839506],0
p2,1,0.223273,1.483212,[47  6] ; [22  6],[45.14814815  7.85185185] ; [23.85185185  4.14814815],0
r4,1,0.233545,1.419137,[52  1] ; [26  2],[51.03703704  1.96296296] ; [26.96296296  1.03703704],0
a4,1,0.252343,1.310283,[24 29] ; [ 9 19],[21.59259259 31.40740741] ; [11.40740741 16.59259259],0
a2,1,0.255703,1.291876,[11 42] ; [ 3 25],[ 9.16049383 43.83950617] ; [ 4.83950617 23.16049383],0
v2,1,0.258137,1.278721,[31 21] ; [13 15],[28.6 23.4] ; [15.4 12.6],0
a5,1,0.258307,1.277805,[42 11] ; [19  9],[39.91358025 13.08641975] ; [21.08641975  6.91358025],0
p10,1,0.30556,1.049771,[49  4] ; [23  4],[47.7  5.3] ; [24.3  2.7],0
n2,1,0.308709,1.03619,[8 2] ; [4 3],[7.05882353 2.94117647] ; [4.94117647 2.05882353],0
p1,1,0.31218,1.021432,[17 36] ; [ 6 22],[15.04938272 37.95061728] ; [ 7.95061728 20.04938272],0
v3,1,0.319366,0.99154,[32 20] ; [14 14],[29.9 22.1] ; [16.1 11.9],0
n4,1,0.408804,0.682278,[50  3] ; [25  3],[49.07407407  3.92592593] ; [25.92592593  2.07407407],0
d2,1,0.439065,0.598726,[25 27] ; [16 12],[26.65 25.35] ; [14.35 13.65],0
d5,1,0.465552,0.532514,[39 13] ; [23  5],[40.3 11.7] ; [21.7  6.3],0
n3,1,0.485845,0.485714,[6 4] ; [3 4],[5.29411765 4.70588235] ; [3.70588235 3.29411765],0
s5,1,0.492377,0.471328,[36 15] ; [17 10],[34.65384615 16.34615385] ; [18.34615385  8.65384615],0
b4,1,0.503371,0.447822,[30 23] ; [18 10],[31.40740741 21.59259259] ; [16.59259259 11.40740741],0
v4,1,0.50566,0.443037,[51  2] ; [26  2],[50.38271605  2.61728395] ; [26.61728395  1.38271605],0
d3,1,0.581971,0.303059,[34 18] ; [20  8],[35.1 16.9] ; [18.9  9.1],0
d1,1,0.611874,0.257455,[31 22] ; [18 10],[32.0617284 20.9382716] ; [16.9382716 11.0617284],0
s4,1,0.624706,0.239309,[ 8 45] ; [ 3 24],[ 7.2875 45.7125] ; [ 3.7125 23.2875],0
u3,1,0.678044,0.172336,[8 4] ; [4 3],[7.57894737 4.42105263] ; [4.42105263 2.57894737],0
n1,1,0.69627,0.152381,[6 4] ; [3 3],[5.625 4.375] ; [3.375 2.625],0
s1,1,0.727081,0.121809,[ 5 48] ; [ 2 26],[ 4.58024691 48.41975309] ; [ 2.41975309 25.58024691],0
u1,1,0.75541,0.097041,[11 42] ; [ 5 23],[10.4691358 42.5308642] ; [ 5.5308642 22.4691358],0
d4,1,0.774933,0.081755,[44  8] ; [23  5],[43.55  8.45] ; [23.45  4.55],0
v1,1,0.785126,0.074335,[35 17] ; [18 10],[34.45 17.55] ; [18.55  9.45],0
a6,1,0.79341,0.068584,[30 22] ; [17 11],[30.55 21.45] ; [16.45 11.55],0
a3,1,0.811692,0.05676,[41 12] ; [21  7],[40.56790123 12.43209877] ; [21.43209877  6.56790123],0
a8,1,0.829222,0.046526,[ 9 41] ; [ 4 21],[ 8.66666667 41.33333333] ; [ 4.33333333 20.66666667],0
u2,1,0.829454,0.046398,[8 4] ; [5 2],[8.21052632 3.78947368] ; [4.78947368 2.21052632],0
b3,1,0.939885,0.005687,[18 19] ; [10 11],[17.86206897 19.13793103] ; [10.13793103 10.86206897],0
b2,1,0.939885,0.005687,[18 19] ; [10 11],[17.86206897 19.13793103] ; [10.13793103 10.86206897],0
