Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,7.7e-05,15.623607,[ 1 54] ; [4 7],[ 4.16666667 50.83333333] ; [ 0.83333333 10.16666667],1
a7,1,0.002135,9.430032,[38 18] ; [2 9],[33.43283582 22.56716418] ; [6.56716418 4.43283582],0
p7,1,0.017344,5.661228,[41 15] ; [4 7],[37.6119403 18.3880597] ; [7.3880597 3.6119403],0
r3,1,0.045992,3.98188,[52  4] ; [8 3],[50.14925373  5.85074627] ; [9.85074627 1.14925373],0
p1,1,0.050781,3.81547,[ 7 49] ; [4 7],[ 9.19402985 46.80597015] ; [1.80597015 9.19402985],0
p8,1,0.054219,3.705946,[33 23] ; [3 8],[30.08955224 25.91044776] ; [5.91044776 5.08955224],0
v4,1,0.068571,3.316912,[52  2] ; [9 2],[50.67692308  3.32307692] ; [10.32307692  0.67692308],0
p9,1,0.080832,3.048091,[48  8] ; [7 4],[45.97014925 10.02985075] ; [9.02985075 1.97014925],0
p4,1,0.084331,2.979389,[36 20] ; [4 7],[33.43283582 22.56716418] ; [6.56716418 4.43283582],0
p10,1,0.091668,2.844828,[50  5] ; [8 3],[48.33333333  6.66666667] ; [9.66666667 1.33333333],0
b1,1,0.108098,2.581804,[21 35] ; [7 4],[23.40298507 32.59701493] ; [4.59701493 6.40298507],0
d3,1,0.182008,1.781152,[22 34] ; [2 9],[20.05970149 35.94029851] ; [3.94029851 7.05970149],0
a6,1,0.182008,1.781152,[34 22] ; [9 2],[35.94029851 20.05970149] ; [7.05970149 3.94029851],0
s2,1,0.217321,1.521975,[35 21] ; [9 2],[36.7761194 19.2238806] ; [7.2238806 3.7761194],0
p3,1,0.222444,1.488537,[26 29] ; [3 8],[24.16666667 30.83333333] ; [4.83333333 6.16666667],0
b5,1,0.241077,1.374284,[30 26] ; [8 3],[31.76119403 24.23880597] ; [6.23880597 4.76119403],0
v2,1,0.286636,1.135357,[27 29] ; [3 7],[25.45454545 30.54545455] ; [4.54545455 5.45454545],0
u3,1,0.359637,0.839161,[10 10] ; [3 1],[10.83333333  9.16666667] ; [2.16666667 1.83333333],0
n5,1,0.391805,0.733333,[44 11] ; [10  1],[45. 10.] ; [9. 2.],0
p12,1,0.418379,0.654863,[ 2 54] ; [ 1 10],[ 2.50746269 53.49253731] ; [ 0.49253731 10.50746269],0
r2,1,0.42788,0.628571,[53  2] ; [10  1],[52.5  2.5] ; [10.5  0.5],0
s8,1,0.451357,0.567242,[34 22] ; [8 3],[35.10447761 20.89552239] ; [6.89552239 4.10447761],0
v3,1,0.466065,0.531289,[19 37] ; [5 6],[20.05970149 35.94029851] ; [3.94029851 7.05970149],0
s4,1,0.477264,0.505109,[16 40] ; [2 9],[15.04477612 40.95522388] ; [2.95522388 8.04477612],0
r4,1,0.484998,0.487605,[50  6] ; [9 2],[49.31343284  6.68656716] ; [9.68656716 1.31343284],0
n1,1,0.534428,0.385965,[ 9 10] ; [2 1],[9.5 9.5] ; [1.5 1.5],0
v1,1,0.559999,0.339706,[28 28] ; [6 4],[28.84848485 27.15151515] ; [5.15151515 4.84848485],0
n2,1,0.658691,0.195118,[16  3] ; [3 1],[15.69565217  3.30434783] ; [3.30434783 0.69565217],0
a8,1,0.684405,0.16521,[ 7 45] ; [2 9],[ 7.42857143 44.57142857] ; [1.57142857 9.42857143],0
a5,1,0.694608,0.154142,[39 17] ; [7 4],[38.44776119 17.55223881] ; [7.55223881 3.44776119],0
d2,1,0.694608,0.154142,[17 39] ; [4 7],[17.55223881 38.44776119] ; [3.44776119 7.55223881],0
p6,1,0.702947,0.145424,[22 34] ; [5 6],[22.56716418 33.43283582] ; [4.43283582 6.56716418],0
p5,1,0.740245,0.109911,[ 8 48] ; [2 9],[ 8.35820896 47.64179104] ; [1.64179104 9.35820896],0
n6,1,0.740245,0.109911,[48  8] ; [9 2],[47.64179104  8.35820896] ; [9.35820896 1.64179104],0
b3,1,0.760293,0.093083,[11 28] ; [3 6],[11.375 27.625] ; [2.625 6.375],0
b2,1,0.760293,0.093083,[11 28] ; [3 6],[11.375 27.625] ; [2.625 6.375],0
d5,1,0.782792,0.076001,[28 28] ; [6 5],[28.41791045 27.58208955] ; [5.58208955 5.41791045],0
n4,1,0.797252,0.066,[42 13] ; [8 3],[41.66666667 13.33333333] ; [8.33333333 2.66666667],0
s5,1,0.82173,0.050769,[22 33] ; [4 7],[21.66666667 33.33333333] ; [4.33333333 6.66666667],0
n3,1,0.861894,0.030263,[15  4] ; [3 1],[14.86956522  4.13043478] ; [3.13043478 0.86956522],0
s6,1,0.86863,0.027357,[43 11] ; [9 2],[43.2 10.8] ; [8.8 2.2],0
a2,1,0.872153,0.025897,[ 6 50] ; [ 1 10],[ 5.85074627 50.14925373] ; [1.14925373 9.85074627],0
s3,1,0.893393,0.017959,[38 18] ; [7 3],[38.18181818 17.81818182] ; [6.81818182 3.18181818],0
r1,1,0.899825,0.015846,[41 14] ; [8 3],[40.83333333 14.16666667] ; [8.16666667 2.83333333],0
p11,1,0.930381,0.007633,[40 16] ; [8 3],[40.11940299 15.88059701] ; [7.88059701 3.11940299],0
b4,1,0.952766,0.003509,[26 30] ; [5 6],[25.91044776 30.08955224] ; [5.08955224 5.91044776],0
a3,1,0.967244,0.001686,[36 20] ; [7 4],[35.94029851 20.05970149] ; [7.05970149 3.94029851],0
a4,1,0.973424,0.00111,[15 41] ; [3 8],[15.04477612 40.95522388] ; [2.95522388 8.04477612],0
u2,1,1.0,0.0,[10 10] ; [2 2],[10. 10.] ; [2. 2.],0
