Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2e-06,22.768038,[ 2 16] ; [66 27],[11.02702703  6.97297297] ; [56.97297297 36.02702703],1
d4,1,0.002521,9.125277,[10  8] ; [80 13],[14.59459459  3.40540541] ; [75.40540541 17.59459459],0
d2,1,0.002599,9.069243,[ 4 14] ; [56 36],[9.81818182 8.18181818] ; [50.18181818 41.81818182],0
a4,1,0.003924,8.318535,[ 3 15] ; [50 43],[8.59459459 9.40540541] ; [44.40540541 48.59459459],0
a3,1,0.006241,7.479507,[ 8 10] ; [71 22],[12.81081081  5.18918919] ; [66.18918919 26.81081081],0
p2,1,0.011775,6.344427,[9 9] ; [73 20],[13.2972973  4.7027027] ; [68.7027027 24.2972973],0
a7,1,0.016551,5.743391,[ 8 10] ; [68 25],[12.32432432  5.67567568] ; [63.67567568 29.32432432],0
d3,1,0.02613,4.947378,[ 7 11] ; [62 31],[11.18918919  6.81081081] ; [57.81081081 35.18918919],0
n6,1,0.064746,3.41145,[12  6] ; [79 14],[14.75675676  3.24324324] ; [76.24324324 16.75675676],0
p8,1,0.065426,3.394209,[9 9] ; [26 67],[ 5.67567568 12.32432432] ; [29.32432432 63.67567568],0
v2,1,0.070416,3.273293,[12  5] ; [42 48],[8.57943925 8.42056075] ; [45.42056075 44.57943925],0
u3,1,0.076309,3.141818,[4 6] ; [16  6],[6.25 3.75] ; [13.75  8.25],0
s7,1,0.095888,2.772634,[ 5 13] ; [40 41],[8.18181818 9.81818182] ; [36.81818182 44.18181818],0
b2,1,0.125147,2.351699,[6 4] ; [20 38],[3.82352941 6.17647059] ; [22.17647059 35.82352941],0
b3,1,0.125147,2.351699,[6 4] ; [20 38],[3.82352941 6.17647059] ; [22.17647059 35.82352941],0
v3,1,0.177632,1.817323,[8 9] ; [26 60],[ 5.61165049 11.38834951] ; [28.38834951 57.61165049],0
b4,1,0.182327,1.778555,[14  4] ; [57 36],[11.51351351  6.48648649] ; [59.48648649 33.51351351],0
s8,1,0.195228,1.677719,[ 6 12] ; [46 46],[8.50909091 9.49090909] ; [43.49090909 48.50909091],0
p4,1,0.230314,1.43892,[12  6] ; [74 19],[13.94594595  4.05405405] ; [72.05405405 20.94594595],0
u2,1,0.24179,1.370128,[7 3] ; [10 11],[5.48387097 4.51612903] ; [11.51612903  9.48387097],0
s2,1,0.243611,1.359574,[ 8 10] ; [54 37],[10.23853211  7.76146789] ; [51.76146789 39.23853211],0
r4,1,0.280612,1.164124,[17  1] ; [79 14],[15.56756757  2.43243243] ; [80.43243243 12.56756757],0
p12,1,0.294572,1.098607,[ 3 15] ; [ 8 85],[ 1.78378378 16.21621622] ; [ 9.21621622 83.78378378],0
p9,1,0.305178,1.051429,[13  5] ; [76 16],[14.56363636  3.43636364] ; [74.43636364 17.56363636],0
a8,1,0.313293,1.016741,[ 2 16] ; [ 4 78],[ 1.08 16.92] ; [ 4.92 77.08],0
v4,1,0.359563,0.839419,[16  2] ; [88  5],[16.86486486  1.13513514] ; [87.13513514  5.86486486],0
s6,1,0.368193,0.809754,[11  7] ; [66 26],[12.6  5.4] ; [64.4 27.6],0
n5,1,0.386859,0.748792,[12  6] ; [71 22],[13.45945946  4.54054054] ; [69.54054054 23.45945946],0
v1,1,0.406282,0.689655,[ 8 10] ; [48 39],[9.6 8.4] ; [46.4 40.6],0
b5,1,0.420661,0.648468,[9 9] ; [56 37],[10.54054054  7.45945946] ; [54.45945946 38.54054054],0
p11,1,0.446462,0.579618,[14  4] ; [64 29],[12.64864865  5.35135135] ; [65.35135135 27.64864865],0
r1,1,0.446621,0.579212,[15  3] ; [69 23],[13.74545455  4.25454545] ; [70.25454545 21.74545455],0
a5,1,0.447017,0.578203,[12  6] ; [70 23],[13.2972973  4.7027027] ; [68.7027027 24.2972973],0
n3,1,0.462336,0.540234,[1 1] ; [20  7],[1.44827586 0.55172414] ; [19.55172414  7.44827586],0
n2,1,0.547947,0.361008,[1 1] ; [19  8],[1.37931034 0.62068966] ; [18.62068966  8.37931034],0
r3,1,0.610098,0.260032,[16  2] ; [86  7],[16.54054054  1.45945946] ; [85.45945946  7.54054054],0
u4,1,0.627371,0.235642,[ 1 17] ; [ 3 90],[ 0.64864865 17.35135135] ; [ 3.35135135 89.64864865],0
a1,1,0.627371,0.235642,[ 1 17] ; [ 3 90],[ 0.64864865 17.35135135] ; [ 3.35135135 89.64864865],0
s5,1,0.63174,0.229709,[ 6 10] ; [27 59],[ 5.17647059 10.82352941] ; [27.82352941 58.17647059],0
s4,1,0.639702,0.219132,[ 2 16] ; [14 77],[ 2.64220183 15.35779817] ; [13.35779817 77.64220183],0
s3,1,0.78293,0.075902,[11  7] ; [53 39],[10.47272727  7.52727273] ; [53.52727273 38.47272727],0
n4,1,0.870541,0.02656,[15  3] ; [76 17],[14.75675676  3.24324324] ; [76.24324324 16.75675676],0
p6,1,0.87728,0.023845,[ 4 14] ; [22 70],[ 4.25454545 13.74545455] ; [21.74545455 70.25454545],0
s1,1,0.877945,0.023585,[ 1 17] ; [ 6 86],[ 1.14545455 16.85454545] ; [ 5.85454545 86.14545455],0
p10,1,0.881636,0.02217,[13  5] ; [68 24],[13.25454545  4.74545455] ; [67.74545455 24.25454545],0
b1,1,0.888936,0.019502,[ 8 10] ; [43 50],[8.27027027 9.72972973] ; [42.72972973 50.27027027],0
a6,1,0.919986,0.01009,[11  7] ; [58 35],[11.18918919  6.81081081] ; [57.81081081 35.18918919],0
p1,1,0.954829,0.003208,[ 3 15] ; [15 78],[ 2.91891892 15.08108108] ; [15.08108108 77.91891892],0
