Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,38.254496,[91  6] ; [15 18],[79.09230769 17.90769231] ; [26.90769231  6.09230769],1
n6,1,0.0,30.364659,[91  5] ; [18 15],[81.11627907 14.88372093] ; [27.88372093  5.11627907],1
p4,1,0.000887,11.049009,[56 41] ; [ 8 25],[47.75384615 49.24615385] ; [16.24615385 16.75384615],1
p2,1,0.015293,5.882374,[72 25] ; [17 16],[66.40769231 30.59230769] ; [22.59230769 10.40769231],0
p3,1,0.019617,5.445678,[39 57] ; [ 6 27],[33.48837209 62.51162791] ; [11.51162791 21.48837209],0
v4,1,0.026789,4.904341,[93  4] ; [27  5],[90.23255814  6.76744186] ; [29.76744186  2.23255814],0
p9,1,0.026863,4.89961,[83 14] ; [21 10],[78.8125 18.1875] ; [25.1875  5.8125],0
p10,1,0.028566,4.793597,[75 22] ; [19 14],[70.13846154 26.86153846] ; [23.86153846  9.13846154],0
u2,1,0.030191,4.698355,[ 8 11] ; [7 1],[10.55555556  8.44444444] ; [4.44444444 3.55555556],0
b5,1,0.034344,4.477507,[72 25] ; [18 15],[67.15384615 29.84615385] ; [22.84615385 10.15384615],0
a5,1,0.035974,4.398313,[79 18] ; [21 12],[74.61538462 22.38461538] ; [25.38461538  7.61538462],0
s4,1,0.045301,4.0074,[14 82] ; [10 23],[17.86046512 78.13953488] ; [ 6.13953488 26.86046512],0
s8,1,0.04874,3.884301,[65 31] ; [16 17],[60.27906977 35.72093023] ; [20.72093023 12.27906977],0
b1,1,0.084039,2.985005,[43 54] ; [ 9 24],[38.8 58.2] ; [13.2 19.8],0
v1,1,0.123858,2.367849,[42 48] ; [20 12],[45.73770492 44.26229508] ; [16.26229508 15.73770492],0
a4,1,0.130237,2.289673,[53 44] ; [13 20],[49.24615385 47.75384615] ; [16.75384615 16.24615385],0
d2,1,0.138594,2.193505,[64 33] ; [17 16],[60.43846154 36.56153846] ; [20.56153846 12.43846154],0
b4,1,0.188055,1.732792,[55 42] ; [23 10],[58.2 38.8] ; [19.8 13.2],0
p11,1,0.197955,1.657401,[65 32] ; [18 15],[61.93076923 35.06923077] ; [21.06923077 11.93076923],0
p8,1,0.218796,1.512252,[29 68] ; [ 6 26],[26.31782946 70.68217054] ; [ 8.68217054 23.31782946],0
v2,1,0.247872,1.335257,[46 50] ; [18 12],[48.76190476 47.23809524] ; [15.23809524 14.76190476],0
s2,1,0.260897,1.26399,[69 28] ; [20 13],[66.40769231 30.59230769] ; [22.59230769 10.40769231],0
a6,1,0.264749,1.243752,[57 40] ; [23 10],[59.69230769 37.30769231] ; [20.30769231 12.69230769],0
a2,1,0.285326,1.141547,[30 67] ; [ 7 26],[27.60769231 69.39230769] ; [ 9.39230769 23.60769231],0
a3,1,0.353588,0.860537,[78 19] ; [24  9],[76.10769231 20.89230769] ; [25.89230769  7.10769231],0
n1,1,0.361874,0.831378,[19 12] ; [5 6],[17.71428571 13.28571429] ; [6.28571429 4.71428571],0
d1,1,0.385423,0.753332,[64 33] ; [19 14],[61.93076923 35.06923077] ; [21.06923077 11.93076923],0
r2,1,0.399075,0.711111,[91  5] ; [29  3],[90.  6.] ; [30.  2.],0
s3,1,0.440646,0.594599,[68 28] ; [21 12],[66.23255814 29.76744186] ; [22.76744186 10.23255814],0
u1,1,0.454576,0.559216,[27 70] ; [ 7 26],[25.36923077 71.63076923] ; [ 8.63076923 24.36923077],0
r3,1,0.466403,0.530484,[87 10] ; [31  2],[88.04615385  8.95384615] ; [29.95384615  3.04615385],0
s6,1,0.497458,0.460355,[78 18] ; [25  8],[76.65116279 19.34883721] ; [26.34883721  6.65116279],0
s5,1,0.561107,0.337791,[30 61] ; [12 19],[31.32786885 59.67213115] ; [10.67213115 20.32786885],0
d5,1,0.57047,0.321897,[78 19] ; [28  5],[79.09230769 17.90769231] ; [26.90769231  6.09230769],0
u3,1,0.608757,0.261988,[13  6] ; [7 2],[13.57142857  5.42857143] ; [6.42857143 2.57142857],0
d3,1,0.61851,0.247967,[63 34] ; [23 10],[64.16923077 32.83076923] ; [21.83076923 11.16923077],0
a8,1,0.624524,0.23956,[ 9 77] ; [ 4 25],[ 9.72173913 76.27826087] ; [ 3.27826087 25.72173913],0
n2,1,0.65136,0.20419,[22  9] ; [7 4],[21.4047619  9.5952381] ; [7.5952381 3.4047619],0
n3,1,0.653484,0.201536,[21 10] ; [6 4],[20.41463415 10.58536585] ; [6.58536585 3.41463415],0
v3,1,0.67063,0.180866,[35 58] ; [10 20],[34.02439024 58.97560976] ; [10.97560976 19.02439024],0
b2,1,0.704368,0.143968,[29 43] ; [ 9 11],[29.73913043 42.26086957] ; [ 8.26086957 11.73913043],0
b3,1,0.704368,0.143968,[29 43] ; [ 9 11],[29.73913043 42.26086957] ; [ 8.26086957 11.73913043],0
r4,1,0.714023,0.134292,[82 15] ; [27  6],[81.33076923 15.66923077] ; [27.66923077  5.33076923],0
p1,1,0.718806,0.129639,[11 86] ; [ 3 30],[10.44615385 86.55384615] ; [ 3.55384615 29.44615385],0
d4,1,0.753362,0.098728,[80 17] ; [28  5],[80.58461538 16.41538462] ; [27.41538462  5.58461538],0
r1,1,0.757273,0.09552,[76 21] ; [25  8],[75.36153846 21.63846154] ; [25.63846154  7.36153846],0
p6,1,0.768493,0.08664,[23 74] ; [ 7 26],[22.38461538 74.61538462] ; [ 7.61538462 25.38461538],0
a7,1,0.775586,0.081269,[65 32] ; [23 10],[65.66153846 31.33846154] ; [22.33846154 10.66153846],0
