Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.8e-05,17.533982,[126  35] ; [22 25],[114.55769231  46.44230769] ; [33.44230769 13.55769231],1
n4,1,3.2e-05,17.275365,[126  34] ; [23 25],[114.61538462  45.38461538] ; [34.38461538 13.61538462],1
p10,1,4.3e-05,16.734777,[127  30] ; [24 23],[116.21078431  40.78921569] ; [34.78921569 12.21078431],1
s6,1,0.000144,14.453275,[130  27] ; [27 21],[120.23902439  36.76097561] ; [36.76097561 11.23902439],1
p9,1,0.000283,13.178559,[134  25] ; [28 19],[125.03883495  33.96116505] ; [36.96116505 10.03883495],1
s8,1,0.001526,10.047289,[82 79] ; [12 36],[72.41148325 88.58851675] ; [21.58851675 26.41148325],0
a1,1,0.001931,9.614401,[  2 159] ; [ 5 43],[  5.3923445 155.6076555] ; [ 1.6076555 46.3923445],0
r4,1,0.002562,9.09579,[145  16] ; [35 13],[138.66028708  22.33971292] ; [41.33971292  6.66028708],0
v2,1,0.003135,8.727459,[79 74] ; [12 33],[70.31818182 82.68181818] ; [20.68181818 24.31818182],0
u2,1,0.003335,8.614711,[23 40] ; [16  6],[28.90588235 34.09411765] ; [10.09411765 11.90588235],0
p2,1,0.003392,8.583869,[136  23] ; [32 16],[129.04347826  29.95652174] ; [38.95652174  9.04347826],0
s5,1,0.007273,7.204396,[59 96] ; [ 8 39],[ 51.41089109 103.58910891] ; [15.58910891 31.41089109],0
p11,1,0.009856,6.660804,[127  34] ; [29 19],[120.1722488  40.8277512] ; [35.8277512 12.1722488],0
r2,1,0.012356,6.259096,[151   9] ; [39  8],[146.85990338  13.14009662] ; [43.14009662  3.85990338],0
s7,1,0.023603,5.123545,[91 63] ; [18 27],[84.35175879 69.64824121] ; [24.64824121 20.35175879],0
b2,1,0.031572,4.621589,[32 62] ; [ 3 22],[27.64705882 66.35294118] ; [ 7.35294118 17.64705882],0
b3,1,0.031572,4.621589,[32 62] ; [ 3 22],[27.64705882 66.35294118] ; [ 7.35294118 17.64705882],0
r3,1,0.035942,4.399877,[154   7] ; [41  6],[150.9375  10.0625] ; [44.0625  2.9375],0
p5,1,0.055675,3.661765,[ 18 141] ; [ 1 46],[ 14.66504854 144.33495146] ; [ 4.33495146 42.66504854],0
