Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,29.308818,[59  8] ; [ 6 15],[49.48863636 17.51136364] ; [15.51136364  5.48863636],1
r4,1,1.9e-05,18.295579,[48 19] ; [ 4 17],[39.59090909 27.40909091] ; [12.40909091  8.59090909],1
p2,1,0.000438,12.363983,[39 28] ; [ 3 18],[31.97727273 35.02272727] ; [10.02272727 10.97727273],1
n2,1,0.001607,9.951227,[24  6] ; [3 8],[19.75609756 10.24390244] ; [7.24390244 3.75609756],0
r2,1,0.004279,8.161351,[57 10] ; [11  9],[52.36781609 14.63218391] ; [15.63218391  4.36781609],0
u3,1,0.019267,5.477139,[17 18] ; [ 1 10],[13.69565217 21.30434783] ; [4.30434783 6.69565217],0
p7,1,0.019533,5.453125,[32 35] ; [ 4 17],[27.40909091 39.59090909] ; [ 8.59090909 12.40909091],0
p11,1,0.033008,4.545379,[37 30] ; [ 6 15],[32.73863636 34.26136364] ; [10.26136364 10.73863636],0
s4,1,0.041116,4.171232,[ 7 60] ; [ 6 15],[ 9.89772727 57.10227273] ; [ 3.10227273 17.89772727],0
p6,1,0.042881,4.100092,[17 48] ; [ 1 19],[13.76470588 51.23529412] ; [ 4.23529412 15.76470588],0
p1,1,0.050945,3.810086,[ 2 65] ; [ 3 18],[ 3.80681818 63.19318182] ; [ 1.19318182 19.80681818],0
n6,1,0.051455,3.793404,[44 22] ; [ 9 12],[40.20689655 25.79310345] ; [12.79310345  8.20689655],0
r1,1,0.061419,3.498641,[38 29] ; [ 7 14],[34.26136364 32.73863636] ; [10.73863636 10.26136364],0
u2,1,0.063286,3.449117,[17 17] ; [2 9],[14.35555556 19.64444444] ; [4.64444444 6.35555556],0
a5,1,0.080011,3.064677,[37 30] ; [ 7 14],[33.5 33.5] ; [10.5 10.5],0
s5,1,0.086647,2.935589,[18 47] ; [ 2 19],[15.11627907 49.88372093] ; [ 4.88372093 16.11627907],0
p8,1,0.092243,2.834794,[18 48] ; [ 2 19],[15.17241379 50.82758621] ; [ 4.82758621 16.17241379],0
d5,1,0.106902,2.59944,[39 28] ; [ 8 13],[35.78409091 31.21590909] ; [11.21590909  9.78409091],0
p9,1,0.11084,2.542208,[25 41] ; [ 4 17],[22. 44.] ; [ 7. 14.],0
v2,1,0.128567,2.30972,[24 41] ; [ 4 17],[21.1627907 43.8372093] ; [ 6.8372093 14.1627907],0
v1,1,0.199238,1.64795,[22 43] ; [ 4 17],[19.65116279 45.34883721] ; [ 6.34883721 14.65116279],0
s6,1,0.257135,1.284114,[28 38] ; [ 6 15],[25.79310345 40.20689655] ; [ 8.20689655 12.79310345],0
a6,1,0.277655,1.178533,[28 39] ; [ 6 15],[25.88636364 41.11363636] ; [ 8.11363636 12.88636364],0
p4,1,0.287803,1.12987,[24 42] ; [ 5 16],[22. 44.] ; [ 7. 14.],0
b2,1,0.321593,0.982456,[12 30] ; [6 8],[13.5 28.5] ; [4.5 9.5],0
b3,1,0.321593,0.982456,[12 30] ; [6 8],[13.5 28.5] ; [4.5 9.5],0
b4,1,0.32938,0.951334,[40 27] ; [10 11],[38.06818182 28.93181818] ; [11.93181818  9.06818182],0
u4,1,0.38039,0.769442,[ 1 66] ; [ 1 20],[ 1.52272727 65.47727273] ; [ 0.47727273 20.52272727],0
b5,1,0.384381,0.756642,[36 31] ; [ 9 12],[34.26136364 32.73863636] ; [10.73863636 10.26136364],0
n3,1,0.387145,0.74789,[17 11] ; [5 6],[15.79487179 12.20512821] ; [6.20512821 4.79487179],0
p3,1,0.43385,0.612495,[22 45] ; [ 5 16],[20.55681818 46.44318182] ; [ 6.44318182 14.55681818],0
s7,1,0.438662,0.599781,[19 44] ; [ 4 15],[17.67073171 45.32926829] ; [ 5.32926829 13.67073171],0
n1,1,0.475263,0.509713,[10 20] ; [5 6],[10.97560976 19.02439024] ; [4.02439024 6.97560976],0
s3,1,0.477755,0.503983,[29 37] ; [ 7 13],[27.62790698 38.37209302] ; [ 8.37209302 11.62790698],0
a4,1,0.54896,0.359184,[25 42] ; [ 6 14],[23.87356322 43.12643678] ; [ 7.12643678 12.87356322],0
b1,1,0.553189,0.351634,[40 27] ; [11 10],[38.82954545 28.17045455] ; [12.17045455  8.82954545],0
a1,1,0.572929,0.317807,[ 4 63] ; [ 2 19],[ 4.56818182 62.43181818] ; [ 1.43181818 19.56818182],0
s2,1,0.595088,0.282468,[23 43] ; [ 6 15],[22. 44.] ; [ 7. 14.],0
v3,1,0.62295,0.241744,[16 47] ; [ 4 16],[15.18072289 47.81927711] ; [ 4.81927711 15.18072289],0
p12,1,0.695406,0.153295,[ 2 65] ; [ 1 20],[ 2.28409091 64.71590909] ; [ 0.71590909 20.28409091],0
d2,1,0.705492,0.142822,[30 37] ; [ 8 12],[29.26436782 37.73563218] ; [ 8.73563218 11.26436782],0
s1,1,0.760686,0.092769,[ 5 62] ; [ 2 19],[ 5.32954545 61.67045455] ; [ 1.67045455 19.32954545],0
n4,1,0.81884,0.052458,[39 27] ; [13  8],[39.44827586 26.55172414] ; [12.55172414  8.44827586],0
d3,1,0.835049,0.04336,[24 43] ; [ 7 14],[23.60227273 43.39772727] ; [ 7.39772727 13.60227273],0
d4,1,0.931182,0.007458,[39 28] ; [12  9],[38.82954545 28.17045455] ; [12.17045455  8.82954545],0
a3,1,0.944866,0.004783,[32 34] ; [10 11],[31.86206897 34.13793103] ; [10.13793103 10.86206897],0
n5,1,0.958591,0.002696,[35 31] ; [11 10],[34.89655172 31.10344828] ; [11.10344828  9.89655172],0
d1,1,0.966242,0.001791,[22 45] ; [ 7 14],[22.07954545 44.92045455] ; [ 6.92045455 14.07954545],0
