Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.774946,[170 341] ; [59 42],[191.20751634 319.79248366] ; [37.79248366 63.20751634],1
s2,1,3.5e-05,17.119704,[269 257] ; [80 30],[288.63836478 237.36163522] ; [60.36163522 49.63836478],1
s6,1,0.000366,12.697489,[349 172] ; [91 17],[364.45151033 156.54848967] ; [75.54848967 32.45151033],1
n4,1,0.002167,9.402145,[426 103] ; [74 36],[413.92801252 115.07198748] ; [86.07198748 23.92801252],0
s3,1,0.002375,9.234095,[293 229] ; [79 31],[307.25316456 214.74683544] ; [64.74683544 45.25316456],0
p6,1,0.006831,7.316838,[195 326] ; [56 53],[207.57301587 313.42698413] ; [43.42698413 65.57301587],0
a8,1,0.008912,6.840361,[ 80 399] ; [ 7 98],[ 71.35787671 407.64212329] ; [15.64212329 89.35787671],0
v3,1,0.020418,5.375769,[217 288] ; [33 74],[206.29084967 298.70915033] ; [43.70915033 63.29084967],0
s7,1,0.0265,4.923095,[257 250] ; [68 41],[267.49188312 239.50811688] ; [57.50811688 51.49188312],0
d3,1,0.034029,4.493226,[404 126] ; [94 16],[412.40625 117.59375] ; [85.59375 24.40625],0
p11,1,0.090582,2.863994,[445  85] ; [85 25],[438.90625  91.09375] ; [91.09375 18.90625],0
b3,1,0.098436,2.730704,[141 190] ; [18 40],[135.29305913 195.70694087] ; [23.70694087 34.29305913],0
b2,1,0.098436,2.730704,[141 190] ; [18 40],[135.29305913 195.70694087] ; [23.70694087 34.29305913],0
p2,1,0.104203,2.640007,[464  61] ; [91 19],[458.85826772  66.14173228] ; [96.14173228 13.85826772],0
v1,1,0.128424,2.311448,[299 213] ; [55 54],[291.8647343 220.1352657] ; [62.1352657 46.8647343],0
s8,1,0.135295,2.230672,[251 276] ; [61 49],[258.12244898 268.87755102] ; [53.87755102 56.12244898],0
u2,1,0.141663,2.159798,[79 45] ; [12 13],[75.73154362 48.26845638] ; [15.26845638  9.73154362],0
n1,1,0.181462,1.785613,[46 66] ; [ 7 19],[43.01449275 68.98550725] ; [ 9.98550725 16.01449275],0
a1,1,0.184023,1.764829,[ 31 499] ; [  3 107],[ 28.15625 501.84375] ; [  5.84375 104.15625],0
u4,1,0.210477,1.568139,[ 16 514] ; [  1 109],[ 14.078125 515.921875] ; [  2.921875 107.078125],0
v2,1,0.218546,1.513895,[308 200] ; [58 49],[302.32195122 205.67804878] ; [63.67804878 43.32195122],0
p12,1,0.246841,1.341094,[ 52 474] ; [  7 103],[ 48.79559748 477.20440252] ; [10.20440252 99.79559748],0
p5,1,0.290354,1.117978,[ 72 452] ; [11 99],[ 68.59936909 455.40063091] ; [14.40063091 95.59936909],0
r3,1,0.350799,0.870564,[509  19] ; [103   6],[507.27786499  20.72213501] ; [104.72213501   4.27786499],0
n5,1,0.372833,0.794201,[402 122] ; [80 30],[398.37223975 125.62776025] ; [83.62776025 26.37223975],0
r1,1,0.374626,0.788263,[432  96] ; [86 24],[428.68965517  99.31034483] ; [89.31034483 20.68965517],0
p10,1,0.498509,0.45811,[478  49] ; [102   8],[479.84301413  47.15698587] ; [100.15698587   9.84301413],0
n3,1,0.514634,0.424633,[79 33] ; [20  6],[80.34782609 31.65217391] ; [18.65217391  7.34782609],0
a2,1,0.545112,0.366147,[140 390] ; [26 84],[137.46875 392.53125] ; [28.53125 81.46875],0
p8,1,0.568963,0.324421,[290 234] ; [56 51],[287.32805071 236.67194929] ; [58.67194929 48.32805071],0
b5,1,0.572385,0.318707,[322 208] ; [70 40],[324.625 205.375] ; [67.375 42.625],0
s1,1,0.582096,0.302859,[ 14 509] ; [  4 106],[ 14.87203791 508.12796209] ; [  3.12796209 106.87203791],0
u1,1,0.600367,0.274443,[104 426] ; [24 86],[106. 424.] ; [22. 88.],0
a5,1,0.601159,0.273251,[412 118] ; [88 22],[414.0625 115.9375] ; [85.9375 24.0625],0
d5,1,0.609747,0.260544,[467  63] ; [95 15],[465.40625  64.59375] ; [96.59375 13.40625],0
p1,1,0.644915,0.212371,[ 41 486] ; [ 10 100],[ 42.19309262 484.80690738] ; [  8.80690738 101.19309262],0
n2,1,0.650404,0.205391,[82 31] ; [20  6],[82.92086331 30.07913669] ; [19.07913669  6.92086331],0
d1,1,0.675507,0.175228,[370 160] ; [79 31],[371.828125 158.171875] ; [77.171875 32.828125],0
a6,1,0.693204,0.155639,[366 163] ; [74 36],[364.25665102 164.74334898] ; [75.74334898 34.25665102],0
b1,1,0.741777,0.108571,[187 343] ; [37 73],[185.5 344.5] ; [38.5 71.5],0
v4,1,0.792495,0.069207,[504  22] ; [106   4],[504.49685535  21.50314465] ; [105.50314465   4.49685535],0
p3,1,0.794445,0.067882,[276 252] ; [59 51],[277.24137931 250.75862069] ; [57.75862069 52.24137931],0
r2,1,0.796906,0.066231,[494  27] ; [104   5],[494.53650794  26.46349206] ; [103.46349206   5.53650794],0
a7,1,0.797144,0.066072,[391 138] ; [80 30],[389.92018779 139.07981221] ; [81.07981221 28.92018779],0
b4,1,0.836463,0.042609,[314 216] ; [64 46],[313.03125 216.96875] ; [64.96875 45.03125],0
a4,1,0.848099,0.036689,[265 264] ; [54 56],[264.08607199 264.91392801] ; [54.91392801 55.08607199],0
a3,1,0.856551,0.032677,[403 124] ; [85 25],[403.7299843 123.2700157] ; [84.2700157 25.7299843],0
n6,1,0.873761,0.025244,[451  74] ; [93 16],[450.47318612  74.52681388] ; [93.52681388 15.47318612],0
p7,1,0.88915,0.019427,[342 174] ; [71 35],[342.61736334 173.38263666] ; [70.38263666 35.61736334],0
u3,1,0.903922,0.014571,[76 48] ; [15 10],[75.73154362 48.26845638] ; [15.26845638  9.73154362],0
p4,1,0.948168,0.004226,[333 193] ; [70 40],[333.29874214 192.70125786] ; [69.70125786 40.29874214],0
r4,1,0.95938,0.002594,[481  49] ; [100  10],[481.140625  48.859375] ; [99.859375 10.140625],0
d2,1,0.997903,7e-06,[279 250] ; [58 52],[278.98748044 250.01251956] ; [58.01251956 51.98748044],0
