Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.5e-05,18.75672,[132  11] ; [39 18],[122.265  20.735] ; [48.735  8.265],1
r4,1,8.5e-05,15.448276,[115  30] ; [30 28],[103.57142857  41.42857143] ; [41.42857143 16.57142857],1
v4,1,0.000129,14.659252,[133  11] ; [41 16],[124.65671642  19.34328358] ; [49.34328358  7.65671642],1
p11,1,0.002322,9.276173,[105  40] ; [29 29],[95.71428571 49.28571429] ; [38.28571429 19.71428571],0
p4,1,0.002418,9.201325,[63 80] ; [12 45],[53.625 89.375] ; [21.375 35.625],0
n4,1,0.002509,9.134055,[93 51] ; [24 34],[83.40594059 60.59405941] ; [33.59405941 24.40594059],0
p3,1,0.005595,7.676394,[54 91] ; [10 48],[45.71428571 99.28571429] ; [18.28571429 39.71428571],0
v3,1,0.007385,7.176885,[44 98] ; [ 7 49],[ 36.57575758 105.42424242] ; [14.42424242 41.57575758],0
s6,1,0.014226,6.009839,[68 73] ; [17 41],[60.22613065 80.77386935] ; [24.77386935 33.22613065],0
a7,1,0.016687,5.729045,[95 48] ; [28 30],[87.50746269 55.49253731] ; [35.49253731 22.50746269],0
r2,1,0.027801,4.840359,[127  17] ; [44 14],[121.9009901  22.0990099] ; [49.0990099  8.9009901],0
b1,1,0.046727,3.955184,[46 99] ; [27 31],[52.14285714 92.85714286] ; [20.85714286 37.14285714],0
p2,1,0.049468,3.859388,[107  37] ; [35 23],[101.22772277  42.77227723] ; [40.77227723 17.22772277],0
p10,1,0.055102,3.678982,[92 50] ; [28 28],[86.06060606 55.93939394] ; [33.93939394 22.06060606],0
u2,1,0.057426,3.610212,[35 48] ; [22 14],[39.75630252 43.24369748] ; [17.24369748 18.75630252],0
n5,1,0.058971,3.566104,[94 50] ; [29 28],[88.11940299 55.88059701] ; [34.88059701 22.11940299],0
d5,1,0.063491,3.443757,[90 54] ; [28 30],[84.11881188 59.88118812] ; [33.88118812 24.11881188],0
a1,1,0.08858,2.9,[  3 142] ; [ 4 54],[  5. 140.] ; [ 2. 56.],0
p9,1,0.128669,2.308486,[99 42] ; [33 23],[94.47715736 46.52284264] ; [37.52284264 18.47715736],0
d3,1,0.134574,2.238931,[80 64] ; [25 32],[75.2238806 68.7761194] ; [29.7761194 27.2238806],0
v2,1,0.178372,1.811137,[57 83] ; [16 37],[52.95336788 87.04663212] ; [20.04663212 32.95336788],0
a8,1,0.199245,1.647902,[ 15 119] ; [ 3 54],[ 12.62827225 121.37172775] ; [ 5.37172775 51.62827225],0
p8,1,0.201616,1.630628,[55 89] ; [16 40],[51.12 92.88] ; [19.88 36.12],0
s1,1,0.270513,1.214142,[  5 137] ; [ 4 52],[  6.45454545 135.54545455] ; [ 2.54545455 53.45454545],0
s2,1,0.271977,1.206748,[46 98] ; [14 44],[ 42.77227723 101.22772277] ; [17.22772277 40.77227723],0
s5,1,0.287467,1.131447,[ 32 110] ; [ 9 48],[ 29.25628141 112.74371859] ; [11.74371859 45.25628141],0
p5,1,0.341587,0.904465,[ 10 134] ; [ 2 56],[  8.55445545 135.44554455] ; [ 3.44554455 54.55445545],0
p7,1,0.442904,0.588746,[76 64] ; [26 28],[73.60824742 66.39175258] ; [28.39175258 25.60824742],0
n1,1,0.448111,0.575425,[12 27] ; [10 15],[13.40625 25.59375] ; [ 8.59375 16.40625],0
d1,1,0.486916,0.483333,[ 42 103] ; [14 44],[ 40. 105.] ; [16. 42.],0
v1,1,0.497717,0.4598,[55 88] ; [19 38],[52.91 90.09] ; [21.09 35.91],0
a4,1,0.534877,0.385117,[ 25 119] ; [ 8 50],[ 23.52475248 120.47524752] ; [ 9.47524752 48.52475248],0
s7,1,0.560045,0.339626,[ 28 112] ; [ 9 46],[ 26.56410256 113.43589744] ; [10.43589744 44.56410256],0
u1,1,0.566791,0.328081,[  3 142] ; [ 2 56],[  3.57142857 141.42857143] ; [ 1.42857143 56.57142857],0
a3,1,0.572772,0.318066,[60 82] ; [22 36],[58.22 83.78] ; [23.78 34.22],0
r1,1,0.589296,0.291446,[86 59] ; [32 26],[84.28571429 60.71428571] ; [33.71428571 24.28571429],0
s3,1,0.656913,0.197296,[57 84] ; [25 32],[58.39393939 82.60606061] ; [23.60606061 33.39393939],0
n3,1,0.66369,0.189072,[27 12] ; [16  9],[26.203125 12.796875] ; [16.796875  8.203125],0
p6,1,0.672074,0.179186,[ 38 105] ; [13 42],[ 36.83333333 106.16666667] ; [14.16666667 40.83333333],0
b4,1,0.679793,0.170358,[92 53] ; [35 23],[90.71428571 54.28571429] ; [36.28571429 21.71428571],0
b3,1,0.694372,0.154393,[19 56] ; [ 9 22],[19.81132075 55.18867925] ; [ 8.18867925 22.81132075],0
b2,1,0.694372,0.154393,[19 56] ; [ 9 22],[19.81132075 55.18867925] ; [ 8.18867925 22.81132075],0
u3,1,0.749394,0.102041,[40 44] ; [16 20],[39.2 44.8] ; [16.8 19.2],0
s4,1,0.759568,0.093665,[ 22 120] ; [10 48],[ 22.72 119.28] ; [ 9.28 48.72],0
b5,1,0.785666,0.073953,[88 57] ; [34 24],[87.14285714 57.85714286] ; [34.85714286 23.14285714],0
d2,1,0.811303,0.057,[ 32 112] ; [12 46],[ 31.36633663 112.63366337] ; [12.63366337 45.36633663],0
d4,1,0.849326,0.036092,[93 51] ; [36 21],[92.41791045 51.58208955] ; [36.58208955 20.41791045],0
n2,1,0.85551,0.033158,[25 13] ; [17  8],[25.33333333 12.66666667] ; [16.66666667  8.33333333],0
p1,1,0.874892,0.02479,[  9 134] ; [ 4 54],[  9.24875622 133.75124378] ; [ 3.75124378 54.24875622],0
