Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,49.407648,[29 43] ; [112  16],[50.76 21.24] ; [90.24 37.76],1
r2,1,0.0,26.250549,[46 24] ; [120   8],[58.68686869 11.31313131] ; [107.31313131  20.68686869],1
v4,1,0.000129,14.65076,[50 22] ; [116  12],[59.76 12.24] ; [106.24  21.76],1
r3,1,0.000268,13.284906,[50 21] ; [115  12],[59.16666667 11.83333333] ; [105.83333333  21.16666667],1
v2,1,0.001574,9.989669,[20 50] ; [64 59],[30.46632124 39.53367876] ; [53.53367876 69.46632124],0
a6,1,0.003071,8.764731,[38 34] ; [94 34],[47.52 24.48] ; [84.48 43.52],0
u3,1,0.00617,7.5,[10 22] ; [30 18],[16. 16.] ; [24. 24.],0
d4,1,0.007141,7.237191,[46 26] ; [103  24],[53.90954774 18.09045226] ; [95.09045226 31.90954774],0
a7,1,0.012751,6.203279,[39 33] ; [91 36],[47.03517588 24.96482412] ; [82.96482412 44.03517588],0
a5,1,0.013146,6.14933,[38 34] ; [90 38],[46.08 25.92] ; [81.92 46.08],0
d3,1,0.013672,6.080006,[35 37] ; [85 43],[43.2 28.8] ; [76.8 51.2],0
a2,1,0.014398,5.988661,[ 6 66] ; [ 28 100],[12.24 59.76] ; [ 21.76 106.24],0
s6,1,0.016214,5.779533,[17 55] ; [51 75],[24.72727273 47.27272727] ; [43.27272727 82.72727273],0
s8,1,0.018476,5.55047,[ 6 66] ; [ 27 100],[11.93969849 60.06030151] ; [ 21.06030151 105.93969849],0
v1,1,0.02495,5.027374,[19 51] ; [55 72],[26.29441624 43.70558376] ; [47.70558376 79.29441624],0
u2,1,0.028015,4.827153,[10 22] ; [27 21],[14.8 17.2] ; [22.2 25.8],0
d5,1,0.040805,4.184082,[46 26] ; [99 29],[52.2 19.8] ; [92.8 35.2],0
p2,1,0.043625,4.071024,[35 37] ; [81 47],[41.76 30.24] ; [74.24 53.76],0
p1,1,0.045877,3.986089,[ 9 63] ; [  6 121],[ 5.42713568 66.57286432] ; [  9.57286432 117.42713568],0
d1,1,0.109819,2.556818,[27 45] ; [63 65],[32.4 39.6] ; [57.6 70.4],0
p8,1,0.163513,1.94143,[12 60] ; [32 95],[15.91959799 56.08040201] ; [28.08040201 98.91959799],0
p10,1,0.174162,1.846747,[36 34] ; [78 49],[40.50761421 29.49238579] ; [73.49238579 53.50761421],0
p4,1,0.181337,1.786633,[21 51] ; [49 78],[25.32663317 46.67336683] ; [44.67336683 82.32663317],0
p11,1,0.223543,1.481481,[41 31] ; [84 44],[45. 27.] ; [80. 48.],0
b4,1,0.236434,1.401733,[40 32] ; [82 46],[43.92 28.08] ; [78.08 49.92],0
a1,1,0.257785,1.280615,[ 7 65] ; [  7 121],[ 5.04 66.96] ; [  8.96 119.04],0
s4,1,0.26503,1.242289,[10 62] ; [ 11 114],[ 7.6751269 64.3248731] ; [ 13.3248731 111.6751269],0
b1,1,0.297259,1.086451,[33 39] ; [49 79],[29.52 42.48] ; [52.48 75.52],0
a3,1,0.30287,1.061516,[40 32] ; [80 47],[43.41708543 28.58291457] ; [76.58291457 50.41708543],0
a4,1,0.319663,0.990323,[27 44] ; [58 70],[30.32663317 40.67336683] ; [54.67336683 73.32663317],0
p12,1,0.32359,0.974379,[ 1 70] ; [  5 123],[ 2.14070352 68.85929648] ; [  3.85929648 124.14070352],0
b2,1,0.326422,0.963042,[19 23] ; [27 48],[16.51282051 25.48717949] ; [29.48717949 45.51282051],0
b3,1,0.326422,0.963042,[19 23] ; [27 48],[16.51282051 25.48717949] ; [29.48717949 45.51282051],0
n4,1,0.327449,0.958962,[44 28] ; [87 41],[47.16 24.84] ; [83.84 44.16],0
n6,1,0.345938,0.888302,[50 22] ; [96 31],[52.8241206 19.1758794] ; [93.1758794 33.8241206],0
s5,1,0.360296,0.836861,[ 9 61] ; [ 22 101],[11.24352332 58.75647668] ; [ 19.75647668 103.24352332],0
u1,1,0.366012,0.81716,[ 6 66] ; [ 16 112],[ 7.92 64.08] ; [ 14.08 113.92],0
s2,1,0.367888,0.810785,[10 62] ; [ 12 112],[ 8.08163265 63.91836735] ; [ 13.91836735 110.08163265],0
p3,1,0.37018,0.803062,[14 58] ; [32 96],[16.56 55.44] ; [29.44 98.56],0
v3,1,0.406369,0.689398,[18 54] ; [37 84],[20.51813472 51.48186528] ; [34.48186528 86.51813472],0
s1,1,0.501734,0.451267,[ 2 70] ; [  6 121],[ 2.89447236 69.10552764] ; [  5.10552764 121.89447236],0
p5,1,0.589149,0.291675,[ 4 68] ; [  5 123],[ 3.24 68.76] ; [  5.76 122.24],0
