Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1.4e-05,18.80226,[409  83] ; [3 7],[403.79282869  88.20717131] ; [8.20717131 1.79282869],1
r1,1,0.011434,6.39661,[428  62] ; [6 4],[425.32  64.68] ; [8.68 1.32],0
p10,1,0.012782,6.198979,[426  63] ; [6 4],[423.34268537  65.65731463] ; [8.65731463 1.34268537],0
v2,1,0.046888,3.949418,[280 196] ; [9 1],[283.05349794 192.94650206] ; [5.94650206 4.05349794],0
s8,1,0.048313,3.899066,[252 237] ; [2 8],[248.90981964 240.09018036] ; [5.09018036 4.90981964],0
p9,1,0.071527,3.247627,[434  56] ; [7 3],[432.18  57.82] ; [8.82 1.18],0
n6,1,0.076826,3.130798,[433  57] ; [7 3],[431.2  58.8] ; [8.8 1.2],0
n5,1,0.086469,2.93892,[400  91] ; [6 4],[397.89620758  93.10379242] ; [8.10379242 1.89620758],0
s2,1,0.089798,2.877988,[277 210] ; [3 7],[274.36619718 212.63380282] ; [5.63380282 4.36619718],0
u3,1,0.097561,2.744974,[83 44] ; [1 3],[81.4351145 45.5648855] ; [2.5648855 1.4351145],0
r2,1,0.138082,2.1992,[477  12] ; [9 1],[476.26052104  12.73947896] ; [9.73947896 0.26052104],0
b1,1,0.161263,1.962347,[188 304] ; [6 4],[190.13545817 301.86454183] ; [3.86454183 6.13545817],0
d5,1,0.17841,1.81082,[419  72] ; [7 3],[417.49700599  73.50299401] ; [8.50299401 1.49700599],0
a6,1,0.180761,1.791357,[343 149] ; [5 5],[341.06772908 150.93227092] ; [6.93227092 3.06772908],0
a7,1,0.215669,1.532957,[377 114] ; [6 4],[375.35528942 115.64471058] ; [7.64471058 2.35528942],0
a4,1,0.234528,1.41319,[240 250] ; [3 7],[238.14 251.86] ; [4.86 5.14],0
n4,1,0.267316,1.230468,[409  82] ; [7 3],[407.69660679  83.30339321] ; [8.30339321 1.69660679],0
p2,1,0.286969,1.133787,[442  48] ; [8 2],[441.  49.] ; [9. 1.],0
s4,1,0.287041,1.133448,[ 83 402] ; [3 7],[ 84.26262626 400.73737374] ; [1.73737374 8.26262626],0
s5,1,0.291956,1.110578,[187 286] ; [2 7],[185.47095436 287.52904564] ; [3.52904564 5.47095436],0
d1,1,0.296327,1.090651,[324 168] ; [5 5],[322.44621514 169.55378486] ; [6.55378486 3.44621514],0
s7,1,0.296348,1.090555,[263 202] ; [4 6],[261.37894737 203.62105263] ; [5.62105263 4.37894737],0
p7,1,0.314305,1.0125,[361 126] ; [6 4],[359.61569416 127.38430584] ; [7.38430584 2.61569416],0
a3,1,0.322175,0.980095,[363 128] ; [6 4],[361.63473054 129.36526946] ; [7.36526946 2.63473054],0
p8,1,0.334577,0.9311,[316 172] ; [5 5],[314.55421687 173.44578313] ; [6.44578313 3.55421687],0
s6,1,0.34169,0.904081,[362 120] ; [8 1],[363.21792261 118.78207739] ; [6.78207739 2.21792261],0
v1,1,0.485833,0.485742,[291 187] ; [5 5],[289.93442623 188.06557377] ; [6.06557377 3.93442623],0
a8,1,0.487614,0.481786,[ 62 379] ; [2 7],[ 62.72 378.28] ; [1.28 7.72],0
p6,1,0.502164,0.45036,[240 247] ; [6 4],[241.05030181 245.94969819] ; [4.94969819 5.05030181],0
a5,1,0.520856,0.412198,[386 106] ; [7 3],[385.17131474 106.82868526] ; [7.82868526 2.17131474],0
p5,1,0.567693,0.326557,[ 82 406] ; [1 9],[ 81.33333333 406.66666667] ; [1.66666667 8.33333333],0
a2,1,0.610266,0.259788,[134 358] ; [2 8],[133.29083665 358.70916335] ; [2.70916335 7.29083665],0
u2,1,0.644722,0.21262,[78 49] ; [2 2],[77.55725191 49.44274809] ; [2.44274809 1.55725191],0
d2,1,0.695508,0.153188,[264 227] ; [6 4],[264.61077844 226.38922156] ; [5.38922156 4.61077844],0
d4,1,0.696238,0.152415,[415  76] ; [8 2],[414.55688623  76.44311377] ; [8.44311377 1.55688623],0
n1,1,0.748822,0.102523,[33 52] ; [1 1],[33.2183908 51.7816092] ; [0.7816092 1.2183908],0
d3,1,0.753112,0.098934,[366 126] ; [7 3],[365.56972112 126.43027888] ; [7.43027888 2.56972112],0
b2,1,0.771532,0.084316,[123 191] ; [2 4],[122.65625 191.34375] ; [2.34375 3.65625],0
b3,1,0.771532,0.084316,[123 191] ; [2 4],[122.65625 191.34375] ; [2.34375 3.65625],0
b5,1,0.915704,0.011203,[287 205] ; [6 4],[287.16334661 204.83665339] ; [5.83665339 4.16334661],0
p3,1,0.915855,0.011163,[336 155] ; [7 3],[336.15369261 154.84630739] ; [6.84630739 3.15369261],0
p1,1,0.916968,0.010869,[ 54 435] ; [1 9],[ 53.89779559 435.10220441] ; [1.10220441 8.89779559],0
b4,1,0.966932,0.001719,[292 200] ; [6 4],[292.06374502 199.93625498] ; [5.93625498 4.06374502],0
v3,1,0.980807,0.000579,[207 263] ; [4 5],[207.03549061 262.96450939] ; [3.96450939 5.03549061],0
s3,1,0.993709,6.2e-05,[291 195] ; [6 4],[291.01209677 194.98790323] ; [5.98790323 4.01209677],0
p12,1,0.998303,5e-06,[ 49 442] ; [1 9],[ 49.00199601 441.99800399] ; [0.99800399 9.00199601],0
