Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7.4e-05,15.699066,[24 25] ; [16 76],[13.90070922 35.09929078] ; [26.09929078 65.90070922],1
s8,1,0.00033,12.893681,[12 37] ; [ 4 88],[ 5.56028369 43.43971631] ; [10.43971631 81.56028369],1
s6,1,0.004695,7.993287,[26 22] ; [27 64],[18.30215827 29.69784173] ; [34.69784173 56.30215827],0
b4,1,0.014196,6.013573,[34 15] ; [44 48],[27.10638298 21.89361702] ; [50.89361702 41.10638298],0
a8,1,0.017303,5.665376,[ 8 39] ; [ 4 82],[ 4.2406015 42.7593985] ; [ 7.7593985 78.2406015],0
r4,1,0.018925,5.508415,[32 17] ; [41 51],[25.36879433 23.63120567] ; [47.63120567 44.36879433],0
v1,1,0.020619,5.358692,[22 25] ; [25 67],[15.89208633 31.10791367] ; [31.10791367 60.89208633],0
r3,1,0.076346,3.141026,[42  7] ; [66 25],[37.8 11.2] ; [70.2 20.8],0
p2,1,0.079291,3.079367,[35 13] ; [52 38],[30.26086957 17.73913043] ; [56.73913043 33.26086957],0
p12,1,0.096461,2.763108,[ 4 45] ; [ 2 89],[ 2.1 46.9] ; [ 3.9 87.1],0
p10,1,0.107996,2.583306,[34 14] ; [50 38],[29.64705882 18.35294118] ; [54.35294118 33.64705882],0
s5,1,0.12381,2.368449,[10 35] ; [11 80],[ 6.94852941 38.05147059] ; [14.05147059 76.94852941],0
b2,1,0.129815,2.294721,[ 6 22] ; [18 29],[ 8.96 19.04] ; [15.04 31.96],0
b3,1,0.129815,2.294721,[ 6 22] ; [18 29],[ 8.96 19.04] ; [15.04 31.96],0
b1,1,0.16603,1.918425,[18 31] ; [45 47],[21.89361702 27.10638298] ; [41.10638298 50.89361702],0
p9,1,0.166052,1.918229,[38 11] ; [59 30],[34.44202899 14.55797101] ; [62.55797101 26.44202899],0
d4,1,0.170539,1.878197,[35 14] ; [55 37],[31.27659574 17.72340426] ; [58.72340426 33.27659574],0
p3,1,0.174372,1.844946,[18 30] ; [24 67],[14.50359712 33.49640288] ; [27.49640288 63.50359712],0
n3,1,0.321553,0.98262,[8 3] ; [19 15],[6.6 4.4] ; [20.4 13.6],0
