Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.216505,[40 36] ; [ 8 53],[26.62773723 49.37226277] ; [21.37226277 39.62773723],1
s7,1,1e-05,19.421952,[43 31] ; [11 45],[30.73846154 43.26153846] ; [23.26153846 32.73846154],1
s2,1,5.9e-05,16.139365,[37 38] ; [10 51],[25.91911765 49.08088235] ; [21.08088235 39.91911765],1
p10,1,0.000147,14.41035,[64  9] ; [36 25],[54.47761194 18.52238806] ; [45.52238806 15.47761194],1
s3,1,0.000343,12.819664,[47 28] ; [19 41],[36.66666667 38.33333333] ; [29.33333333 30.66666667],1
s5,1,0.00075,11.361137,[24 51] ; [ 5 56],[15.99264706 59.00735294] ; [13.00735294 47.99264706],1
r1,1,0.000773,11.304859,[58 16] ; [31 30],[48.78518519 25.21481481] ; [40.21481481 20.78518519],1
p9,1,0.000877,11.070608,[66  9] ; [39 22],[57.90441176 17.09558824] ; [47.09558824 13.90441176],1
r4,1,0.018341,5.563281,[66 10] ; [43 18],[60.46715328 15.53284672] ; [48.53284672 12.46715328],0
n5,1,0.036275,4.384152,[60 15] ; [39 22],[54.59558824 20.40441176] ; [44.40441176 16.59558824],0
r2,1,0.040747,4.186521,[70  5] ; [50 11],[66.17647059  8.82352941] ; [53.82352941  7.17647059],0
a5,1,0.05792,3.595978,[46 30] ; [27 34],[40.49635036 35.50364964] ; [32.50364964 28.49635036],0
d5,1,0.060168,3.532756,[44 32] ; [25 35],[38.55882353 37.44117647] ; [30.44117647 29.55882353],0
u3,1,0.060341,3.527985,[18 16] ; [10 23],[14.20895522 19.79104478] ; [13.79104478 19.20895522],0
r3,1,0.062225,3.477067,[71  5] ; [50 10],[67.61764706  8.38235294] ; [53.38235294  6.61764706],0
n4,1,0.085729,2.952789,[58 17] ; [39 22],[53.49264706 21.50735294] ; [43.50735294 17.49264706],0
s4,1,0.088631,2.899068,[17 58] ; [ 7 54],[13.23529412 61.76470588] ; [10.76470588 50.23529412],0
b2,1,0.134775,2.236629,[ 9 39] ; [11 22],[11.85185185 36.14814815] ; [ 8.14814815 24.85185185],0
b3,1,0.134775,2.236629,[ 9 39] ; [11 22],[11.85185185 36.14814815] ; [ 8.14814815 24.85185185],0
p6,1,0.148249,2.090179,[20 55] ; [23 37],[23.88888889 51.11111111] ; [19.11111111 40.88888889],0
u2,1,0.176747,1.824767,[19 15] ; [13 20],[16.23880597 17.76119403] ; [15.76119403 17.23880597],0
p1,1,0.205008,1.606332,[ 7 69] ; [10 51],[ 9.43065693 66.56934307] ; [ 7.56934307 53.43065693],0
a6,1,0.20671,1.594321,[48 28] ; [32 29],[44.37956204 31.62043796] ; [35.62043796 25.37956204],0
a8,1,0.206911,1.592907,[10 59] ; [ 4 51],[ 7.79032258 61.20967742] ; [ 6.20967742 48.79032258],0
b5,1,0.221115,1.497119,[42 34] ; [40 21],[45.48905109 30.51094891] ; [36.51094891 24.48905109],0
p5,1,0.221381,1.495397,[ 8 67] ; [ 3 58],[ 6.06617647 68.93382353] ; [ 4.93382353 56.06617647],0
b1,1,0.241735,1.370445,[25 51] ; [26 35],[28.2919708 47.7080292] ; [22.7080292 38.2919708],0
u1,1,0.260948,1.263723,[ 4 72] ; [ 1 60],[ 2.77372263 73.22627737] ; [ 2.22627737 58.77372263],0
a3,1,0.275973,1.186817,[42 34] ; [28 33],[38.83211679 37.16788321] ; [31.16788321 29.83211679],0
v3,1,0.291886,1.110904,[23 51] ; [14 47],[20.28148148 53.71851852] ; [16.71851852 44.28148148],0
b4,1,0.368641,0.808241,[42 34] ; [29 32],[39.38686131 36.61313869] ; [31.61313869 29.38686131],0
a7,1,0.372496,0.795322,[50 26] ; [35 25],[47.5 28.5] ; [37.5 22.5],0
p4,1,0.408312,0.68371,[44 32] ; [31 30],[41.60583942 34.39416058] ; [33.39416058 27.60583942],0
n2,1,0.414335,0.666329,[17  4] ; [14  6],[15.87804878  5.12195122] ; [15.12195122  4.87804878],0
v2,1,0.430394,0.621761,[33 39] ; [23 36],[30.77862595 41.22137405] ; [25.22137405 33.77862595],0
n3,1,0.476782,0.506214,[16  5] ; [17  3],[16.90243902  4.09756098] ; [16.09756098  3.90243902],0
v4,1,0.487453,0.482143,[71  4] ; [55  5],[70.  5.] ; [56.  4.],0
p3,1,0.579169,0.307581,[34 42] ; [24 36],[32.41176471 43.58823529] ; [25.58823529 34.41176471],0
p11,1,0.599408,0.27589,[59 17] ; [45 16],[57.69343066 18.30656934] ; [46.30656934 14.69343066],0
d3,1,0.611408,0.25813,[25 51] ; [17 42],[23.64444444 52.35555556] ; [18.35555556 40.64444444],0
v1,1,0.623281,0.241283,[33 40] ; [25 36],[31.59701493 41.40298507] ; [26.40298507 34.59701493],0
a4,1,0.652507,0.202754,[16 59] ; [15 46],[17.09558824 57.90441176] ; [13.90441176 47.09558824],0
d1,1,0.782606,0.076134,[ 3 73] ; [ 3 58],[ 3.32846715 72.67153285] ; [ 2.67153285 58.32846715],0
p12,1,0.795416,0.067228,[ 3 72] ; [ 3 58],[ 3.30882353 71.69117647] ; [ 2.69117647 58.30882353],0
p8,1,0.829244,0.046514,[37 38] ; [28 31],[36.38059701 38.61940299] ; [28.61940299 30.38059701],0
a2,1,0.834751,0.043519,[ 7 69] ; [ 5 56],[ 6.65693431 69.34306569] ; [ 5.34306569 55.65693431],0
n6,1,0.842147,0.03966,[60 16] ; [49 12],[60.46715328 15.53284672] ; [48.53284672 12.46715328],0
a1,1,0.875302,0.024626,[ 1 75] ; [ 1 60],[ 1.10948905 74.89051095] ; [ 0.89051095 60.10948905],0
s1,1,0.881011,0.022406,[ 1 73] ; [ 1 59],[ 1.10447761 72.89552239] ; [ 0.89552239 59.10447761],0
n1,1,0.910434,0.012654,[ 7 14] ; [ 7 13],[ 7.17073171 13.82926829] ; [ 6.82926829 13.17073171],0
d2,1,0.935467,0.006556,[17 59] ; [14 47],[17.19708029 58.80291971] ; [13.80291971 47.19708029],0
p7,1,0.936201,0.006407,[48 27] ; [38 22],[47.77777778 27.22222222] ; [38.22222222 21.77777778],0
