Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,38.639046,[101  10] ; [17 22],[87.32 23.68] ; [30.68  8.32],1
p11,1,0.000348,12.794682,[90 22] ; [21 20],[81.25490196 30.74509804] ; [29.74509804 11.25490196],1
p2,1,0.000348,12.794682,[90 22] ; [21 20],[81.25490196 30.74509804] ; [29.74509804 11.25490196],1
b1,1,0.023923,5.100202,[28 84] ; [18 23],[33.67320261 78.32679739] ; [12.32679739 28.67320261],0
s2,1,0.024218,5.078959,[64 48] ; [15 26],[57.83006536 54.16993464] ; [21.16993464 19.83006536],0
r3,1,0.027273,4.873464,[107   5] ; [34  6],[103.89473684   8.10526316] ; [37.10526316  2.89473684],0
v2,1,0.027898,4.83437,[88 22] ; [25 15],[82.86666667 27.13333333] ; [30.13333333  9.86666667],0
p7,1,0.041855,4.141055,[56 51] ; [13 26],[50.56849315 56.43150685] ; [18.43150685 20.56849315],0
v4,1,0.046388,3.967452,[107   4] ; [36  5],[104.42763158   6.57236842] ; [38.57236842  2.42763158],0
r4,1,0.048686,3.886139,[101  11] ; [32  9],[97.35947712 14.64052288] ; [35.64052288  5.35947712],0
a2,1,0.065064,3.403366,[20 92] ; [13 28],[24.15686275 87.84313725] ; [ 8.84313725 32.15686275],0
b2,1,0.078945,3.086485,[27 36] ; [ 6 20],[23.35955056 39.64044944] ; [ 9.64044944 16.35955056],0
b3,1,0.078945,3.086485,[27 36] ; [ 6 20],[23.35955056 39.64044944] ; [ 9.64044944 16.35955056],0
p8,1,0.090297,2.869077,[51 59] ; [12 27],[46.51006711 63.48993289] ; [16.48993289 22.51006711],0
r1,1,0.131047,2.280056,[91 20] ; [29 12],[87.63157895 23.36842105] ; [32.36842105  8.63157895],0
a1,1,0.146997,2.103138,[  6 106] ; [ 5 36],[  8.05228758 103.94771242] ; [ 2.94771242 38.05228758],0
n6,1,0.147166,2.10138,[95 16] ; [31 10],[92.01315789 18.98684211] ; [33.98684211  7.01315789],0
s6,1,0.15544,2.018036,[74 34] ; [23 18],[70.30872483 37.69127517] ; [26.69127517 14.30872483],0
n5,1,0.182714,1.775409,[85 26] ; [27 14],[81.78947368 29.21052632] ; [30.21052632 10.78947368],0
a5,1,0.217144,1.523146,[80 32] ; [25 16],[76.8627451 35.1372549] ; [28.1372549 12.8627451],0
a6,1,0.21923,1.509405,[70 42] ; [30 11],[73.20261438 38.79738562] ; [26.79738562 14.20261438],0
s3,1,0.267536,1.229338,[61 47] ; [18 21],[58.04081633 49.95918367] ; [20.95918367 18.04081633],0
s4,1,0.301553,1.067313,[15 97] ; [ 3 38],[13.17647059 98.82352941] ; [ 4.82352941 36.17647059],0
a4,1,0.30754,1.041213,[47 65] ; [21 20],[49.77777778 62.22222222] ; [18.22222222 22.77777778],0
d2,1,0.336992,0.921842,[54 57] ; [23 17],[56.60264901 54.39735099] ; [20.39735099 19.60264901],0
s8,1,0.337696,0.919159,[53 58] ; [16 25],[50.38815789 60.61184211] ; [18.61184211 22.38815789],0
r2,1,0.338291,0.916898,[103   7] ; [40  1],[104.17218543   5.82781457] ; [38.82781457  2.17218543],0
a8,1,0.339491,0.912353,[12 87] ; [ 7 31],[13.72992701 85.27007299] ; [ 5.27007299 32.72992701],0
d1,1,0.375082,0.78676,[69 43] ; [22 19],[66.61437908 45.38562092] ; [24.38562092 16.61437908],0
v1,1,0.387373,0.747174,[67 44] ; [21 19],[64.68874172 46.31125828] ; [23.31125828 16.68874172],0
b4,1,0.398133,0.713959,[71 41] ; [29 12],[73.20261438 38.79738562] ; [26.79738562 14.20261438],0
a7,1,0.422468,0.643438,[83 29] ; [27 13],[81.05263158 30.94736842] ; [28.94736842 11.05263158],0
s7,1,0.447364,0.577322,[53 54] ; [17 23],[50.95238095 56.04761905] ; [19.04761905 20.95238095],0
p5,1,0.503057,0.448481,[  9 103] ; [ 2 39],[  8.05228758 103.94771242] ; [ 2.94771242 38.05228758],0
s5,1,0.535483,0.383976,[34 76] ; [10 29],[32.48322148 77.51677852] ; [11.51677852 27.48322148],0
u1,1,0.565545,0.330194,[15 97] ; [ 7 34],[16.10457516 95.89542484] ; [ 5.89542484 35.10457516],0
d4,1,0.571122,0.320809,[94 18] ; [32  8],[92.84210526 19.15789474] ; [33.15789474  6.84210526],0
s1,1,0.571847,0.319602,[  5 105] ; [ 1 39],[  4.4 105.6] ; [ 1.6 38.4],0
a3,1,0.625823,0.237768,[81 31] ; [28 13],[79.79084967 32.20915033] ; [29.20915033 11.79084967],0
p1,1,0.648148,0.208243,[  6 106] ; [ 3 38],[  6.58823529 105.41176471] ; [ 2.41176471 38.58823529],0
n1,1,0.665706,0.186667,[ 8 22] ; [4 8],[ 8.57142857 21.42857143] ; [3.42857143 8.57142857],0
n4,1,0.696485,0.152155,[84 28] ; [32  9],[84.91503268 27.08496732] ; [31.08496732  9.91503268],0
b5,1,0.76118,0.092375,[68 44] ; [26 15],[68.81045752 43.18954248] ; [25.18954248 15.81045752],0
n3,1,0.763406,0.090608,[20 11] ; [9 4],[20.43181818 10.56818182] ; [8.56818182 4.43181818],0
u4,1,0.796297,0.066638,[  2 110] ; [ 1 40],[  2.19607843 109.80392157] ; [ 0.80392157 40.19607843],0
p4,1,0.812041,0.056546,[44 67] ; [15 25],[43.37086093 67.62913907] ; [15.62913907 24.37086093],0
u2,1,0.830676,0.045725,[18 13] ; [8 5],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
d5,1,0.889053,0.019461,[89 23] ; [33  8],[89.30718954 22.69281046] ; [32.69281046  8.30718954],0
n2,1,0.922934,0.009358,[21  9] ; [10  4],[21.13636364  8.86363636] ; [9.86363636 4.13636364],0
d3,1,0.932783,0.007114,[80 32] ; [29 12],[79.79084967 32.20915033] ; [29.20915033 11.79084967],0
p6,1,0.954458,0.003262,[27 83] ; [10 30],[27.13333333 82.86666667] ; [ 9.86666667 30.13333333],0
u3,1,0.975298,0.000959,[16 14] ; [7 6],[16.04651163 13.95348837] ; [6.95348837 6.04651163],0
