Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,26.769605,[ 2 10] ; [57  9],[9.07692308 2.92307692] ; [49.92307692 16.07692308],1
b1,1,0.017059,5.690265,[3 9] ; [41 25],[6.76923077 5.23076923] ; [37.23076923 28.76923077],0
s4,1,0.021691,5.270442,[5 7] ; [ 9 56],[2.18181818 9.81818182] ; [11.81818182 53.18181818],0
a5,1,0.024508,5.058291,[5 7] ; [49 17],[8.30769231 3.69230769] ; [45.69230769 20.30769231],0
r1,1,0.035656,4.41348,[6 6] ; [52 14],[8.92307692 3.07692308] ; [49.07692308 16.92307692],0
a4,1,0.050644,3.820018,[ 2 10] ; [31 35],[5.07692308 6.92307692] ; [27.92307692 38.07692308],0
p6,1,0.051177,3.802469,[ 1 10] ; [26 40],[3.85714286 7.14285714] ; [23.14285714 42.85714286],0
p10,1,0.097267,2.749796,[6 6] ; [48 17],[8.41558442 3.58441558] ; [45.58441558 19.41558442],0
p9,1,0.143606,2.138889,[6 5] ; [50 16],[8. 3.] ; [48. 18.],0
d4,1,0.152955,2.04253,[11  1] ; [47 18],[9.03896104 2.96103896] ; [48.96103896 16.03896104],0
s8,1,0.158014,1.993133,[3 9] ; [31 35],[5.23076923 6.76923077] ; [28.76923077 37.23076923],0
s2,1,0.17628,1.828708,[4 8] ; [36 30],[6.15384615 5.84615385] ; [33.84615385 32.15384615],0
d5,1,0.177236,1.820653,[7 5] ; [50 15],[8.88311688 3.11688312] ; [48.11688312 16.88311688],0
r2,1,0.204691,1.608586,[10  2] ; [62  4],[11.07692308  0.92307692] ; [60.92307692  5.07692308],0
p11,1,0.223295,1.483066,[6 6] ; [45 21],[7.84615385 4.15384615] ; [43.15384615 22.84615385],0
r3,1,0.238358,1.39028,[9 3] ; [58  8],[10.30769231  1.69230769] ; [56.69230769  9.30769231],0
d1,1,0.246411,1.343541,[4 8] ; [34 32],[5.84615385 6.15384615] ; [32.15384615 33.84615385],0
a2,1,0.297744,1.084271,[ 1 11] ; [14 52],[2.30769231 9.69230769] ; [12.69230769 53.30769231],0
n2,1,0.301409,1.067949,[3 2] ; [10  2],[3.82352941 1.17647059] ; [9.17647059 2.82352941],0
v4,1,0.310804,1.027254,[10  2] ; [61  5],[10.92307692  1.07692308] ; [60.07692308  5.92307692],0
r4,1,0.315567,1.007231,[9 3] ; [57  9],[10.15384615  1.84615385] ; [55.84615385 10.15384615],0
p4,1,0.329469,0.950983,[5 7] ; [37 28],[6.54545455 5.45454545] ; [35.45454545 29.54545455],0
s5,1,0.331165,0.944338,[5 7] ; [18 47],[3.58441558 8.41558442] ; [19.41558442 45.58441558],0
a3,1,0.331165,0.944338,[7 5] ; [47 18],[8.41558442 3.58441558] ; [45.58441558 19.41558442],0
s3,1,0.38154,0.765733,[5 7] ; [36 29],[6.38961039 5.61038961] ; [34.61038961 30.38961039],0
p2,1,0.392813,0.730218,[7 5] ; [46 19],[8.25974026 3.74025974] ; [44.74025974 20.25974026],0
n6,1,0.399746,0.709091,[9 3] ; [56 10],[10.  2.] ; [55. 11.],0
b5,1,0.429954,0.622949,[6 6] ; [41 25],[7.23076923 4.76923077] ; [39.76923077 26.23076923],0
p7,1,0.442317,0.590263,[8 4] ; [35 29],[6.78947368 5.21052632] ; [36.21052632 27.78947368],0
d3,1,0.446578,0.579323,[9 3] ; [42 24],[7.84615385 4.15384615] ; [43.15384615 22.84615385],0
b4,1,0.468793,0.524821,[5 7] ; [35 31],[6.15384615 5.84615385] ; [33.84615385 32.15384615],0
u3,1,0.477197,0.505263,[4 1] ; [12  7],[3.33333333 1.66666667] ; [12.66666667  6.33333333],0
n3,1,0.51276,0.42843,[4 1] ; [7 4],[3.4375 1.5625] ; [7.5625 3.4375],0
a7,1,0.621805,0.243339,[8 4] ; [39 27],[7.23076923 4.76923077] ; [39.76923077 26.23076923],0
a6,1,0.650612,0.20513,[7 5] ; [43 23],[7.69230769 4.30769231] ; [42.30769231 23.69230769],0
s7,1,0.715064,0.133271,[6 6] ; [34 27],[6.57534247 5.42465753] ; [33.42465753 27.57534247],0
d2,1,0.734634,0.114899,[5 7] ; [31 35],[5.53846154 6.46153846] ; [30.46153846 35.53846154],0
b2,1,0.76414,0.090029,[3 4] ; [17 29],[2.64150943 4.35849057] ; [17.35849057 28.64150943],0
b3,1,0.76414,0.090029,[3 4] ; [17 29],[2.64150943 4.35849057] ; [17.35849057 28.64150943],0
s6,1,0.765649,0.088846,[9 3] ; [46 19],[8.57142857 3.42857143] ; [46.42857143 18.57142857],0
p1,1,0.781446,0.076971,[ 2 10] ; [ 9 57],[ 1.69230769 10.30769231] ; [ 9.30769231 56.69230769],0
u1,1,0.80645,0.060029,[ 2 10] ; [13 53],[2.30769231 9.69230769] ; [12.69230769 53.30769231],0
p8,1,0.808252,0.058895,[5 7] ; [30 36],[5.38461538 6.61538462] ; [29.61538462 36.38461538],0
v1,1,0.927731,0.008226,[7 5] ; [37 28],[6.85714286 5.14285714] ; [37.14285714 27.85714286],0
s1,1,0.939329,0.005793,[ 1 11] ; [ 5 60],[ 0.93506494 11.06493506] ; [ 5.06493506 59.93506494],0
p3,1,0.960944,0.002398,[6 6] ; [33 32],[6.07792208 5.92207792] ; [32.92207792 32.07792208],0
