Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.518519,[4 7] ; [92  7],[9.6 1.4] ; [86.4 12.6],1
r3,1,1.7e-05,18.460472,[7 4] ; [96  3],[10.3  0.7] ; [92.7  6.3],1
v4,1,9e-05,15.337691,[7 4] ; [95  4],[10.2  0.8] ; [91.8  7.2],1
b1,1,0.004998,7.880117,[8 3] ; [30 69],[3.8 7.2] ; [34.2 64.8],0
n6,1,0.011495,6.387108,[6 4] ; [88 11],[8.62385321 1.37614679] ; [85.37614679 13.62385321],0
d1,1,0.015562,5.851754,[2 9] ; [56 43],[5.8 5.2] ; [52.2 46.8],0
n3,1,0.029279,4.751107,[2 5] ; [17  6],[4.43333333 2.56666667] ; [14.56666667  8.43333333],0
p3,1,0.033992,4.495103,[3 8] ; [60 39],[6.3 4.7] ; [56.7 42.3],0
s1,1,0.05861,3.576288,[ 1 10] ; [ 1 97],[ 0.20183486 10.79816514] ; [ 1.79816514 96.20183486],0
a4,1,0.068499,3.318639,[2 9] ; [46 52],[4.8440367 6.1559633] ; [43.1559633 54.8440367],0
n4,1,0.072591,3.223443,[6 5] ; [78 21],[8.4 2.6] ; [75.6 23.4],0
n1,1,0.11273,2.515528,[1 6] ; [11 12],[2.8 4.2] ; [ 9.2 13.8],0
a6,1,0.12182,2.393764,[5 6] ; [68 31],[7.3 3.7] ; [65.7 33.3],0
d5,1,0.124423,2.36074,[7 4] ; [82 17],[8.9 2.1] ; [80.1 18.9],0
d2,1,0.127062,2.328042,[3 8] ; [51 48],[5.4 5.6] ; [48.6 50.4],0
n5,1,0.1357,2.226059,[6 5] ; [74 24],[8.0733945 2.9266055] ; [71.9266055 26.0733945],0
v2,1,0.136397,2.218144,[4 7] ; [58 39],[6.31481481 4.68518519] ; [55.68518519 41.31481481],0
p6,1,0.143706,2.137821,[3 8] ; [49 48],[5.2962963 5.7037037] ; [46.7037037 50.2962963],0
p7,1,0.170899,1.875038,[5 6] ; [65 33],[7.06422018 3.93577982] ; [62.93577982 35.06422018],0
n2,1,0.199165,1.648489,[3 4] ; [16  7],[4.43333333 2.56666667] ; [14.56666667  8.43333333],0
a7,1,0.207821,1.586538,[6 5] ; [72 27],[7.8 3.2] ; [70.2 28.8],0
u1,1,0.209312,1.576181,[ 1 10] ; [26 73],[2.7 8.3] ; [24.3 74.7],0
s2,1,0.209312,1.576181,[ 1 10] ; [26 73],[2.7 8.3] ; [24.3 74.7],0
a5,1,0.218236,1.515935,[7 4] ; [79 20],[8.6 2.4] ; [77.4 21.6],0
a3,1,0.263921,1.248074,[7 4] ; [77 21],[8.47706422 2.52293578] ; [75.52293578 22.47706422],0
s6,1,0.268178,1.22604,[5 6] ; [62 37],[6.7 4.3] ; [60.3 38.7],0
d3,1,0.306056,1.047619,[6 5] ; [69 30],[7.5 3.5] ; [67.5 31.5],0
b5,1,0.332234,0.940171,[5 6] ; [60 39],[6.5 4.5] ; [58.5 40.5],0
b3,1,0.36129,0.833404,[4 2] ; [35 39],[2.925 3.075] ; [36.075 37.925],0
b2,1,0.36129,0.833404,[4 2] ; [35 39],[2.925 3.075] ; [36.075 37.925],0
d4,1,0.373716,0.791273,[10  1] ; [79 20],[8.9 2.1] ; [80.1 18.9],0
p4,1,0.38185,0.764737,[6 5] ; [67 32],[7.3 3.7] ; [65.7 33.3],0
p11,1,0.427509,0.629582,[7 4] ; [74 25],[8.1 2.9] ; [72.9 26.1],0
a1,1,0.445525,0.582011,[ 1 10] ; [ 4 95],[ 0.5 10.5] ; [ 4.5 94.5],0
a2,1,0.516211,0.421456,[2 9] ; [27 72],[2.9 8.1] ; [26.1 72.9],0
u2,1,0.547435,0.361932,[3 1] ; [13  9],[2.46153846 1.53846154] ; [13.53846154  8.46153846],0
s4,1,0.580741,0.305038,[ 1 10] ; [15 83],[1.6146789 9.3853211] ; [14.3853211 83.6146789],0
p5,1,0.643321,0.214425,[2 9] ; [13 86],[1.5 9.5] ; [13.5 85.5],0
p10,1,0.653563,0.201438,[9 2] ; [85 13],[9.48623853 1.51376147] ; [84.51376147 13.48623853],0
u3,1,0.660343,0.193108,[3 1] ; [14  8],[2.61538462 1.38461538] ; [14.38461538  7.61538462],0
p1,1,0.696095,0.152566,[ 1 10] ; [ 6 93],[ 0.7 10.3] ; [ 6.3 92.7],0
a8,1,0.697498,0.151088,[ 1 10] ; [11 72],[1.40425532 9.59574468] ; [10.59574468 72.40425532],0
p8,1,0.701703,0.146706,[5 6] ; [50 47],[5.60185185 5.39814815] ; [49.39814815 47.60185185],0
r1,1,0.704541,0.143791,[8 3] ; [77 22],[8.5 2.5] ; [76.5 22.5],0
v1,1,0.706591,0.141706,[7 4] ; [56 41],[6.41666667 4.58333333] ; [56.58333333 40.41666667],0
p12,1,0.710696,0.137583,[ 1 10] ; [ 6 91],[ 0.71296296 10.28703704] ; [ 6.28703704 90.71296296],0
p9,1,0.729178,0.119868,[9 2] ; [84 14],[9.3853211 1.6146789] ; [83.6146789 14.3853211],0
s5,1,0.749986,0.101543,[4 7] ; [31 67],[3.53211009 7.46788991] ; [31.46788991 66.53211009],0
b4,1,0.848668,0.036412,[6 5] ; [51 48],[5.7 5.3] ; [51.3 47.7],0
p2,1,0.863579,0.029522,[9 2] ; [83 16],[9.2 1.8] ; [82.8 16.2],0
v3,1,0.901382,0.015355,[5 6] ; [46 51],[5.19444444 5.80555556] ; [45.80555556 51.19444444],0
s8,1,0.971931,0.001238,[6 5] ; [54 44],[6.05504587 4.94495413] ; [53.94495413 44.05504587],0
