Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.017819,5.613831,[ 1 10] ; [19 20],[4.4 6.6] ; [15.6 23.4],0
r1,1,0.033481,4.521003,[6 5] ; [33  6],[8.58 2.42] ; [30.42  8.58],0
d2,1,0.036078,4.393433,[2 9] ; [21 18],[5.06 5.94] ; [17.94 21.06],0
r4,1,0.059228,3.558868,[6 5] ; [32  7],[8.36 2.64] ; [29.64  9.36],0
d1,1,0.087827,2.913753,[3 8] ; [22 17],[5.5 5.5] ; [19.5 19.5],0
p6,1,0.104364,2.63756,[ 1 10] ; [13 25],[3.14285714 7.85714286] ; [10.85714286 27.14285714],0
n5,1,0.1468,2.105186,[5 6] ; [27 12],[7.04 3.96] ; [24.96 14.04],0
a7,1,0.1468,2.105186,[5 6] ; [27 12],[7.04 3.96] ; [24.96 14.04],0
a3,1,0.1468,2.105186,[5 6] ; [27 12],[7.04 3.96] ; [24.96 14.04],0
b4,1,0.1468,2.105186,[5 6] ; [27 12],[7.04 3.96] ; [24.96 14.04],0
r2,1,0.158716,1.986419,[9 2] ; [37  2],[10.12  0.88] ; [35.88  3.12],0
u2,1,0.17146,1.87013,[5 1] ; [6 6],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
u3,1,0.17146,1.87013,[5 1] ; [6 6],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
v1,1,0.183891,1.765894,[7 4] ; [16 23],[5.06 5.94] ; [17.94 21.06],0
a2,1,0.241892,1.369532,[ 1 10] ; [10 29],[2.42 8.58] ; [ 8.58 30.42],0
p8,1,0.262478,1.255641,[3 8] ; [18 21],[4.62 6.38] ; [16.38 22.62],0
s3,1,0.265956,1.237488,[9 2] ; [25 14],[7.48 3.52] ; [26.52 12.48],0
p4,1,0.305749,1.048951,[4 7] ; [21 18],[5.5 5.5] ; [19.5 19.5],0
b5,1,0.339807,0.911158,[5 6] ; [24 15],[6.38 4.62] ; [22.62 16.38],0
p2,1,0.363845,0.824576,[6 5] ; [27 12],[7.26 3.74] ; [25.74 13.26],0
d3,1,0.363845,0.824576,[6 5] ; [27 12],[7.26 3.74] ; [25.74 13.26],0
n4,1,0.37493,0.787258,[7 4] ; [30  9],[8.14 2.86] ; [28.86 10.14],0
v4,1,0.40171,0.7032,[8 2] ; [35  4],[8.7755102 1.2244898] ; [34.2244898  4.7755102],0
a6,1,0.406568,0.688813,[8 3] ; [23 16],[6.82 4.18] ; [24.18 14.82],0
p10,1,0.424987,0.636485,[6 5] ; [16 23],[4.84 6.16] ; [17.16 21.84],0
b2,1,0.454591,0.559181,[2 7] ; [11 20],[2.925 6.075] ; [10.075 20.925],0
b3,1,0.454591,0.559181,[2 7] ; [11 20],[2.925 6.075] ; [10.075 20.925],0
s8,1,0.467788,0.527197,[4 7] ; [19 20],[5.06 5.94] ; [17.94 21.06],0
r3,1,0.474988,0.510348,[9 2] ; [35  4],[9.68 1.32] ; [34.32  4.68],0
p11,1,0.49474,0.4662,[8 3] ; [24 15],[7.04 3.96] ; [24.96 14.04],0
n1,1,0.550985,0.355556,[3 1] ; [7 5],[2.5 1.5] ; [7.5 4.5],0
s2,1,0.563455,0.333757,[7 4] ; [21 18],[6.16 4.84] ; [21.84 17.16],0
a8,1,0.611974,0.25731,[ 1 10] ; [ 5 28],[1.5 9.5] ; [ 4.5 28.5],0
v2,1,0.622718,0.242066,[6 5] ; [18 21],[5.28 5.72] ; [18.72 20.28],0
d5,1,0.632652,0.228482,[8 3] ; [31  8],[8.58 2.42] ; [30.42  8.58],0
s4,1,0.663267,0.189579,[3 8] ; [ 8 30],[2.46938776 8.53061224] ; [ 8.53061224 29.46938776],0
p3,1,0.665664,0.186716,[3 8] ; [13 25],[3.59183673 7.40816327] ; [12.40816327 25.59183673],0
b1,1,0.66803,0.183916,[7 4] ; [22 17],[6.38 4.62] ; [22.62 16.38],0
d4,1,0.773522,0.082812,[8 3] ; [30  9],[8.36 2.64] ; [29.64  9.36],0
v3,1,0.780439,0.0777,[4 7] ; [16 23],[4.4 6.6] ; [15.6 23.4],0
a5,1,0.780439,0.0777,[7 4] ; [23 16],[6.6 4.4] ; [23.4 15.6],0
s5,1,0.784933,0.074472,[3 8] ; [12 26],[3.36734694 7.63265306] ; [11.63265306 26.36734694],0
p7,1,0.790566,0.07053,[6 5] ; [19 19],[5.6122449 5.3877551] ; [19.3877551 18.6122449],0
n3,1,0.838464,0.041558,[3 2] ; [6 5],[2.8125 2.1875] ; [6.1875 4.8125],0
s6,1,0.851364,0.03511,[7 4] ; [26 13],[7.26 3.74] ; [25.74 13.26],0
