Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,44.056583,[64  1] ; [18 24],[49.81308411 15.18691589] ; [32.18691589  9.81308411],1
d5,1,0.0,30.991791,[63  2] ; [22 20],[51.63551402 13.36448598] ; [33.36448598  8.63551402],1
d2,1,0.0,30.713274,[48 17] ; [ 8 34],[34.01869159 30.98130841] ; [21.98130841 20.01869159],1
d3,1,0.0,29.028503,[59  6] ; [18 24],[46.77570093 18.22429907] ; [30.22429907 11.77570093],1
a5,1,7e-06,20.32427,[58  7] ; [21 21],[47.99065421 17.00934579] ; [31.00934579 10.99065421],1
p4,1,1.3e-05,19.016588,[53 12] ; [17 25],[42.52336449 22.47663551] ; [27.47663551 14.52336449],1
p6,1,4.2e-05,16.789048,[38 26] ; [ 8 34],[27.77358491 36.22641509] ; [18.22641509 23.77358491],1
a2,1,0.000257,13.362257,[23 42] ; [ 2 40],[15.18691589 49.81308411] ; [ 9.81308411 32.18691589],1
a3,1,0.000289,13.139369,[55 10] ; [22 20],[46.77570093 18.22429907] ; [30.22429907 11.77570093],1
u1,1,0.000428,12.404315,[22 43] ; [ 2 40],[14.57943925 50.42056075] ; [ 9.42056075 32.57943925],1
s8,1,0.000891,11.04059,[43 22] ; [14 28],[34.62616822 30.37383178] ; [22.37383178 19.62616822],1
a4,1,0.003329,8.6179,[39 26] ; [13 29],[31.58878505 33.41121495] ; [20.41121495 21.58878505],0
a6,1,0.005913,7.576588,[48 17] ; [20 22],[41.30841121 23.69158879] ; [26.69158879 15.30841121],0
r2,1,0.006638,7.368421,[61  2] ; [34  8],[57.  6.] ; [38.  4.],0
r1,1,0.008592,6.90563,[57  8] ; [28 14],[51.63551402 13.36448598] ; [33.36448598  8.63551402],0
v3,1,0.016936,5.703012,[25 39] ; [ 7 34],[19.5047619 44.4952381] ; [12.4952381 28.5047619],0
p5,1,0.019922,5.418727,[11 54] ; [ 1 41],[ 7.28971963 57.71028037] ; [ 4.71028037 37.28971963],0
p3,1,0.032343,4.58025,[43 22] ; [19 23],[37.6635514 27.3364486] ; [24.3364486 17.6635514],0
a7,1,0.035443,4.423706,[47 18] ; [22 20],[41.91588785 23.08411215] ; [27.08411215 14.91588785],0
p8,1,0.037234,4.339692,[40 23] ; [18 24],[34.8 28.2] ; [23.2 18.8],0
r4,1,0.03964,4.233238,[60  5] ; [33  9],[56.4953271  8.5046729] ; [36.5046729  5.4953271],0
s6,1,0.043914,4.059868,[57  7] ; [28 10],[53.33333333 10.66666667] ; [31.66666667  6.33333333],0
b2,1,0.055996,3.652162,[10 26] ; [ 2 23],[ 7.08196721 28.91803279] ; [ 4.91803279 20.08196721],0
b3,1,0.055996,3.652162,[10 26] ; [ 2 23],[ 7.08196721 28.91803279] ; [ 4.91803279 20.08196721],0
s2,1,0.093631,2.810811,[50 15] ; [24 15],[46.25 18.75] ; [27.75 11.25],0
p2,1,0.099325,2.716342,[55 10] ; [30 12],[51.63551402 13.36448598] ; [33.36448598  8.63551402],0
p10,1,0.120391,2.412226,[57  8] ; [32 10],[54.06542056 10.93457944] ; [34.93457944  7.06542056],0
