Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,49.209146,[ 19 103] ; [41 20],[40. 82.] ; [20. 41.],1
s6,1,8e-06,20.039638,[62 59] ; [52  9],[75.79120879 45.20879121] ; [38.20879121 22.79120879],1
s2,1,4.1e-05,16.844771,[41 81] ; [40 21],[54. 68.] ; [27. 34.],1
s3,1,0.000253,13.388378,[49 73] ; [42 19],[60.66666667 61.33333333] ; [30.33333333 30.66666667],1
p1,1,0.003804,8.375247,[  3 119] ; [ 8 52],[  7.37362637 114.62637363] ; [ 3.62637363 56.37362637],0
b3,1,0.004145,8.219088,[12 45] ; [17 17],[18.16483516 38.83516484] ; [10.83516484 23.16483516],0
b2,1,0.004145,8.219088,[12 45] ; [17 17],[18.16483516 38.83516484] ; [10.83516484 23.16483516],0
s5,1,0.008719,6.879441,[28 92] ; [25 34],[35.53072626 84.46927374] ; [17.46927374 41.53072626],0
p10,1,0.0095,6.726243,[79 43] ; [50 10],[86.47252747 35.52747253] ; [42.52747253 17.47252747],0
s4,1,0.00988,6.656476,[ 23 100] ; [22 39],[30.08152174 92.91847826] ; [14.91847826 46.08152174],0
a3,1,0.011565,6.376311,[67 56] ; [45 16],[74.86956522 48.13043478] ; [37.13043478 23.86956522],0
v1,1,0.014116,6.023532,[43 77] ; [33 27],[50.66666667 69.33333333] ; [25.33333333 34.66666667],0
d2,1,0.01464,5.95933,[36 87] ; [29 32],[43.45108696 79.54891304] ; [21.54891304 39.45108696],0
p4,1,0.015215,5.89137,[45 77] ; [34 27],[52.66666667 69.33333333] ; [26.33333333 34.66666667],0
a2,1,0.015569,5.850902,[ 12 111] ; [14 47],[ 17.38043478 105.61956522] ; [ 8.61956522 52.38043478],0
a8,1,0.025904,4.962422,[  3 112] ; [ 6 50],[  6.05263158 108.94736842] ; [ 2.94736842 53.05263158],0
p3,1,0.034554,4.467083,[37 86] ; [28 33],[43.45108696 79.54891304] ; [21.54891304 39.45108696],0
p9,1,0.03596,4.399024,[91 31] ; [52  7],[96.38674033 25.61325967] ; [46.61325967 12.38674033],0
u2,1,0.043581,4.072727,[28 27] ; [12  3],[31.42857143 23.57142857] ; [8.57142857 6.42857143],0
p7,1,0.044122,4.051899,[61 58] ; [39 19],[67.23163842 51.76836158] ; [32.76836158 25.23163842],0
u1,1,0.068869,3.309777,[  8 115] ; [ 9 52],[ 11.36413043 111.63586957] ; [ 5.63586957 55.36413043],0
n1,1,0.075927,3.15,[ 9 33] ; [ 9 12],[12. 30.] ; [ 6. 15.],0
a7,1,0.124875,2.355087,[85 37] ; [49 12],[89.33333333 32.66666667] ; [44.66666667 16.33333333],0
p6,1,0.153327,2.038834,[27 94] ; [19 40],[30.92222222 90.07777778] ; [15.07777778 43.92222222],0
a4,1,0.164641,1.931071,[34 89] ; [23 38],[38.10326087 84.89673913] ; [18.89673913 42.10326087],0
b4,1,0.218154,1.516472,[69 54] ; [40 21],[72.86413043 50.13586957] ; [36.13586957 24.86413043],0
v3,1,0.26172,1.259634,[29 89] ; [18 37],[32.05780347 85.94219653] ; [14.94219653 40.05780347],0
b5,1,0.265414,1.240295,[79 44] ; [34 27],[75.53804348 47.46195652] ; [37.46195652 23.53804348],0
r2,1,0.279657,1.168757,[117   6] ; [60  1],[118.32065217   4.67934783] ; [58.67934783  2.32065217],0
n5,1,0.284253,1.146641,[39 83] ; [24 36],[42.23076923 79.76923077] ; [20.76923077 39.23076923],0
b1,1,0.293275,1.104527,[35 88] ; [22 39],[38.10326087 84.89673913] ; [18.89673913 42.10326087],0
a5,1,0.305519,1.049948,[71 52] ; [40 21],[74.20108696 48.79891304] ; [36.79891304 24.20108696],0
u3,1,0.308512,1.037037,[33 21] ; [12  4],[34.71428571 19.28571429] ; [10.28571429  5.71428571],0
v4,1,0.372774,0.794397,[120   3] ; [58  3],[118.98913043   4.01086957] ; [59.01086957  1.98913043],0
a1,1,0.383142,0.760597,[  5 118] ; [ 1 60],[  4.01086957 118.98913043] ; [ 1.98913043 59.01086957],0
p11,1,0.407303,0.686659,[88 35] ; [40 21],[85.56521739 37.43478261] ; [42.43478261 18.56521739],0
d4,1,0.427536,0.629506,[99 24] ; [46 15],[96.92934783 26.07065217] ; [48.07065217 12.92934783],0
p5,1,0.444857,0.583721,[  5 118] ; [ 4 56],[  6.04918033 116.95081967] ; [ 2.95081967 57.04918033],0
d5,1,0.475861,0.508333,[88 34] ; [47 14],[90. 32.] ; [45. 16.],0
