Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.008761,6.870996,[6 4] ; [ 3 18],[2.90322581 7.09677419] ; [ 6.09677419 14.90322581],0
v3,1,0.037857,4.311422,[4 6] ; [ 2 20],[1.875 8.125] ; [ 4.125 17.875],0
a3,1,0.087648,2.917053,[8 2] ; [10 11],[5.80645161 4.19354839] ; [12.19354839  8.80645161],0
n6,1,0.100695,2.694508,[7 2] ; [10 12],[4.93548387 4.06451613] ; [12.06451613  9.93548387],0
s2,1,0.129305,2.300834,[4 5] ; [ 4 18],[2.32258065 6.67741935] ; [ 5.67741935 16.32258065],0
p10,1,0.150584,2.066327,[6 3] ; [ 8 13],[4.2 4.8] ; [ 9.8 11.2],0
s8,1,0.186449,1.745455,[4 6] ; [ 4 18],[2.5 7.5] ; [ 5.5 16.5],0
p11,1,0.197156,1.663316,[7 3] ; [10 12],[5.3125 4.6875] ; [11.6875 10.3125],0
s6,1,0.209601,1.574183,[5 5] ; [ 6 16],[3.4375 6.5625] ; [ 7.5625 14.4375],0
a4,1,0.209601,1.574183,[5 5] ; [ 6 16],[3.4375 6.5625] ; [ 7.5625 14.4375],0
r1,1,0.209601,1.574183,[5 5] ; [ 6 16],[3.4375 6.5625] ; [ 7.5625 14.4375],0
p8,1,0.212662,1.553209,[4 6] ; [ 4 17],[2.58064516 7.41935484] ; [ 5.41935484 15.58064516],0
n2,1,0.220671,1.5,[3 1] ; [3 5],[2. 2.] ; [4. 4.],0
s7,1,0.259509,1.271377,[3 6] ; [ 3 17],[1.86206897 7.13793103] ; [ 4.13793103 15.86206897],0
r3,1,0.283391,1.150758,[6 3] ; [10 12],[4.64516129 4.35483871] ; [11.35483871 10.64516129],0
p2,1,0.315814,1.006203,[6 4] ; [ 9 13],[4.6875 5.3125] ; [10.3125 11.6875],0
p7,1,0.324756,0.969697,[5 5] ; [ 7 15],[3.75 6.25] ; [ 8.25 13.75],0
p4,1,0.324756,0.969697,[5 5] ; [ 7 15],[3.75 6.25] ; [ 8.25 13.75],0
d2,1,0.324756,0.969697,[5 5] ; [ 7 15],[3.75 6.25] ; [ 8.25 13.75],0
a2,1,0.387094,0.748052,[2 8] ; [ 2 20],[1.25 8.75] ; [ 2.75 19.25],0
s1,1,0.387094,0.748052,[2 8] ; [ 2 20],[1.25 8.75] ; [ 2.75 19.25],0
n3,1,0.407626,0.685714,[3 1] ; [4 4],[2.33333333 1.66666667] ; [4.66666667 3.33333333],0
n1,1,0.407626,0.685714,[1 3] ; [4 4],[1.66666667 2.33333333] ; [3.33333333 4.66666667],0
a5,1,0.409328,0.680751,[7 3] ; [12 10],[5.9375 4.0625] ; [13.0625  8.9375],0
p3,1,0.453508,0.56187,[3 7] ; [ 4 18],[2.1875 7.8125] ; [ 4.8125 17.1875],0
d1,1,0.453508,0.56187,[3 7] ; [ 4 18],[2.1875 7.8125] ; [ 4.8125 17.1875],0
u2,1,0.468717,0.525,[1 1] ; [3 9],[0.57142857 1.42857143] ; [3.42857143 8.57142857],0
b4,1,0.471548,0.518347,[6 4] ; [16  6],[6.875 3.125] ; [15.125  6.875],0
d3,1,0.471548,0.518347,[4 6] ; [ 6 16],[3.125 6.875] ; [ 6.875 15.125],0
s3,1,0.542802,0.37037,[2 7] ; [ 7 14],[2.7 6.3] ; [ 6.3 14.7],0
a1,1,0.554628,0.349091,[1 9] ; [ 1 21],[0.625 9.375] ; [ 1.375 20.625],0
u1,1,0.554628,0.349091,[1 9] ; [ 1 21],[0.625 9.375] ; [ 1.375 20.625],0
a6,1,0.554628,0.349091,[3 7] ; [ 9 13],[3.75 6.25] ; [ 8.25 13.75],0
d4,1,0.554628,0.349091,[7 3] ; [13  9],[6.25 3.75] ; [13.75  8.25],0
b5,1,0.630872,0.23088,[5 5] ; [13  9],[5.625 4.375] ; [12.375  9.625],0
d5,1,0.630872,0.23088,[5 5] ; [ 9 13],[4.375 5.625] ; [ 9.625 12.375],0
p6,1,0.685939,0.163516,[2 8] ; [ 3 18],[1.61290323 8.38709677] ; [ 3.38709677 17.61290323],0
p9,1,0.690328,0.15873,[5 4] ; [10 11],[4.5 4.5] ; [10.5 10.5],0
n5,1,0.725359,0.123416,[7 3] ; [14  8],[6.5625 3.4375] ; [14.4375  7.5625],0
n4,1,0.725359,0.123416,[7 3] ; [14  8],[6.5625 3.4375] ; [14.4375  7.5625],0
a7,1,0.773117,0.083117,[4 6] ; [10 12],[4.375 5.625] ; [ 9.625 12.375],0
s5,1,0.773117,0.083117,[1 9] ; [ 3 19],[1.25 8.75] ; [ 2.75 19.25],0
b2,1,0.930912,0.007516,[2 6] ; [ 4 11],[2.08695652 5.91304348] ; [ 3.91304348 11.08695652],0
b3,1,0.930912,0.007516,[2 6] ; [ 4 11],[2.08695652 5.91304348] ; [ 3.91304348 11.08695652],0
p12,1,0.934824,0.006688,[1 9] ; [ 2 20],[0.9375 9.0625] ; [ 2.0625 19.9375],0
s4,1,0.934824,0.006688,[1 9] ; [ 2 20],[0.9375 9.0625] ; [ 2.0625 19.9375],0
p5,1,0.966562,0.001757,[1 9] ; [ 2 19],[0.96774194 9.03225806] ; [ 2.03225806 18.96774194],0
b1,1,1.0,0.0,[5 5] ; [11 11],[5. 5.] ; [11. 11.],0
