Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000292,13.117905,[23 23] ; [ 2 24],[15.97222222 30.02777778] ; [ 9.02777778 16.97222222],1
v3,1,0.022886,5.177152,[14 31] ; [ 2 24],[10.14084507 34.85915493] ; [ 5.85915493 20.14084507],0
v4,1,0.03076,4.666318,[36 10] ; [14 12],[31.94444444 14.05555556] ; [18.05555556  7.94444444],0
s7,1,0.057437,3.60989,[13 32] ; [ 2 21],[ 9.92647059 35.07352941] ; [ 5.07352941 17.92647059],0
r3,1,0.065092,3.402647,[33 13] ; [13 13],[29.38888889 16.61111111] ; [16.61111111  9.38888889],0
a8,1,0.077275,3.121294,[ 1 45] ; [ 3 21],[ 2.62857143 43.37142857] ; [ 1.37142857 22.62857143],0
u3,1,0.083953,2.986667,[ 8 12] ; [ 2 13],[ 5.71428571 14.28571429] ; [ 4.28571429 10.71428571],0
p9,1,0.17659,1.826087,[18 27] ; [ 6 19],[15.42857143 29.57142857] ; [ 8.57142857 16.42857143],0
n2,1,0.207805,1.586651,[13  6] ; [6 7],[11.28125  7.71875] ; [7.71875 5.28125],0
a3,1,0.208713,1.580334,[26 19] ; [11 15],[23.45070423 21.54929577] ; [13.54929577 12.45070423],0
u2,1,0.217597,1.520149,[ 5 14] ; [7 8],[ 6.70588235 12.29411765] ; [5.29411765 9.70588235],0
n1,1,0.219836,1.505439,[ 8 10] ; [ 3 10],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
a4,1,0.273334,1.19994,[16 29] ; [ 6 20],[13.94366197 31.05633803] ; [ 8.05633803 17.94366197],0
p3,1,0.348034,0.880613,[16 30] ; [ 6 19],[14.25352113 31.74647887] ; [ 7.74647887 17.25352113],0
a1,1,0.353736,0.86001,[ 7 39] ; [ 2 24],[ 5.75 40.25] ; [ 3.25 22.75],0
a5,1,0.361554,0.832489,[21 25] ; [ 9 17],[19.16666667 26.83333333] ; [10.83333333 15.16666667],0
