Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000213,13.714286,[ 8 24] ; [13  3],[14. 18.] ; [7. 9.],1
u2,1,0.013711,6.075,[11  7] ; [1 8],[ 8. 10.] ; [4. 5.],0
s6,1,0.031525,4.624151,[10 23] ; [10  6],[13.46938776 19.53061224] ; [6.53061224 9.46938776],0
a6,1,0.032138,4.591112,[14 19] ; [12  4],[17.51020408 15.48979592] ; [8.48979592 7.51020408],0
s4,1,0.049065,3.873112,[ 3 30] ; [ 5 11],[ 5.3877551 27.6122449] ; [ 2.6122449 13.3877551],0
b1,1,0.078609,3.093434,[17 16] ; [ 4 12],[14.14285714 18.85714286] ; [6.85714286 9.14285714],0
d5,1,0.080143,3.061998,[ 9 24] ; [8 7],[11.6875 21.3125] ; [5.3125 9.6875],0
s8,1,0.101488,2.682008,[ 7 26] ; [7 9],[ 9.42857143 23.57142857] ; [ 4.57142857 11.42857143],0
s7,1,0.157299,2.0,[ 6 26] ; [ 6 10],[ 8. 24.] ; [ 4. 12.],0
p8,1,0.181082,1.788724,[17 16] ; [ 5 11],[14.81632653 18.18367347] ; [7.18367347 8.81632653],0
p3,1,0.209652,1.57383,[12 21] ; [ 3 13],[10.10204082 22.89795918] ; [ 4.89795918 11.10204082],0
n6,1,0.235442,1.407679,[19 14] ; [12  4],[20.87755102 12.12244898] ; [10.12244898  5.87755102],0
b5,1,0.261496,1.260819,[22 11] ; [8 8],[20.20408163 12.79591837] ; [9.79591837 6.20408163],0
u3,1,0.275973,1.186813,[10  8] ; [3 6],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
p1,1,0.29476,1.097751,[ 6 27] ; [ 1 14],[ 4.8125 28.1875] ; [ 2.1875 12.8125],0
p9,1,0.300623,1.071429,[17 15] ; [11  5],[18.66666667 13.33333333] ; [9.33333333 6.66666667],0
v3,1,0.362299,0.82991,[ 8 24] ; [ 2 13],[ 6.80851064 25.19148936] ; [ 3.19148936 11.80851064],0
r2,1,0.372719,0.794581,[28  5] ; [15  1],[28.95918367  4.04081633] ; [14.04081633  1.95918367],0
n4,1,0.426349,0.632748,[12 21] ; [ 4 12],[10.7755102 22.2244898] ; [ 5.2244898 10.7755102],0
a5,1,0.481728,0.494949,[13 20] ; [8 8],[14.14285714 18.85714286] ; [6.85714286 9.14285714],0
v1,1,0.508883,0.436364,[11 21] ; [ 4 12],[10. 22.] ; [ 5. 11.],0
r4,1,0.515316,0.423257,[24  9] ; [13  3],[24.91836735  8.08163265] ; [12.08163265  3.91836735],0
r3,1,0.524324,0.405381,[29  4] ; [15  1],[29.63265306  3.36734694] ; [14.36734694  1.63265306],0
a8,1,0.536905,0.381306,[ 3 30] ; [ 2 11],[ 3.58695652 29.41304348] ; [ 1.41304348 11.58695652],0
d2,1,0.613825,0.254642,[ 6 27] ; [ 2 14],[ 5.3877551 27.6122449] ; [ 2.6122449 13.3877551],0
p6,1,0.665664,0.186716,[ 8 25] ; [ 3 13],[ 7.40816327 25.59183673] ; [ 3.59183673 12.40816327],0
p2,1,0.676855,0.173688,[26  7] ; [11  4],[25.4375  7.5625] ; [11.5625  3.4375],0
p7,1,0.724018,0.124675,[18 15] ; [9 6],[18.5625 14.4375] ; [8.4375 6.5625],0
r1,1,0.742245,0.108164,[19 14] ; [10  6],[19.53061224 13.46938776] ; [9.46938776 6.53061224],0
p4,1,0.742245,0.108164,[14 19] ; [ 6 10],[13.46938776 19.53061224] ; [6.53061224 9.46938776],0
v4,1,0.756428,0.096209,[29  3] ; [14  1],[29.27659574  2.72340426] ; [13.72340426  1.27659574],0
b4,1,0.764956,0.089389,[18 15] ; [8 8],[17.51020408 15.48979592] ; [8.48979592 7.51020408],0
p11,1,0.773848,0.082567,[22 11] ; [10  6],[21.55102041 11.44897959] ; [10.44897959  5.55102041],0
a7,1,0.783602,0.075421,[19 14] ; [8 7],[18.5625 14.4375] ; [8.4375 6.5625],0
a4,1,0.803566,0.061869,[ 5 28] ; [ 2 14],[ 4.71428571 28.28571429] ; [ 2.28571429 13.71428571],0
n1,1,0.813945,0.055385,[ 4 11] ; [1 2],[ 4.16666667 10.83333333] ; [0.83333333 2.16666667],0
v2,1,0.831013,0.045541,[11 21] ; [ 6 10],[11.33333333 20.66666667] ; [ 5.66666667 10.33333333],0
a3,1,0.910432,0.012655,[15 18] ; [7 9],[14.81632653 18.18367347] ; [7.18367347 8.81632653],0
a2,1,0.979311,0.000672,[ 2 31] ; [ 1 15],[ 2.02040816 30.97959184] ; [ 0.97959184 15.02040816],0
p10,1,0.989354,0.000178,[17 15] ; [8 7],[17.0212766 14.9787234] ; [7.9787234 7.0212766],0
d3,1,1.0,0.0,[11 22] ; [ 5 10],[11. 22.] ; [ 5. 10.],0
s5,1,1.0,0.0,[ 4 28] ; [ 2 14],[ 4. 28.] ; [ 2. 14.],0
