Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000748,11.367251,[23  6] ; [2 8],[18.58974359 10.41025641] ; [6.41025641 3.58974359],1
a3,1,0.001258,10.403202,[20  9] ; [1 9],[15.61538462 13.38461538] ; [5.38461538 4.61538462],0
d4,1,0.003906,8.326801,[25  4] ; [4 6],[21.56410256  7.43589744] ; [7.43589744 2.56410256],0
d1,1,0.004502,8.069319,[18 11] ; [1 9],[14.12820513 14.87179487] ; [4.87179487 5.12820513],0
a4,1,0.020717,5.35044,[15 14] ; [1 9],[11.8974359 17.1025641] ; [4.1025641 5.8974359],0
d3,1,0.033733,4.50821,[21  8] ; [3 6],[18.31578947 10.68421053] ; [5.68421053 3.31578947],0
r2,1,0.035099,4.440333,[26  3] ; [6 4],[23.79487179  5.20512821] ; [8.20512821 1.79487179],0
v1,1,0.03512,4.439347,[17 12] ; [2 8],[14.12820513 14.87179487] ; [4.87179487 5.12820513],0
a5,1,0.054364,3.701478,[16 13] ; [2 8],[13.38461538 15.61538462] ; [4.61538462 5.38461538],0
u3,1,0.05778,3.6,[7 2] ; [3 6],[5. 4.] ; [5. 4.],0
v4,1,0.059505,3.551136,[27  2] ; [7 3],[25.28205128  3.71794872] ; [8.71794872 1.28205128],0
p4,1,0.06539,3.395113,[21  8] ; [4 6],[18.58974359 10.41025641] ; [6.41025641 3.58974359],0
b4,1,0.079402,3.077094,[18 11] ; [3 7],[15.61538462 13.38461538] ; [5.38461538 4.61538462],0
s8,1,0.081062,3.043481,[15 14] ; [2 8],[12.64102564 16.35897436] ; [4.35897436 5.64102564],0
d2,1,0.081062,3.043481,[15 14] ; [2 8],[12.64102564 16.35897436] ; [4.35897436 5.64102564],0
s6,1,0.104475,2.635862,[20  9] ; [4 6],[17.84615385 11.15384615] ; [6.15384615 3.84615385],0
b5,1,0.137916,2.201064,[19 10] ; [9 1],[20.82051282  8.17948718] ; [7.17948718 2.82051282],0
v2,1,0.140596,2.171429,[16 12] ; [3 7],[14. 14.] ; [5. 5.],0
d5,1,0.140758,2.169655,[24  5] ; [6 4],[22.30769231  6.69230769] ; [7.69230769 2.30769231],0
n4,1,0.16966,1.885944,[16 13] ; [3 7],[14.12820513 14.87179487] ; [4.87179487 5.12820513],0
n1,1,0.18883,1.726722,[5 3] ; [2 5],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
b3,1,0.236724,1.4,[8 8] ; [1 4],[6.85714286 9.14285714] ; [2.14285714 2.85714286],0
b2,1,0.236724,1.4,[8 8] ; [1 4],[6.85714286 9.14285714] ; [2.14285714 2.85714286],0
u2,1,0.256839,1.285714,[6 3] ; [8 1],[7. 2.] ; [7. 2.],0
p3,1,0.308418,1.037438,[17 12] ; [4 6],[15.61538462 13.38461538] ; [5.38461538 4.61538462],0
p9,1,0.336449,0.923914,[22  7] ; [6 4],[20.82051282  8.17948718] ; [7.17948718 2.82051282],0
n2,1,0.37472,0.787953,[8 1] ; [5 2],[7.3125 1.6875] ; [5.6875 1.3125],0
n3,1,0.377026,0.780375,[7 2] ; [4 3],[6.1875 2.8125] ; [4.8125 2.1875],0
a7,1,0.384437,0.756466,[19 10] ; [5 5],[17.84615385 11.15384615] ; [6.15384615 3.84615385],0
p8,1,0.41107,0.675703,[16 13] ; [7 3],[17.1025641 11.8974359] ; [5.8974359 4.1025641],0
p5,1,0.417955,0.656058,[ 1 28] ; [1 9],[ 1.48717949 27.51282051] ; [0.51282051 9.48717949],0
s5,1,0.490021,0.47648,[ 9 17] ; [2 7],[ 8.17142857 17.82857143] ; [2.82857143 6.17142857],0
s2,1,0.522421,0.409111,[14 15] ; [6 4],[14.87179487 14.12820513] ; [5.12820513 4.87179487],0
a6,1,0.652101,0.203261,[18 11] ; [7 3],[18.58974359 10.41025641] ; [6.41025641 3.58974359],0
s3,1,0.725622,0.123169,[15 13] ; [6 4],[15.47368421 12.52631579] ; [5.52631579 4.47368421],0
p10,1,0.753801,0.098365,[19 10] ; [6 4],[18.58974359 10.41025641] ; [6.41025641 3.58974359],0
p11,1,0.753801,0.098365,[19 10] ; [6 4],[18.58974359 10.41025641] ; [6.41025641 3.58974359],0
b1,1,0.795397,0.067241,[19 10] ; [7 3],[19.33333333  9.66666667] ; [6.66666667 3.33333333],0
p2,1,0.844595,0.038424,[24  5] ; [8 2],[23.79487179  5.20512821] ; [8.20512821 1.79487179],0
a8,1,0.848572,0.036458,[ 2 23] ; [1 9],[ 2.14285714 22.85714286] ; [0.85714286 9.14285714],0
s7,1,0.933362,0.006992,[12 16] ; [4 5],[12.10810811 15.89189189] ; [3.89189189 5.10810811],0
s4,1,0.939048,0.005847,[12 17] ; [4 6],[11.8974359 17.1025641] ; [4.1025641 5.8974359],0
n5,1,1.0,0.0,[14 14] ; [5 5],[14. 14.] ; [5. 5.],0
