Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.009742,6.681472,[ 9 29] ; [77 88],[16.09852217 21.90147783] ; [69.90147783 95.09852217],0
b2,1,0.009742,6.681472,[ 9 29] ; [77 88],[16.09852217 21.90147783] ; [69.90147783 95.09852217],0
a8,1,0.011448,6.394451,[ 4 58] ; [ 43 170],[10.59636364 51.40363636] ; [ 36.40363636 176.59636364],0
v3,1,0.015734,5.832351,[21 44] ; [107 110],[29.5035461 35.4964539] ; [ 98.4964539 118.5035461],0
v2,1,0.027127,4.882739,[30 32] ; [140  79],[37.5088968 24.4911032] ; [132.4911032  86.5088968],0
n4,1,0.027813,4.839594,[47 18] ; [193  36],[53.06122449 11.93877551] ; [186.93877551  42.06122449],0
s5,1,0.029521,4.736965,[35 23] ; [ 97 122],[27.63898917 30.36101083] ; [104.36101083 114.63898917],0
s2,1,0.029571,4.734085,[62  3] ; [197  34],[56.875  8.125] ; [202.125  28.875],0
n1,1,0.079175,3.081766,[ 5 10] ; [29 20],[7.96875 7.03125] ; [26.03125 22.96875],0
u4,1,0.118597,2.435759,[ 1 64] ; [ 15 216],[ 3.51351351 61.48648649] ; [ 12.48648649 218.51351351],0
n6,1,0.125858,2.342859,[54 11] ; [206  23],[57.4829932  7.5170068] ; [202.5170068  26.4829932],0
a5,1,0.128459,2.311034,[46 19] ; [184  47],[50.50675676 14.49324324] ; [179.49324324  51.50675676],0
v1,1,0.130762,2.283439,[35 30] ; [140  78],[40.19434629 24.80565371] ; [134.80565371  83.19434629],0
u1,1,0.153037,2.041719,[18 47] ; [ 45 186],[13.83445946 51.16554054] ; [ 49.16554054 181.83445946],0
a3,1,0.217,1.524101,[48 17] ; [186  44],[51.55932203 13.44067797] ; [182.44067797  47.55932203],0
s6,1,0.22047,1.501309,[60  3] ; [206  22],[57.58762887  5.41237113] ; [208.41237113  19.58762887],0
b1,1,0.243473,1.36037,[32 33] ; [ 95 136],[27.88851351 37.11148649] ; [ 99.11148649 131.88851351],0
p11,1,0.25335,1.304738,[50 15] ; [192  39],[53.14189189 11.85810811] ; [188.85810811  42.14189189],0
p2,1,0.26968,1.218375,[53 12] ; [200  30],[55.74576271  9.25423729] ; [197.25423729  32.74576271],0
d1,1,0.272028,1.206493,[48 17] ; [154  77],[44.35810811 20.64189189] ; [157.64189189  73.35810811],0
u3,1,0.289072,1.12394,[14  3] ; [31 14],[12.33870968  4.66129032] ; [32.66129032 12.33870968],0
a1,1,0.295625,1.093825,[ 2 63] ; [ 15 216],[ 3.73310811 61.26689189] ; [ 13.26689189 217.73310811],0
b4,1,0.328665,0.95415,[33 32] ; [133  98],[36.4527027 28.5472973] ; [129.5472973 101.4527027],0
p12,1,0.33299,0.937234,[ 6 58] ; [ 32 197],[ 8.3003413 55.6996587] ; [ 29.6996587 199.3003413],0
r1,1,0.36392,0.824321,[52 13] ; [194  35],[54.3877551 10.6122449] ; [191.6122449  37.3877551],0
p3,1,0.394311,0.725607,[35 30] ; [138  93],[37.98986486 27.01013514] ; [135.01013514  95.98986486],0
p7,1,0.434319,0.611246,[46 16] ; [154  69],[43.50877193 18.49122807] ; [156.49122807  66.50877193],0
n5,1,0.445199,0.582845,[51 14] ; [190  40],[53.10169492 11.89830508] ; [187.89830508  42.10169492],0
s1,1,0.446006,0.580783,[ 4 61] ; [  9 219],[ 2.88395904 62.11604096] ; [ 10.11604096 217.88395904],0
n3,1,0.471847,0.517647,[12  3] ; [36 15],[10.90909091  4.09090909] ; [37.09090909 13.90909091],0
d3,1,0.475227,0.509797,[48 17] ; [160  71],[45.67567568 19.32432432] ; [162.32432432  68.67567568],0
p5,1,0.513818,0.426284,[ 9 56] ; [ 39 187],[10.72164948 54.27835052] ; [ 37.27835052 188.72164948],0
n2,1,0.55663,0.345572,[11  4] ; [41 10],[11.81818182  3.18181818] ; [40.18181818 10.81818182],0
r4,1,0.63538,0.224836,[60  5] ; [217  14],[60.8277027  4.1722973] ; [216.1722973  14.8277027],0
p6,1,0.643533,0.214151,[31 33] ; [103 125],[29.36986301 34.63013699] ; [104.63013699 123.36986301],0
a6,1,0.648338,0.208002,[43 22] ; [159  71],[44.50847458 20.49152542] ; [157.49152542  72.50847458],0
b5,1,0.653672,0.201302,[40 25] ; [135  96],[38.42905405 26.57094595] ; [136.57094595  94.42905405],0
d2,1,0.66157,0.191622,[38 27] ; [128 103],[36.4527027 28.5472973] ; [129.5472973 101.4527027],0
r3,1,0.664418,0.188201,[62  3] ; [223   8],[62.58445946  2.41554054] ; [222.41554054   8.58445946],0
a4,1,0.67789,0.17251,[32 33] ; [107 124],[30.52364865 34.47635135] ; [108.47635135 122.52364865],0
u2,1,0.728032,0.120927,[10  7] ; [28 16],[10.59016393  6.40983607] ; [27.40983607 16.59016393],0
s7,1,0.729886,0.119216,[52 10] ; [182  40],[51.08450704 10.91549296] ; [182.91549296  39.08450704],0
p1,1,0.753926,0.098262,[ 8 57] ; [ 25 204],[ 7.29591837 57.70408163] ; [ 25.70408163 203.29591837],0
d4,1,0.764332,0.089879,[55 10] ; [198  32],[55.74576271  9.25423729] ; [197.25423729  32.74576271],0
p9,1,0.777461,0.079879,[58  6] ; [211  19],[58.55782313  5.44217687] ; [210.44217687  19.55782313],0
