Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,68.148459,[35 82] ; [181  59],[70.78991597 46.21008403] ; [145.21008403  94.78991597],1
a6,1,0.0,37.477364,[51 66] ; [184  57],[76.80167598 40.19832402] ; [158.19832402  82.80167598],1
d5,1,1e-06,24.842541,[68 49] ; [199  42],[87.25977654 29.74022346] ; [179.74022346  61.25977654],1
r3,1,3.2e-05,17.324534,[90 27] ; [222  18],[102.25210084  14.74789916] ; [209.74789916  30.25210084],1
a2,1,0.000101,15.125432,[  6 111] ; [ 51 190],[18.62849162 98.37150838] ; [ 38.37150838 202.62849162],1
d1,1,0.000192,13.907607,[40 77] ; [133 108],[56.53910615 60.46089385] ; [116.46089385 124.53910615],1
d4,1,0.00037,12.678613,[72 45] ; [191  50],[85.95251397 31.04748603] ; [177.04748603  63.95251397],1
u1,1,0.000622,11.709116,[  2 115] ; [ 31 210],[ 10.7849162 106.2150838] ; [ 22.2150838 218.7849162],1
a3,1,0.000966,10.891984,[56 60] ; [159  80],[70.25352113 45.74647887] ; [144.74647887  94.25352113],1
r1,1,0.001468,10.118675,[70 47] ; [182  57],[82.82022472 34.17977528] ; [169.17977528  69.82022472],0
r4,1,0.001832,9.710475,[82 35] ; [203  38],[93.1424581 23.8575419] ; [191.8575419  49.1424581],0
a5,1,0.002669,9.021285,[61 56] ; [165  76],[73.8603352 43.1396648] ; [152.1396648  88.8603352],0
v2,1,0.003001,8.806736,[41 71] ; [124 107],[53.87755102 58.12244898] ; [111.12244898 119.87755102],0
s5,1,0.008492,6.92669,[26 85] ; [ 29 206],[17.64450867 93.35549133] ; [ 37.35549133 197.64450867],0
b5,1,0.0118,6.340633,[60 57] ; [157  84],[70.91899441 46.08100559] ; [146.08100559  94.91899441],0
p2,1,0.015059,5.909501,[75 39] ; [187  53],[84.37288136 29.62711864] ; [177.62711864  62.37288136],0
v4,1,0.016715,5.726103,[96 21] ; [218  22],[102.90756303  14.09243697] ; [211.09243697  28.90756303],0
