Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,47.37438,[74 10] ; [ 6 23],[59.46902655 24.53097345] ; [20.53097345  8.46902655],1
s7,1,8e-05,15.564059,[62 22] ; [10 20],[53.05263158 30.94736842] ; [18.94736842 11.05263158],1
s6,1,0.000344,12.815412,[76  6] ; [19 10],[70.18018018 11.81981982] ; [24.81981982  4.18018018],1
s8,1,0.002001,9.548804,[50 34] ; [ 8 22],[42.73684211 41.26315789] ; [15.26315789 14.73684211],0
r2,1,0.004178,8.204898,[81  3] ; [24  6],[77.36842105  6.63157895] ; [27.63157895  2.36842105],0
u3,1,0.018256,5.571429,[20  6] ; [5 8],[16.66666667  9.33333333] ; [8.33333333 4.66666667],0
u2,1,0.023494,5.131579,[16 10] ; [ 3 10],[12.66666667 13.33333333] ; [6.33333333 6.66666667],0
a4,1,0.026876,4.89873,[39 45] ; [ 7 23],[33.89473684 50.10526316] ; [12.10526316 17.89473684],0
r1,1,0.032892,4.551411,[67 17] ; [18 12],[62.63157895 21.36842105] ; [22.36842105  7.63157895],0
s5,1,0.043751,4.066164,[44 34] ; [10 19],[39.36448598 38.63551402] ; [14.63551402 14.36448598],0
d2,1,0.059088,3.562791,[39 45] ; [ 8 22],[34.63157895 49.36842105] ; [12.36842105 17.63157895],0
v4,1,0.083162,3.001988,[81  2] ; [27  3],[79.32743363  3.67256637] ; [28.67256637  1.32743363],0
r4,1,0.087623,2.917511,[75  9] ; [23  7],[72.21052632 11.78947368] ; [25.78947368  4.21052632],0
b1,1,0.089598,2.881583,[31 53] ; [ 6 24],[27.26315789 56.73684211] ; [ 9.73684211 20.26315789],0
d1,1,0.099591,2.71208,[51 33] ; [13 17],[47.15789474 36.84210526] ; [16.84210526 13.15789474],0
d5,1,0.099963,2.706137,[66 18] ; [19 11],[62.63157895 21.36842105] ; [22.36842105  7.63157895],0
v3,1,0.116668,2.461487,[27 56] ; [ 5 24],[23.71428571 59.28571429] ; [ 8.28571429 20.71428571],0
a2,1,0.132736,2.260206,[19 65] ; [ 3 27],[16.21052632 67.78947368] ; [ 5.78947368 24.21052632],0
a6,1,0.15476,2.024696,[57 27] ; [16 14],[53.78947368 30.21052632] ; [19.21052632 10.78947368],0
u1,1,0.165717,1.921264,[18 66] ; [ 3 27],[15.47368421 68.52631579] ; [ 5.52631579 24.47368421],0
r3,1,0.175875,1.832143,[81  3] ; [27  3],[79.57894737  4.42105263] ; [28.42105263  1.57894737],0
p3,1,0.193001,1.694561,[48 36] ; [13 17],[44.94736842 39.05263158] ; [16.05263158 13.94736842],0
a3,1,0.219823,1.505524,[58 26] ; [17 13],[55.26315789 28.73684211] ; [19.73684211 10.26315789],0
p2,1,0.253692,1.302857,[72 12] ; [23  7],[70. 14.] ; [25.  5.],0
n4,1,0.339933,0.910683,[61 23] ; [19 11],[58.94736842 25.05263158] ; [21.05263158  8.94736842],0
b5,1,0.347741,0.881684,[53 31] ; [16 14],[50.84210526 33.15789474] ; [18.15789474 11.84210526],0
v1,1,0.363503,0.825753,[39 44] ; [17 13],[41.13274336 41.86725664] ; [14.86725664 15.13274336],0
