Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000254,13.380186,[13  3] ; [ 4 16],[7.55555556 8.44444444] ; [ 9.44444444 10.55555556],1
d5,1,0.002048,9.50625,[15  1] ; [ 9 11],[10.66666667  5.33333333] ; [13.33333333  6.66666667],0
v2,1,0.002556,9.100315,[8 8] ; [ 1 18],[ 4.11428571 11.88571429] ; [ 4.88571429 14.11428571],0
n4,1,0.003673,8.438961,[14  2] ; [ 8 12],[9.77777778 6.22222222] ; [12.22222222  7.77777778],0
d3,1,0.003673,8.438961,[14  2] ; [ 8 12],[9.77777778 6.22222222] ; [12.22222222  7.77777778],0
a4,1,0.009084,6.80625,[9 7] ; [ 3 17],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
p3,1,0.0137,6.076389,[10  5] ; [ 5 15],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
n5,1,0.067174,3.350769,[14  2] ; [12  8],[11.55555556  4.44444444] ; [14.44444444  5.55555556],0
p5,1,0.087669,2.916667,[ 5 10] ; [ 2 18],[ 3. 12.] ; [ 4. 16.],0
b3,1,0.089192,2.888889,[ 2 11] ; [6 7],[4. 9.] ; [4. 9.],0
b2,1,0.089192,2.888889,[ 2 11] ; [6 7],[4. 9.] ; [4. 9.],0
s5,1,0.12425,2.362909,[7 9] ; [ 4 16],[ 4.88888889 11.11111111] ; [ 6.11111111 13.88888889],0
r4,1,0.12425,2.362909,[7 9] ; [ 4 16],[ 4.88888889 11.11111111] ; [ 6.11111111 13.88888889],0
a5,1,0.126279,2.337662,[12  4] ; [10 10],[9.77777778 6.22222222] ; [12.22222222  7.77777778],0
r1,1,0.154157,2.030625,[11  5] ; [ 9 11],[8.88888889 7.11111111] ; [11.11111111  8.88888889],0
u3,1,0.164264,1.934524,[1 3] ; [6 3],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
u2,1,0.164264,1.934524,[1 3] ; [6 3],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
b4,1,0.169017,1.891636,[13  3] ; [12  8],[11.11111111  4.88888889] ; [13.88888889  6.11111111],0
a7,1,0.179712,1.8,[10  6] ; [ 8 12],[8. 8.] ; [10. 10.],0
a2,1,0.192084,1.701562,[ 3 13] ; [ 1 19],[ 1.77777778 14.22222222] ; [ 2.22222222 17.77777778],0
p2,1,0.194924,1.68,[9 6] ; [16  4],[10.71428571  4.28571429] ; [14.28571429  5.71428571],0
s6,1,0.202309,1.625625,[9 7] ; [ 7 13],[7.11111111 8.88888889] ; [ 8.88888889 11.11111111],0
a3,1,0.214449,1.541137,[12  4] ; [11  9],[10.22222222  5.77777778] ; [12.77777778  7.22222222],0
n2,1,0.215508,1.534035,[6 1] ; [7 5],[4.78947368 2.21052632] ; [8.21052632 3.78947368],0
s3,1,0.33068,0.946233,[7 9] ; [ 5 13],[ 5.64705882 10.35294118] ; [ 6.35294118 11.64705882],0
p11,1,0.331816,0.941796,[7 9] ; [12  8],[8.44444444 7.55555556] ; [10.55555556  9.44444444],0
p6,1,0.418492,0.654545,[ 6 10] ; [ 5 15],[ 4.88888889 11.11111111] ; [ 6.11111111 13.88888889],0
p12,1,0.418492,0.654545,[ 2 14] ; [ 1 19],[ 1.33333333 14.66666667] ; [ 1.66666667 18.33333333],0
p1,1,0.451259,0.567488,[ 4 12] ; [ 3 17],[ 3.11111111 12.88888889] ; [ 3.88888889 16.11111111],0
s7,1,0.485667,0.486111,[7 8] ; [ 7 13],[6. 9.] ; [ 8. 12.],0
v3,1,0.49169,0.472827,[ 5 11] ; [ 4 15],[ 4.11428571 11.88571429] ; [ 4.88571429 14.11428571],0
p9,1,0.503623,0.447293,[14  2] ; [15  4],[13.25714286  2.74285714] ; [15.74285714  3.25714286],0
n1,1,0.514584,0.424735,[4 3] ; [5 7],[3.31578947 3.68421053] ; [5.68421053 6.31578947],0
n6,1,0.517482,0.418909,[12  4] ; [13  7],[11.11111111  4.88888889] ; [13.88888889  6.11111111],0
s2,1,0.635256,0.225,[ 6 10] ; [ 6 14],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
s8,1,0.635256,0.225,[ 6 10] ; [ 6 14],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
p8,1,0.650147,0.205714,[10  6] ; [11  9],[9.33333333 6.66666667] ; [11.66666667  8.33333333],0
s1,1,0.68583,0.163636,[ 1 15] ; [ 2 18],[ 1.33333333 14.66666667] ; [ 1.66666667 18.33333333],0
r2,1,0.697713,0.150862,[12  3] ; [17  3],[12.42857143  2.57142857] ; [16.57142857  3.42857143],0
v1,1,0.708959,0.139319,[7 9] ; [10 10],[7.55555556 8.44444444] ; [ 9.44444444 10.55555556],0
b5,1,0.708959,0.139319,[9 7] ; [10 10],[8.44444444 7.55555556] ; [10.55555556  9.44444444],0
n3,1,0.763573,0.090476,[4 3] ; [6 6],[3.68421053 3.31578947] ; [6.31578947 5.68421053],0
s4,1,0.764177,0.09,[ 3 13] ; [ 3 17],[ 2.66666667 13.33333333] ; [ 3.33333333 16.66666667],0
a6,1,0.765243,0.089164,[8 8] ; [ 9 11],[7.55555556 8.44444444] ; [ 9.44444444 10.55555556],0
b1,1,0.820596,0.051429,[9 7] ; [12  8],[9.33333333 6.66666667] ; [11.66666667  8.33333333],0
p7,1,0.820627,0.051411,[6 7] ; [ 8 11],[5.6875 7.3125] ; [ 8.3125 10.6875],0
v4,1,0.829357,0.046452,[14  2] ; [17  3],[13.77777778  2.22222222] ; [17.22222222  2.77777778],0
p4,1,0.84519,0.038126,[8 7] ; [10 10],[7.71428571 7.28571429] ; [10.28571429  9.71428571],0
a1,1,0.870756,0.026471,[ 1 15] ; [ 1 19],[ 0.88888889 15.11111111] ; [ 1.11111111 18.88888889],0
