Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.0,28.3824,[ 9 29] ; [53 16],[22.01869159 15.98130841] ; [39.98130841 29.01869159],1
a6,1,0.000123,14.748334,[15 23] ; [53 16],[24.14953271 13.85046729] ; [43.85046729 25.14953271],1
a2,1,0.001024,10.783329,[ 2 36] ; [23 46],[ 8.87850467 29.12149533] ; [16.12149533 52.87850467],0
d3,1,0.004319,8.144767,[21 17] ; [56 13],[27.34579439 10.65420561] ; [49.65420561 19.34579439],0
p4,1,0.012817,6.194217,[19 19] ; [51 18],[24.85981308 13.14018692] ; [45.14018692 23.85981308],0
d4,1,0.014485,5.978034,[24 14] ; [58 11],[29.12149533  8.87850467] ; [52.87850467 16.12149533],0
a5,1,0.020142,5.399586,[23 15] ; [56 13],[28.05607477  9.94392523] ; [50.94392523 18.05607477],0
u1,1,0.028476,4.799019,[ 4 34] ; [20 49],[ 8.52336449 29.47663551] ; [15.47663551 53.52336449],0
v4,1,0.030227,4.696339,[33  4] ; [68  1],[35.25471698  1.74528302] ; [65.74528302  3.25471698],0
d1,1,0.035443,4.423706,[18 20] ; [47 22],[23.08411215 14.91588785] ; [41.91588785 27.08411215],0
b1,1,0.051354,3.796677,[20 18] ; [23 46],[15.27102804 22.72897196] ; [27.72897196 41.27102804],0
n6,1,0.069692,3.290259,[30  8] ; [63  6],[33.02803738  4.97196262] ; [59.97196262  9.02803738],0
r4,1,0.069692,3.290259,[30  8] ; [63  6],[33.02803738  4.97196262] ; [59.97196262  9.02803738],0
r2,1,0.084841,2.969626,[31  6] ; [64  4],[33.47619048  3.52380952] ; [61.52380952  6.47619048],0
s1,1,0.08859,2.899818,[ 5 32] ; [ 3 66],[ 2.79245283 34.20754717] ; [ 5.20754717 63.79245283],0
r3,1,0.09424,2.800413,[32  6] ; [64  4],[34.41509434  3.58490566] ; [61.58490566  6.41509434],0
d5,1,0.111166,2.537571,[27 11] ; [58 11],[30.18691589  7.81308411] ; [54.81308411 14.18691589],0
p9,1,0.119885,2.418823,[30  8] ; [62  7],[32.6728972  5.3271028] ; [59.3271028  9.6728972],0
n1,1,0.133918,2.246483,[5 6] ; [ 2 10],[3.34782609 7.65217391] ; [3.65217391 8.34782609],0
u2,1,0.15631,2.009569,[7 4] ; [ 7 12],[5.13333333 5.86666667] ; [ 8.86666667 10.13333333],0
s7,1,0.177029,1.822393,[26 10] ; [40 28],[22.84615385 13.15384615] ; [43.15384615 24.84615385],0
