Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000212,13.723897,[13 46] ; [15  8],[20.14634146 38.85365854] ; [ 7.85365854 15.14634146],1
p6,1,0.000518,12.050366,[ 3 55] ; [ 9 18],[ 8.18823529 49.81176471] ; [ 3.81176471 23.18823529],1
p11,1,0.000759,11.338605,[19 41] ; [19  8],[26.20689655 33.79310345] ; [11.79310345 15.20689655],1
p4,1,0.003182,8.7,[14 46] ; [15 12],[20. 40.] ; [ 9. 18.],0
b2,1,0.006153,7.504934,[17 21] ; [ 1 15],[12.66666667 25.33333333] ; [ 5.33333333 10.66666667],0
b3,1,0.006153,7.504934,[17 21] ; [ 1 15],[12.66666667 25.33333333] ; [ 5.33333333 10.66666667],0
r3,1,0.007286,7.201158,[19 40] ; [17 10],[24.69767442 34.30232558] ; [11.30232558 15.69767442],0
v4,1,0.009463,6.733378,[28 32] ; [20  6],[33.48837209 26.51162791] ; [14.51162791 11.48837209],0
p2,1,0.014177,6.015915,[28 30] ; [20  6],[33.14285714 24.85714286] ; [14.85714286 11.14285714],0
p10,1,0.023063,5.16375,[27 33] ; [18  7],[31.76470588 28.23529412] ; [13.23529412 11.76470588],0
b5,1,0.030949,4.655788,[25 35] ; [18  9],[29.65517241 30.34482759] ; [13.34482759 13.65517241],0
u2,1,0.036452,4.375847,[ 7 19] ; [10  7],[10.27906977 15.72093023] ; [ 6.72093023 10.27906977],0
b1,1,0.047138,3.940474,[36 24] ; [10 17],[31.72413793 28.27586207] ; [14.27586207 12.72413793],0
s7,1,0.048259,3.900932,[13 43] ; [12 15],[16.86746988 39.13253012] ; [ 8.13253012 18.86746988],0
a4,1,0.048907,3.878545,[21 38] ; [ 4 23],[17.15116279 41.84883721] ; [ 7.84883721 19.15116279],0
a3,1,0.063738,3.437352,[34 24] ; [10 17],[30.02352941 27.97647059] ; [13.97647059 13.02352941],0
a7,1,0.069413,3.296839,[23 37] ; [16 11],[26.89655172 33.10344828] ; [12.10344828 14.89655172],0
p3,1,0.072659,3.221902,[13 46] ; [11 16],[16.46511628 42.53488372] ; [ 7.53488372 19.46511628],0
u3,1,0.087608,2.917788,[ 5 21] ; [7 9],[ 7.42857143 18.57142857] ; [ 4.57142857 11.42857143],0
s6,1,0.090763,2.860793,[12 48] ; [10 17],[15.17241379 44.82758621] ; [ 6.82758621 20.17241379],0
