Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.2e-05,17.269616,[19 18] ; [ 8 54],[10.09090909 26.90909091] ; [16.90909091 45.09090909],1
s5,1,7.5e-05,15.68,[13 23] ; [ 3 57],[ 6. 30.] ; [10. 50.],1
s3,1,0.006687,7.355185,[20 17] ; [16 44],[13.73195876 23.26804124] ; [22.26804124 37.73195876],0
a2,1,0.010151,6.608272,[ 8 29] ; [ 3 59],[ 4.11111111 32.88888889] ; [ 6.88888889 55.11111111],0
s4,1,0.010855,6.488849,[ 9 28] ; [ 4 58],[ 4.85858586 32.14141414] ; [ 8.14141414 53.85858586],0
v1,1,0.022645,5.19551,[19 18] ; [17 43],[13.73195876 23.26804124] ; [22.26804124 37.73195876],0
s8,1,0.023278,5.14766,[10 27] ; [ 6 56],[ 5.97979798 31.02020202] ; [10.02020202 51.97979798],0
d5,1,0.027256,4.874496,[29  8] ; [35 27],[23.91919192 13.08080808] ; [40.08080808 21.91919192],0
u3,1,0.05659,3.634615,[11  5] ; [10 16],[8. 8.] ; [13. 13.],0
p4,1,0.056729,3.630512,[18 19] ; [18 43],[13.59183673 23.40816327] ; [22.40816327 38.59183673],0
s7,1,0.060279,3.529697,[12 24] ; [ 9 46],[ 8.30769231 27.69230769] ; [12.69230769 42.30769231],0
n4,1,0.068258,3.324432,[11 26] ; [30 32],[15.32323232 21.67676768] ; [25.67676768 36.32323232],0
d4,1,0.107374,2.592446,[32  5] ; [45 17],[28.77777778  8.22222222] ; [48.22222222 13.77777778],0
p3,1,0.118473,2.437396,[16 21] ; [17 44],[12.45918367 24.54081633] ; [20.54081633 40.45918367],0
v3,1,0.123602,2.371077,[12 22] ; [12 46],[ 8.86956522 25.13043478] ; [15.13043478 42.86956522],0
d3,1,0.128447,2.311173,[26 11] ; [34 28],[22.42424242 14.57575758] ; [37.57575758 24.42424242],0
p2,1,0.145438,2.11946,[19 18] ; [41 21],[22.42424242 14.57575758] ; [37.57575758 24.42424242],0
p8,1,0.163674,1.939947,[14 23] ; [15 46],[10.94897959 26.05102041] ; [18.05102041 42.94897959],0
n1,1,0.164765,1.929938,[5 7] ; [ 5 20],[3.24324324 8.75675676] ; [ 6.75675676 18.24324324],0
d1,1,0.165023,1.927583,[19 18] ; [23 39],[15.6969697 21.3030303] ; [26.3030303 35.6969697],0
p11,1,0.168632,1.895062,[15 22] ; [34 28],[18.31313131 18.68686869] ; [30.68686869 31.31313131],0
a5,1,0.18368,1.767593,[23 14] ; [30 32],[19.80808081 17.19191919] ; [33.19191919 28.80808081],0
a7,1,0.211786,1.559177,[25 12] ; [34 28],[22.05050505 14.94949495] ; [36.94949495 25.05050505],0
u1,1,0.237016,1.398256,[ 5 32] ; [ 4 58],[ 3.36363636 33.63636364] ; [ 5.63636364 56.36363636],0
p7,1,0.273474,1.19924,[12 25] ; [27 35],[14.57575758 22.42424242] ; [24.42424242 37.57575758],0
s1,1,0.279384,1.170086,[ 1 36] ; [ 5 57],[ 2.24242424 34.75757576] ; [ 3.75757576 58.24242424],0
n2,1,0.326379,0.963211,[9 3] ; [14 10],[7.66666667 4.33333333] ; [15.33333333  8.66666667],0
b5,1,0.40919,0.681153,[24 13] ; [35 27],[22.05050505 14.94949495] ; [36.94949495 25.05050505],0
r2,1,0.414379,0.6662,[32  5] ; [48 12],[30.51546392  6.48453608] ; [49.48453608 10.51546392],0
v2,1,0.417123,0.658407,[19 17] ; [27 34],[17.07216495 18.92783505] ; [28.92783505 32.07216495],0
b2,1,0.517483,0.418906,[ 5 17] ; [11 25],[ 6.06896552 15.93103448] ; [ 9.93103448 26.06896552],0
b3,1,0.517483,0.418906,[ 5 17] ; [11 25],[ 6.06896552 15.93103448] ; [ 9.93103448 26.06896552],0
p1,1,0.523101,0.407775,[ 3 34] ; [ 3 58],[ 2.26530612 34.73469388] ; [ 3.73469388 57.26530612],0
a6,1,0.545925,0.364669,[22 15] ; [33 29],[20.55555556 16.44444444] ; [34.44444444 27.55555556],0
b4,1,0.583893,0.299983,[20 17] ; [37 25],[21.3030303 15.6969697] ; [35.6969697 26.3030303],0
p6,1,0.587442,0.294356,[ 6 31] ; [12 46],[ 7.01052632 29.98947368] ; [10.98947368 47.01052632],0
a1,1,0.594142,0.283921,[ 2 35] ; [ 2 60],[ 1.49494949 35.50505051] ; [ 2.50505051 59.49494949],0
