Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,143.684208,[385   5] ; [17 16],[370.63829787  19.36170213] ; [31.36170213  1.63829787],1
v4,1,0.0,107.303731,[386   7] ; [19 14],[373.62676056  19.37323944] ; [31.37323944  1.62676056],1
r3,1,0.0,93.146869,[386   7] ; [21 13],[374.59250585  18.40749415] ; [32.40749415  1.59250585],1
r1,1,0.0,89.089787,[351  40] ; [10 24],[332.12  58.88] ; [28.88  5.12],1
p10,1,5.2e-05,16.389809,[348  43] ; [22 12],[340.4  50.6] ; [29.6  4.4],1
a7,1,0.001477,10.107436,[310  83] ; [20 16],[302.30769231  90.69230769] ; [27.69230769  8.30769231],0
n4,1,0.001492,10.088256,[332  60] ; [23 13],[325.14018692  66.85981308] ; [29.85981308  6.14018692],0
v1,1,0.002908,8.864227,[240 142] ; [13 22],[231.76498801 150.23501199] ; [21.23501199 13.76498801],0
s3,1,0.00991,6.650964,[236 152] ; [12 20],[229.1047619 158.8952381] ; [18.8952381 13.1047619],0
d1,1,0.011306,6.416624,[286 107] ; [19 17],[279.40559441 113.59440559] ; [25.59440559 10.40559441],0
v3,1,0.013022,6.16608,[168 209] ; [ 8 27],[161.04854369 215.95145631] ; [14.95145631 20.04854369],0
b4,1,0.013719,6.073972,[236 157] ; [14 22],[229.02097902 163.97902098] ; [20.97902098 15.02097902],0
p9,1,0.0161,5.791972,[354  38] ; [27  8],[349.7704918  42.2295082] ; [31.2295082  3.7704918],0
s6,1,0.019392,5.465833,[292  92] ; [19 14],[286.38848921  97.61151079] ; [24.61151079  8.38848921],0
s5,1,0.019816,5.428012,[159 220] ; [ 7 26],[152.7038835 226.2961165] ; [13.2961165 19.7038835],0
n3,1,0.03006,4.705882,[54 14] ; [6 6],[51. 17.] ; [9. 3.],0
p2,1,0.042293,4.123429,[355  36] ; [28  7],[351.53286385  39.46713615] ; [31.46713615  3.53286385],0
u2,1,0.048652,3.887333,[47 28] ; [3 7],[44.11764706 30.88235294] ; [5.88235294 4.11764706],0
s8,1,0.062036,3.48209,[209 181] ; [13 22],[203.71764706 186.28235294] ; [18.28235294 16.71764706],0
a2,1,0.064753,3.41126,[136 257] ; [ 7 29],[131. 262.] ; [12. 24.],0
b1,1,0.068681,3.31426,[157 236] ; [20 16],[162.14685315 230.85314685] ; [14.85314685 21.14685315],0
p3,1,0.075754,3.153727,[274 118] ; [20 16],[269.27102804 122.72897196] ; [24.72897196 11.27102804],0
d4,1,0.08934,2.886221,[344  48] ; [28  8],[340.71028037  51.28971963] ; [31.28971963  4.71028037],0
a8,1,0.089398,2.885175,[ 49 302] ; [ 1 30],[ 45.94240838 305.05759162] ; [ 4.05759162 26.94240838],0
v2,1,0.095332,2.78195,[239 141] ; [17 18],[234.40963855 145.59036145] ; [21.59036145 13.40963855],0
s7,1,0.097678,2.743047,[220 154] ; [14 18],[215.55665025 158.44334975] ; [18.44334975 13.55665025],0
p7,1,0.110176,2.551702,[294  97] ; [22 13],[290.03755869 100.96244131] ; [25.96244131  9.03755869],0
a6,1,0.127348,2.324543,[287 106] ; [22 14],[283.06993007 109.93006993] ; [25.93006993 10.06993007],0
n6,1,0.133506,2.251251,[346  46] ; [27  7],[343.23004695  48.76995305] ; [29.76995305  4.23004695],0
