Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6.7e-05,15.87979,[16 86] ; [10  7],[22.28571429 79.71428571] ; [ 3.71428571 13.28571429],1
s7,1,0.002718,8.98774,[22 73] ; [10  7],[27.14285714 67.85714286] ; [ 4.85714286 12.14285714],0
s6,1,0.00778,7.083333,[37 65] ; [12  5],[42. 60.] ; [ 7. 10.],0
p12,1,0.009026,6.817672,[  1 100] ; [ 2 15],[ 2.56779661 98.43220339] ; [ 0.43220339 16.56779661],0
d5,1,0.012057,6.3024,[64 37] ; [16  1],[68.47457627 32.52542373] ; [11.52542373  5.47457627],0
v1,1,0.018426,5.555161,[32 68] ; [10  6],[36.20689655 63.79310345] ; [ 5.79310345 10.20689655],0
s4,1,0.024127,5.08547,[10 92] ; [ 5 12],[12.85714286 89.14285714] ; [ 2.14285714 14.85714286],0
s2,1,0.033853,4.502134,[30 72] ; [9 7],[33.71186441 68.28813559] ; [ 5.28813559 10.71186441],0
a4,1,0.039416,4.242827,[38 64] ; [ 2 15],[34.28571429 67.71428571] ; [ 5.71428571 11.28571429],0
v2,1,0.060016,3.536936,[33 62] ; [10  7],[36.47321429 58.52678571] ; [ 6.52678571 10.47321429],0
p2,1,0.103615,2.648994,[56 45] ; [13  4],[59.05932203 41.94067797] ; [9.94067797 7.05932203],0
d2,1,0.106366,2.607398,[33 68] ; [9 8],[35.94915254 65.05084746] ; [ 6.05084746 10.94915254],0
d3,1,0.13005,2.291907,[57 43] ; [13  4],[59.82905983 40.17094017] ; [10.17094017  6.82905983],0
d1,1,0.191386,1.706919,[37 65] ; [9 8],[39.42857143 62.57142857] ; [ 6.57142857 10.42857143],0
d4,1,0.204802,1.607794,[67 33] ; [14  3],[69.23076923 30.76923077] ; [11.76923077  5.23076923],0
a8,1,0.261651,1.26,[ 9 87] ; [ 3 13],[10.28571429 85.71428571] ; [ 1.71428571 14.28571429],0
n3,1,0.319376,0.991499,[25 15] ; [4 5],[23.67346939 16.32653061] ; [5.32653061 3.67346939],0
a2,1,0.323482,0.974818,[15 87] ; [ 1 16],[13.71428571 88.28571429] ; [ 2.28571429 14.71428571],0
a3,1,0.34289,0.899597,[59 42] ; [12  5],[60.77118644 40.22881356] ; [10.22881356  6.77118644],0
s3,1,0.361081,0.83413,[44 56] ; [9 7],[45.68965517 54.31034483] ; [7.31034483 8.68965517],0
n2,1,0.365853,0.817701,[26 16] ; [7 2],[27.17647059 14.82352941] ; [5.82352941 3.17647059],0
n4,1,0.410304,0.677919,[49 53] ; [10  7],[50.57142857 51.42857143] ; [8.42857143 8.57142857],0
