Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.613072,[56 34] ; [ 6 28],[45. 45.] ; [17. 17.],1
v4,1,0.000679,11.54463,[78 12] ; [20 14],[71.12903226 18.87096774] ; [26.87096774  7.12903226],1
d5,1,0.002632,9.046776,[65 24] ; [15 19],[57.88617886 31.11382114] ; [22.11382114 11.88617886],0
a3,1,0.022401,5.214341,[55 35] ; [13 21],[49.35483871 40.64516129] ; [18.64516129 15.35483871],0
p7,1,0.051007,3.808035,[44 46] ; [10 24],[39.19354839 50.80645161] ; [14.80645161 19.19354839],0
p10,1,0.061047,3.508708,[59 29] ; [16 17],[54.54545455 33.45454545] ; [20.45454545 12.54545455],0
r3,1,0.061145,3.506041,[72 18] ; [21 12],[68.04878049 21.95121951] ; [24.95121951  8.04878049],0
p6,1,0.062069,3.481229,[28 59] ; [ 5 28],[23.925 63.075] ; [ 9.075 23.925],0
u3,1,0.068479,3.319109,[15 20] ; [ 4 17],[11.875 23.125] ; [ 7.125 13.875],0
s7,1,0.069803,3.287647,[22 63] ; [ 3 27],[18.47826087 66.52173913] ; [ 6.52173913 23.47826087],0
b1,1,0.112262,2.522093,[36 54] ; [19 15],[39.91935484 50.08064516] ; [15.08064516 18.91935484],0
p9,1,0.125623,2.345779,[65 23] ; [19 13],[61.6 26.4] ; [22.4  9.6],0
p12,1,0.129119,2.303068,[ 1 87] ; [ 2 32],[ 2.16393443 85.83606557] ; [ 0.83606557 33.16393443],0
a4,1,0.153979,2.032386,[33 56] ; [ 8 26],[29.66666667 59.33333333] ; [11.33333333 22.66666667],0
a7,1,0.172653,1.859759,[54 35] ; [16 18],[50.6504065 38.3495935] ; [19.3495935 14.6504065],0
n1,1,0.186449,1.745455,[13 20] ; [ 3 12],[11. 22.] ; [ 5. 10.],0
v3,1,0.201863,1.628843,[26 64] ; [ 6 28],[23.22580645 66.77419355] ; [ 8.77419355 25.22580645],0
p3,1,0.228326,1.451258,[31 58] ; [ 8 26],[28.2195122 60.7804878] ; [10.7804878 23.2195122],0
p8,1,0.25786,1.280208,[36 53] ; [10 24],[33.28455285 55.71544715] ; [12.71544715 21.28455285],0
n2,1,0.271878,1.207245,[23 10] ; [8 7],[21.3125 11.6875] ; [9.6875 5.3125],0
d3,1,0.301429,1.067861,[48 40] ; [15 19],[45.44262295 42.55737705] ; [17.55737705 16.44262295],0
a8,1,0.319709,0.990137,[ 4 81] ; [ 3 28],[ 5.12931034 79.87068966] ; [ 1.87068966 29.12931034],0
n6,1,0.322137,0.980249,[68 21] ; [23 11],[65.84552846 23.15447154] ; [25.15447154  8.84552846],0
a5,1,0.323374,0.975251,[46 44] ; [14 20],[43.5483871 46.4516129] ; [16.4516129 17.5483871],0
d1,1,0.327529,0.958642,[35 55] ; [10 24],[32.66129032 57.33870968] ; [12.33870968 21.66129032],0
s8,1,0.330901,0.94537,[14 76] ; [ 3 31],[12.33870968 77.66129032] ; [ 4.66129032 29.33870968],0
p5,1,0.345542,0.889762,[ 8 82] ; [ 5 29],[ 9.43548387 80.56451613] ; [ 3.56451613 30.43548387],0
a2,1,0.379641,0.771864,[10 80] ; [ 2 32],[ 8.70967742 81.29032258] ; [ 3.29032258 30.70967742],0
p4,1,0.390675,0.73684,[39 50] ; [12 22],[36.90243902 52.09756098] ; [14.09756098 19.90243902],0
a6,1,0.397588,0.715608,[50 40] ; [16 18],[47.90322581 42.09677419] ; [18.09677419 15.90322581],0
s4,1,0.406649,0.688577,[13 77] ; [ 7 27],[14.51612903 75.48387097] ; [ 5.48387097 28.51612903],0
n4,1,0.409491,0.680279,[55 35] ; [18 16],[52.98387097 37.01612903] ; [20.01612903 13.98387097],0
d4,1,0.415467,0.663102,[60 30] ; [20 14],[58.06451613 31.93548387] ; [21.93548387 12.06451613],0
b2,1,0.428184,0.627744,[21 29] ; [ 6 13],[19.56521739 30.43478261] ; [ 7.43478261 11.56521739],0
b3,1,0.428184,0.627744,[21 29] ; [ 6 13],[19.56521739 30.43478261] ; [ 7.43478261 11.56521739],0
v2,1,0.481922,0.494512,[29 60] ; [13 20],[30.63934426 58.36065574] ; [11.36065574 21.63934426],0
b5,1,0.519443,0.414998,[56 34] ; [19 15],[54.43548387 35.56451613] ; [20.56451613 13.43548387],0
u1,1,0.545023,0.366308,[ 5 85] ; [ 1 33],[ 4.35483871 85.64516129] ; [ 1.64516129 32.35483871],0
a1,1,0.583341,0.300865,[ 8 82] ; [ 2 32],[ 7.25806452 82.74193548] ; [ 2.74193548 31.25806452],0
d2,1,0.595544,0.281768,[33 55] ; [11 23],[31.73770492 56.26229508] ; [12.26229508 21.73770492],0
p2,1,0.622871,0.241853,[56 32] ; [20 14],[54.81967213 33.18032787] ; [21.18032787 12.81967213],0
s5,1,0.694647,0.154101,[13 75] ; [ 6 28],[13.70491803 74.29508197] ; [ 5.29508197 28.70491803],0
n5,1,0.738175,0.111737,[58 32] ; [23 11],[58.79032258 31.20967742] ; [22.20967742 11.79032258],0
