Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,4e-06,21.288859,[74  6] ; [19 15],[65.26315789 14.73684211] ; [27.73684211  6.26315789],1
p8,1,2.8e-05,17.574192,[56 22] ; [10 24],[45.96428571 32.03571429] ; [20.03571429 13.96428571],1
v1,1,0.000202,13.814791,[49 29] ; [ 8 25],[40.05405405 37.94594595] ; [16.94594595 16.05405405],1
p10,1,0.005578,7.681934,[71  7] ; [24 10],[66.16071429 11.83928571] ; [28.83928571  5.16071429],0
p11,1,0.009313,6.761765,[72  8] ; [24 10],[67.36842105 12.63157895] ; [28.63157895  5.36842105],0
r4,1,0.011824,6.337059,[77  3] ; [28  6],[73.68421053  6.31578947] ; [31.31578947  2.68421053],0
p6,1,0.012723,6.207199,[38 40] ; [ 8 26],[32.03571429 45.96428571] ; [13.96428571 20.03571429],0
p4,1,0.012843,6.19059,[53 27] ; [14 20],[47.01754386 32.98245614] ; [19.98245614 14.01754386],0
p3,1,0.015652,5.841569,[48 32] ; [12 22],[42.10526316 37.89473684] ; [17.89473684 16.10526316],0
p9,1,0.047104,3.941667,[73  6] ; [27  7],[69.91150442  9.08849558] ; [30.08849558  3.91150442],0
n1,1,0.079741,3.070175,[ 3 13] ; [6 6],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
v2,1,0.084362,2.978791,[47 31] ; [14 19],[42.86486486 35.13513514] ; [18.13513514 14.86486486],0
a8,1,0.124999,2.353538,[16 55] ; [ 3 28],[13.2254902 57.7745098] ; [ 5.7745098 25.2254902],0
a1,1,0.131468,2.275078,[ 2 78] ; [ 3 31],[ 3.50877193 76.49122807] ; [ 1.49122807 32.50877193],0
s5,1,0.147888,2.093905,[24 55] ; [ 5 25],[21.01834862 57.98165138] ; [ 7.98165138 22.01834862],0
a2,1,0.148361,2.089021,[12 68] ; [ 9 25],[14.73684211 65.26315789] ; [ 6.26315789 27.73684211],0
n3,1,0.171857,1.866667,[12  4] ; [6 6],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
p5,1,0.183611,1.768153,[15 65] ; [ 3 31],[12.63157895 67.36842105] ; [ 5.36842105 28.63157895],0
r2,1,0.251475,1.315093,[72  6] ; [29  5],[70.33928571  7.66071429] ; [30.66071429  3.33928571],0
u2,1,0.256372,1.288245,[16  8] ; [7 1],[17.25  6.75] ; [5.75 2.25],0
a4,1,0.280075,1.166726,[29 51] ; [16 18],[31.57894737 48.42105263] ; [13.42105263 20.57894737],0
s4,1,0.292206,1.109429,[10 70] ; [ 2 32],[ 8.42105263 71.57894737] ; [ 3.57894737 30.42105263],0
u3,1,0.298782,1.079622,[13 11] ; [6 2],[14.25  9.75] ; [4.75 3.25],0
s6,1,0.328365,0.955336,[54 25] ; [20 14],[51.73451327 27.26548673] ; [22.26548673 11.73451327],0
p12,1,0.337834,0.918632,[ 5 73] ; [ 4 30],[ 6.26785714 71.73214286] ; [ 2.73214286 31.26785714],0
d5,1,0.354945,0.855699,[65 15] ; [25  9],[63.15789474 16.84210526] ; [26.84210526  7.15789474],0
b5,1,0.437235,0.603529,[44 36] ; [16 18],[42.10526316 37.89473684] ; [17.89473684 16.10526316],0
a3,1,0.48181,0.494763,[56 24] ; [26  8],[57.54385965 22.45614035] ; [24.45614035  9.54385965],0
d1,1,0.566541,0.328504,[47 33] ; [18 16],[45.61403509 34.38596491] ; [19.38596491 14.61403509],0
n4,1,0.577426,0.310415,[67 13] ; [27  7],[65.96491228 14.03508772] ; [28.03508772  5.96491228],0
u1,1,0.577426,0.310415,[13 67] ; [ 7 27],[14.03508772 65.96491228] ; [ 5.96491228 28.03508772],0
a6,1,0.600353,0.274464,[50 30] ; [23 11],[51.22807018 28.77192982] ; [21.77192982 12.22807018],0
s3,1,0.607086,0.26444,[24 55] ; [12 22],[25.16814159 53.83185841] ; [10.83185841 23.16814159],0
v4,1,0.622637,0.242179,[75  5] ; [31  3],[74.38596491  5.61403509] ; [31.61403509  2.38596491],0
d4,1,0.660995,0.192318,[63 17] ; [28  6],[63.85964912 16.14035088] ; [27.14035088  6.85964912],0
n2,1,0.684498,0.165106,[11  5] ; [8 5],[10.48275862  5.51724138] ; [8.51724138 4.48275862],0
a5,1,0.757531,0.095311,[61 19] ; [25  9],[60.35087719 19.64912281] ; [25.64912281  8.35087719],0
