Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.006623,7.372403,[28  4] ; [12 10],[23.7037037  8.2962963] ; [16.2962963  5.7037037],0
p9,1,0.015122,5.902226,[26  6] ; [11 11],[21.92592593 10.07407407] ; [15.07407407  6.92592593],0
s4,1,0.016188,5.782343,[ 5 27] ; [10 12],[ 8.88888889 23.11111111] ; [ 6.11111111 15.88888889],0
p4,1,0.020093,5.403809,[19 13] ; [ 6 16],[14.81481481 17.18518519] ; [10.18518519 11.81481481],0
a4,1,0.032836,4.554332,[13 19] ; [ 3 19],[ 9.48148148 22.51851852] ; [ 6.51851852 15.48148148],0
a6,1,0.04206,4.132794,[22 10] ; [ 9 13],[18.37037037 13.62962963] ; [12.62962963  9.37037037],0
n6,1,0.070338,3.275117,[23  8] ; [11 11],[19.88679245 11.11320755] ; [14.11320755  7.88679245],0
d2,1,0.070992,3.259943,[15 17] ; [ 5 17],[11.85185185 20.14814815] ; [ 8.14814815 13.85185185],0
u2,1,0.078111,3.103765,[3 6] ; [8 3],[4.95 4.05] ; [6.05 4.95],0
a3,1,0.086923,2.930462,[22 10] ; [10 12],[18.96296296 13.03703704] ; [13.03703704  8.96296296],0
p6,1,0.104692,2.632579,[11 21] ; [ 3 18],[ 8.45283019 23.54716981] ; [ 5.54716981 15.45283019],0
d1,1,0.146542,2.107881,[15 17] ; [ 6 16],[12.44444444 19.55555556] ; [ 8.55555556 13.44444444],0
p3,1,0.185558,1.752537,[14 17] ; [ 6 16],[11.69811321 19.30188679] ; [ 8.30188679 13.69811321],0
b2,1,0.220806,1.499126,[ 3 19] ; [4 9],[ 4.4 17.6] ; [ 2.6 10.4],0
b3,1,0.220806,1.499126,[ 3 19] ; [4 9],[ 4.4 17.6] ; [ 2.6 10.4],0
n3,1,0.239113,1.385814,[9 4] ; [5 6],[7.58333333 5.41666667] ; [6.41666667 4.58333333],0
v4,1,0.260545,1.265858,[20 10] ; [17  4],[21.76470588  8.23529412] ; [15.23529412  5.76470588],0
p10,1,0.26392,1.24808,[21 10] ; [11 10],[19.07692308 11.92307692] ; [12.92307692  8.07692308],0
n1,1,0.276116,1.186108,[5 8] ; [2 9],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
b5,1,0.327488,0.958807,[23  9] ; [13  9],[21.33333333 10.66666667] ; [14.66666667  7.33333333],0
s2,1,0.361378,0.8331,[20 12] ; [11 11],[18.37037037 13.62962963] ; [12.62962963  9.37037037],0
p11,1,0.368885,0.807416,[24  8] ; [14  8],[22.51851852  9.48148148] ; [15.48148148  6.51851852],0
p5,1,0.48585,0.485704,[ 3 28] ; [ 1 21],[ 2.33962264 28.66037736] ; [ 1.66037736 20.33962264],0
a1,1,0.505509,0.443352,[ 3 29] ; [ 1 21],[ 2.37037037 29.62962963] ; [ 1.62962963 20.37037037],0
s8,1,0.510225,0.433606,[13 19] ; [ 7 15],[11.85185185 20.14814815] ; [ 8.14814815 13.85185185],0
b1,1,0.510348,0.433354,[16 16] ; [ 9 13],[14.81481481 17.18518519] ; [10.18518519 11.81481481],0
b4,1,0.510348,0.433354,[16 16] ; [13  9],[17.18518519 14.81481481] ; [11.81481481 10.18518519],0
a7,1,0.510348,0.433354,[16 16] ; [13  9],[17.18518519 14.81481481] ; [11.81481481 10.18518519],0
v2,1,0.523429,0.407131,[19 12] ; [11 10],[17.88461538 13.11538462] ; [12.11538462  8.88461538],0
d3,1,0.625156,0.238686,[21 11] ; [13  9],[20.14814815 11.85185185] ; [13.85185185  8.14814815],0
v3,1,0.656512,0.197788,[ 9 23] ; [ 5 17],[ 8.2962963 23.7037037] ; [ 5.7037037 16.2962963],0
s3,1,0.682801,0.16699,[18 13] ; [14  8],[18.71698113 12.28301887] ; [13.28301887  8.71698113],0
p2,1,0.697212,0.151388,[24  7] ; [18  4],[24.56603774  6.43396226] ; [17.43396226  4.56603774],0
r1,1,0.753143,0.098908,[10 22] ; [ 6 16],[ 9.48148148 22.51851852] ; [ 6.51851852 15.48148148],0
p7,1,0.771028,0.084698,[17 12] ; [12 10],[16.49019608 12.50980392] ; [12.50980392  9.49019608],0
n2,1,0.772059,0.083916,[9 4] ; [7 4],[8.66666667 4.33333333] ; [7.33333333 3.66666667],0
p1,1,0.785947,0.073754,[ 1 31] ; [ 1 21],[ 1.18518519 30.81481481] ; [ 0.81481481 21.18518519],0
r3,1,0.797393,0.065906,[23  8] ; [17  5],[23.39622642  7.60377358] ; [16.60377358  5.39622642],0
u3,1,0.800838,0.063636,[4 5] ; [6 6],[4.28571429 4.71428571] ; [5.71428571 6.28571429],0
v1,1,0.812126,0.056494,[14 16] ; [11 11],[14.42307692 15.57692308] ; [10.57692308 11.42307692],0
r2,1,0.843085,0.039184,[16 12] ; [12  8],[16.33333333 11.66666667] ; [11.66666667  8.33333333],0
d4,1,0.847789,0.036841,[24  8] ; [17  5],[24.2962963  7.7037037] ; [16.7037037  5.2962963],0
s5,1,0.865264,0.02879,[10 21] ; [ 6 14],[ 9.7254902 21.2745098] ; [ 6.2745098 13.7254902],0
p8,1,0.873724,0.025259,[10 22] ; [ 7 14],[10.26415094 21.73584906] ; [ 6.73584906 14.26415094],0
n4,1,0.880482,0.022608,[21 11] ; [14  8],[20.74074074 11.25925926] ; [14.25925926  7.74074074],0
s7,1,0.907861,0.013395,[15 16] ; [11 11],[15.20754717 15.79245283] ; [10.79245283 11.20754717],0
n5,1,0.982113,0.000503,[19 11] ; [14  8],[19.03846154 10.96153846] ; [13.96153846  8.03846154],0
