Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.049526,[19  8] ; [24 90],[ 8.23404255 18.76595745] ; [34.76595745 79.23404255],1
p8,1,9e-06,19.634633,[14 13] ; [ 16 102],[ 5.5862069 21.4137931] ; [24.4137931 93.5862069],1
s6,1,4.8e-05,16.526002,[23  3] ; [52 65],[13.63636364 12.36363636] ; [61.36363636 55.63636364],1
p4,1,0.000271,13.260235,[16 11] ; [27 88],[ 8.17605634 18.82394366] ; [34.82394366 80.17605634],1
s5,1,0.002727,8.981436,[13 12] ; [25 87],[ 6.93430657 18.06569343] ; [31.06569343 80.93430657],0
v1,1,0.003648,8.451441,[16 11] ; [34 81],[ 9.50704225 17.49295775] ; [40.49295775 74.50704225],0
p3,1,0.005122,7.835977,[14 13] ; [29 89],[ 8.00689655 18.99310345] ; [34.99310345 83.00689655],0
s8,1,0.008701,6.883132,[15 11] ; [36 82],[ 9.20833333 16.79166667] ; [41.79166667 76.20833333],0
s2,1,0.011594,6.371849,[17 10] ; [43 75],[11.17241379 15.82758621] ; [48.82758621 69.17241379],0
s7,1,0.014799,5.940224,[16 10] ; [39 71],[10.51470588 15.48529412] ; [44.48529412 65.51470588],0
p9,1,0.017488,5.646719,[21  6] ; [60 54],[15.5106383 11.4893617] ; [65.4893617 48.5106383],0
r3,1,0.046451,3.965168,[26  1] ; [95 23],[22.53103448  4.46896552] ; [98.46896552 19.53103448],0
v2,1,0.051424,3.794406,[17  8] ; [53 61],[12.58992806 12.41007194] ; [57.41007194 56.58992806],0
v4,1,0.082405,3.016825,[25  2] ; [92 26],[21.7862069  5.2137931] ; [95.2137931 22.7862069],0
n2,1,0.113999,2.497894,[9 1] ; [31 17],[6.89655172 3.10344828] ; [33.10344828 14.89655172],0
r4,1,0.116552,2.463055,[23  4] ; [83 35],[19.73793103  7.26206897] ; [86.26206897 31.73793103],0
r2,1,0.138232,2.197527,[26  1] ; [98 16],[23.74468085  3.25531915] ; [100.25531915  13.74468085],0
p5,1,0.174389,1.844801,[ 3 24] ; [  5 109],[ 1.53191489 25.46808511] ; [  6.46808511 107.53191489],0
a4,1,0.251094,1.317206,[16 11] ; [55 62],[13.3125 13.6875] ; [57.6875 59.3125],0
d1,1,0.299758,1.075272,[20  7] ; [75 43],[17.68965517  9.31034483] ; [77.31034483 40.68965517],0
a2,1,0.313672,1.015151,[ 4 23] ; [28 90],[ 5.95862069 21.04137931] ; [26.04137931 91.95862069],0
p1,1,0.338049,0.917818,[ 3 24] ; [  7 111],[ 1.86206897 25.13793103] ; [  8.13793103 109.86206897],0
s4,1,0.356236,0.85112,[ 7 20] ; [21 95],[ 5.28671329 21.71328671] ; [22.71328671 93.28671329],0
p10,1,0.414692,0.665307,[17 10] ; [63 53],[15.1048951 11.8951049] ; [64.8951049 51.1048951],0
d2,1,0.414692,0.665307,[17 10] ; [63 53],[15.1048951 11.8951049] ; [64.8951049 51.1048951],0
n6,1,0.424658,0.637389,[21  6] ; [82 35],[19.3125  7.6875] ; [83.6875 33.3125],0
n3,1,0.43233,0.616555,[7 3] ; [26 20],[5.89285714 4.10714286] ; [27.10714286 18.89285714],0
b4,1,0.480902,0.496817,[18  9] ; [70 48],[16.3862069 10.6137931] ; [71.6137931 46.3862069],0
s1,1,0.488149,0.480605,[ 2 25] ; [  5 113],[ 1.30344828 25.69655172] ; [  5.69655172 112.30344828],0
r1,1,0.510828,0.43237,[17 10] ; [82 36],[18.43448276  8.56551724] ; [80.56551724 37.43448276],0
u3,1,0.566551,0.328487,[5 3] ; [19 18],[4.26666667 3.73333333] ; [19.73333333 17.26666667],0
a8,1,0.567971,0.326089,[ 3 23] ; [  9 103],[ 2.26086957 23.73913043] ; [  9.73913043 102.26086957],0
d5,1,0.573332,0.317139,[23  4] ; [95 23],[21.97241379  5.02758621] ; [96.02758621 21.97241379],0
p11,1,0.580619,0.305235,[16 11] ; [63 55],[14.71034483 12.28965517] ; [64.28965517 53.71034483],0
n4,1,0.616342,0.251042,[16 11] ; [76 42],[17.13103448  9.86896552] ; [74.86896552 43.13103448],0
a6,1,0.659753,0.193824,[15 12] ; [71 47],[16.0137931 10.9862069] ; [69.9862069 48.0137931],0
n1,1,0.666516,0.185705,[5 5] ; [20 27],[4.38596491 5.61403509] ; [20.61403509 26.38596491],0
d3,1,0.670691,0.180795,[19  8] ; [78 40],[18.06206897  8.93793103] ; [78.93793103 39.06206897],0
u1,1,0.711368,0.136914,[ 4 23] ; [21 97],[ 4.65517241 22.34482759] ; [20.34482759 97.65517241],0
s3,1,0.727393,0.121519,[13 14] ; [52 65],[12.1875 14.8125] ; [52.8125 64.1875],0
a1,1,0.75341,0.098688,[ 2 25] ; [ 11 107],[ 2.42068966 24.57931034] ; [ 10.57931034 107.42068966],0
p12,1,0.756372,0.096254,[ 1 26] ; [  6 111],[ 1.3125 25.6875] ; [  5.6875 111.3125],0
