Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6e-06,20.474518,[29 31] ; [104  25],[42.22222222 17.77777778] ; [90.77777778 38.22222222],1
p7,1,0.000248,13.423802,[21 41] ; [79 48],[32.8042328 29.1957672] ; [67.1957672 59.8042328],1
p2,1,0.00053,12.007799,[37 25] ; [106  22],[46.66315789 15.33684211] ; [96.33684211 31.66315789],1
n6,1,0.003223,8.676727,[28 34] ; [87 42],[37.32984293 24.67015707] ; [77.67015707 51.32984293],0
r4,1,0.003351,8.605685,[52 11] ; [123   6],[57.421875  5.578125] ; [117.578125  11.421875],0
p10,1,0.005926,7.572679,[31 29] ; [93 36],[39.36507937 20.63492063] ; [84.63492063 44.36507937],0
r3,1,0.009431,6.739275,[57  6] ; [127   2],[60.375  2.625] ; [123.625   5.375],0
a2,1,0.011921,6.322613,[17 46] ; [ 16 113],[10.828125 52.171875] ; [ 22.171875 106.828125],0
b1,1,0.017475,5.648,[29 34] ; [37 92],[21.65625 41.34375] ; [44.34375 84.65625],0
b2,1,0.021882,5.255171,[ 3 24] ; [26 50],[ 7.60194175 19.39805825] ; [21.39805825 54.60194175],0
b3,1,0.021882,5.255171,[ 3 24] ; [26 50],[ 7.60194175 19.39805825] ; [21.39805825 54.60194175],0
s4,1,0.02241,5.213659,[18 45] ; [ 19 110],[12.140625 50.859375] ; [ 24.859375 104.140625],0
d5,1,0.059597,3.548577,[54  9] ; [95 34],[48.890625 14.109375] ; [100.109375  28.890625],0
n4,1,0.066469,3.368143,[21 42] ; [61 68],[26.90625 36.09375] ; [55.09375 73.90625],0
p8,1,0.076558,3.136493,[20 42] ; [59 70],[25.64397906 36.35602094] ; [53.35602094 75.64397906],0
v4,1,0.083729,2.990995,[55  8] ; [120   7],[58.02631579  4.97368421] ; [116.97368421  10.02631579],0
d2,1,0.090659,2.862637,[31 32] ; [47 82],[25.59375 37.40625] ; [52.40625 76.59375],0
s2,1,0.097269,2.749766,[30 33] ; [45 83],[24.7382199 38.2617801] ; [50.2617801 77.7382199],0
d1,1,0.106731,2.601969,[40 23] ; [66 63],[34.78125 28.21875] ; [71.21875 57.78125],0
s1,1,0.136635,2.215453,[ 5 58] ; [  4 125],[ 2.953125 60.046875] ; [  6.046875 122.953125],0
s8,1,0.143536,2.139633,[16 46] ; [47 82],[20.45026178 41.54973822] ; [42.54973822 86.45026178],0
s6,1,0.234978,1.410471,[38 23] ; [68 60],[34.21164021 26.78835979] ; [71.78835979 56.21164021],0
p3,1,0.239789,1.381836,[20 42] ; [53 76],[23.69633508 38.30366492] ; [49.30366492 79.69633508],0
v1,1,0.291552,1.11244,[22 40] ; [54 70],[25.33333333 36.66666667] ; [50.66666667 73.33333333],0
p12,1,0.299542,1.076233,[ 1 60] ; [  6 122],[ 2.25925926 58.74074074] ; [  4.74074074 123.25925926],0
a5,1,0.320326,0.987615,[41 22] ; [93 36],[43.96875 19.03125] ; [90.03125 38.96875],0
