Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.42586,0.634087,[ 2 19] ; [14 71],[ 3.16981132 17.83018868] ; [12.83018868 72.16981132],0
n2,1,0.430684,0.620979,[8 2] ; [18  9],[7.02702703 2.97297297] ; [18.97297297  8.02702703],0
s5,1,0.434308,0.611276,[ 7 17] ; [21 76],[ 5.55371901 18.44628099] ; [22.44628099 74.55371901],0
a7,1,0.453378,0.562193,[15  9] ; [69 29],[16.52459016  7.47540984] ; [67.47540984 30.52459016],0
a3,1,0.457989,0.550806,[20  4] ; [74 23],[18.6446281  5.3553719] ; [75.3553719 21.6446281],0
u1,1,0.463802,0.536703,[ 6 18] ; [18 80],[ 4.72131148 19.27868852] ; [19.27868852 78.72131148],0
u3,1,0.519536,0.414815,[2 2] ; [16  8],[2.57142857 1.42857143] ; [15.42857143  8.57142857],0
a6,1,0.52638,0.401376,[18  6] ; [67 31],[16.72131148  7.27868852] ; [68.27868852 29.72131148],0
d5,1,0.535271,0.384376,[20  4] ; [76 22],[18.8852459  5.1147541] ; [77.1147541 20.8852459],0
s8,1,0.612607,0.256396,[14 10] ; [51 46],[12.89256198 11.10743802] ; [52.10743802 44.89256198],0
s6,1,0.655004,0.199649,[14 10] ; [62 36],[14.95081967  9.04918033] ; [61.04918033 36.95081967],0
n3,1,0.693012,0.155844,[6 3] ; [16 11],[5.5 3.5] ; [16.5 10.5],0
v2,1,0.714393,0.133929,[12 12] ; [52 44],[12.8 11.2] ; [51.2 44.8],0
v3,1,0.723886,0.1248,[11 12] ; [42 54],[10.24369748 12.75630252] ; [42.75630252 53.24369748],0
s4,1,0.860519,0.030875,[ 3 21] ; [11 87],[ 2.75409836 21.24590164] ; [11.24590164 86.75409836],0
p12,1,0.862422,0.03003,[ 2 22] ; [ 7 89],[ 1.8 22.2] ; [ 7.2 88.8],0
n6,1,0.869144,0.027141,[20  4] ; [83 15],[20.26229508  3.73770492] ; [82.73770492 15.26229508],0
b2,1,0.892193,0.018368,[ 8 11] ; [32 41],[ 8.26086957 10.73913043] ; [31.73913043 41.26086957],0
b3,1,0.892193,0.018368,[ 8 11] ; [32 41],[ 8.26086957 10.73913043] ; [31.73913043 41.26086957],0
r2,1,0.919525,0.010207,[21  2] ; [87  9],[20.87394958  2.12605042] ; [87.12605042  8.87394958],0
a5,1,0.958511,0.002706,[18  6] ; [74 24],[18.09836066  5.90163934] ; [73.90163934 24.09836066],0
d3,1,0.96735,0.001675,[17  7] ; [69 29],[16.91803279  7.08196721] ; [69.08196721 28.91803279],0
p1,1,0.978283,0.000741,[ 2 22] ; [ 8 90],[ 1.96721311 22.03278689] ; [ 8.03278689 89.96721311],0
